Column,Missing_Count,Missing_Percentage,Data_Type
A45_SanctionType,14,17.95,object
A27_DamageEstablished,12,15.38,object
A35_GDPRViolated,10,12.82,object
A41_MitigatingMeasures,5,6.41,object
A37_LegalBasisInvalid,0,0.0,object
A28_DPIARequired,0,0.0,object
A29_SecurityMeasures,0,0.0,object
A30_DataMinimization,0,0.0,object
A31_SubjectRightsRequests,0,0.0,object
A32_RightsInvolved,0,0.0,object
A33_TransparencyObligations,0,0.0,object
A34_GDPREvaluated,0,0.0,object
A36_NoInfringement,0,0.0,object
ID,0,0.0,object
A38_NegligenceEstablished,0,0.0,object
A26_InfringementDuration,0,0.0,object
A40_DefendantCooperation,0,0.0,object
A42_PriorNonCompliance,0,0.0,object
A43_FinancialBenefit,0,0.0,object
A44_PriorMeasuresConsidered,0,0.0,object
A46_FineAmount,0,0.0,object
A47_FineCurrency,0,0.0,object
A48_EDPBGuidelines,0,0.0,object
A49_FineCalculationFactors,0,0.0,object
A39_ManagementAuthorization,0,0.0,object
A25_SubjectsAffected,0,0.0,object
A1_Country,0,0.0,object
A12_DefendantRole,0,0.0,object
A2_Authority,0,0.0,object
A3_DecisionDate,0,0.0,object
A4_CaseTrigger,0,0.0,object
A5_CrossBorder,0,0.0,object
A6_DPARole,0,0.0,object
A7_IsAppeal,0,0.0,object
A8_AppealSuccess,0,0.0,object
A9_PriorInfringements,0,0.0,object
A10_DefendantCount,0,0.0,object
A11_DefendantName,0,0.0,object
A13_InstitutionalIdentity,0,0.0,object
A24_PowerImbalance,0,0.0,object
A14_EconomicSector,0,0.0,object
A15_DefendantCategory,0,0.0,object
A16_SensitiveData,0,0.0,object
A17_SensitiveDataTypes,0,0.0,object
A18_Cookies,0,0.0,object
A19_VulnerableSubjects,0,0.0,object
A20_LegalBasis,0,0.0,object
A21_DataTransfers,0,0.0,object
A22_TransferMechanism,0,0.0,object
A23_HighRiskProcessing,0,0.0,object
A50_CaseSummary,0,0.0,object
