A10_DefendantCount,A11_DefendantName,A12_DefendantRole,A12_DefendantRole__Controller,A12_DefendantRole__Joint_Controller,A12_DefendantRole__Processor,A12_DefendantRole__UNKNOWN,A13_InstitutionalIdentity,A14_EconomicSector,A15_DefendantCategory,A15_DefendantCategory__BUSINESS,A15_DefendantCategory__INDIVIDUAL,A15_DefendantCategory__NON_PROFIT,A15_DefendantCategory__OTHER,A15_DefendantCategory__PUBLIC_AUTHORITY,A15_DefendantCategory__UNKNOWN,A16_SensitiveData,A16_SensitiveData_bin,A17_SensitiveDataTypes,A18_Cookies,A18_Cookies_bin,A19_VulnerableSubjects,A1_Country,A20_LegalBasis,A21_DataTransfers,A21_DataTransfers_bin,A22_TransferMechanism,A23_HighRiskProcessing,A23_HighRiskProcessing_pos_bin,A24_PowerImbalance,A24_PowerImbalance_pos_bin,A25_SubjectsAffected,A26_InfringementDuration,A27_DamageEstablished,A27_DamageEstablished__Both,A27_DamageEstablished__Material_Damage,A27_DamageEstablished__Non_Material_Damage,A27_DamageEstablished__None,A27_DamageEstablished__Not_Assessed,A27_DamageEstablished__UNKNOWN,A27_DamageEstablished_pos_bin,A28_DPIARequired,A28_DPIARequired__Not_Assessed,A28_DPIARequired__Not_Required,A28_DPIARequired__Required_And_Conducted,A28_DPIARequired__Required_Not_Conducted,A28_DPIARequired__UNKNOWN,A28_DPIARequired_pos_bin,A29_SecurityMeasures,A29_SecurityMeasures__Adequate,A29_SecurityMeasures__Inadequate,A29_SecurityMeasures__Not_Evaluated,A29_SecurityMeasures__UNKNOWN,A29_SecurityMeasures_pos_bin,A2_Authority,A30_DataMinimization,A30_DataMinimization__Compliant,A30_DataMinimization__Not_Evaluated,A30_DataMinimization__UNKNOWN,A30_DataMinimization__Violated,A30_DataMinimization_pos_bin,A31_SubjectRightsRequests,A31_SubjectRightsRequests_bin,A32_RightsInvolved,A33_TransparencyObligations,A33_TransparencyObligations__Compliant,A33_TransparencyObligations__Not_Evaluated,A33_TransparencyObligations__UNKNOWN,A33_TransparencyObligations__Violated,A33_TransparencyObligations_pos_bin,A34_Art_12,A34_Art_13,A34_Art_14,A34_Art_15,A34_Art_17,A34_Art_21,A34_Art_24,A34_Art_25,A34_Art_28,A34_Art_30,A34_Art_32,A34_Art_33,A34_Art_34,A34_Art_35,A34_Art_5,A34_Art_6,A34_GDPREvaluated,A35_Art_12,A35_Art_13,A35_Art_14,A35_Art_15,A35_Art_17,A35_Art_21,A35_Art_24,A35_Art_25,A35_Art_28,A35_Art_30,A35_Art_32,A35_Art_33,A35_Art_34,A35_Art_35,A35_Art_5,A35_Art_6,A35_GDPRViolated,A36_NoInfringement,A36_NoInfringement_bin,A37_LegalBasisInvalid,A37_LegalBasisInvalid__N,A37_LegalBasisInvalid__Not_Evaluated,A37_LegalBasisInvalid__UNKNOWN,A37_LegalBasisInvalid__Y,A37_LegalBasisInvalid_pos_bin,A38_NegligenceEstablished,A38_NegligenceEstablished__N,A38_NegligenceEstablished__Not_Assessed,A38_NegligenceEstablished__UNKNOWN,A38_NegligenceEstablished__Y,A38_NegligenceEstablished_pos_bin,A39_ManagementAuthorization,A39_ManagementAuthorization__N,A39_ManagementAuthorization__Not_Assessed,A39_ManagementAuthorization__UNKNOWN,A39_ManagementAuthorization__Y,A39_ManagementAuthorization_pos_bin,A3_DecisionDate,A40_DefendantCooperation,A40_DefendantCooperation__Cooperative,A40_DefendantCooperation__Not_Discussed,A40_DefendantCooperation__Partially_Cooperative,A40_DefendantCooperation__UNKNOWN,A40_DefendantCooperation__Uncooperative,A40_DefendantCooperation_pos_bin,A41_MitigatingMeasures,A41_MitigatingMeasures__Before_Investigation,A41_MitigatingMeasures__During_Investigation,A41_MitigatingMeasures__None,A41_MitigatingMeasures__Not_Discussed,A41_MitigatingMeasures__UNKNOWN,A41_MitigatingMeasures_pos_bin,A42_PriorNonCompliance,A42_PriorNonCompliance__N,A42_PriorNonCompliance__Not_Assessed,A42_PriorNonCompliance__UNKNOWN,A42_PriorNonCompliance__Y,A42_PriorNonCompliance_pos_bin,A43_FinancialBenefit,A43_FinancialBenefit__N,A43_FinancialBenefit__Not_Assessed,A43_FinancialBenefit__UNKNOWN,A43_FinancialBenefit__Y,A43_FinancialBenefit_pos_bin,A44_PriorMeasuresConsidered,A45_SanctionType,A46_FineAmount,A46_FineAmount_EUR,A47_FineCurrency,A48_EDPBGuidelines,A48_EDPBGuidelines_bin,A49_FineCalculationFactors,A49_FineCalculationFactors__N,A49_FineCalculationFactors__N_A,A49_FineCalculationFactors__Partially,A49_FineCalculationFactors__Y,A49_FineCalculationFactors_bin,A4_CaseTrigger,A4_CaseTrigger__BREACH_NOTIFICATION,A4_CaseTrigger__COMPLAINT,A4_CaseTrigger__EX_OFFICIO_INVESTIGATION,A4_CaseTrigger__OTHER,A4_CaseTrigger__UNKNOWN,A50_CaseSummary,A5_CrossBorder,A5_CrossBorder_bin,A6_DPARole,A6_DPARole__Concerned_Authority,A6_DPARole__Lead_Authority,A6_DPARole__N_A,A7_IsAppeal,A7_IsAppeal_bin,A8_AppealSuccess,A8_AppealSuccess__N_A,A8_AppealSuccess__Successful,A8_AppealSuccess__Unsuccessful,A9_PriorInfringements,A9_PriorInfringements__DISCUSSED_NO_PRIOR_FOUND,A9_PriorInfringements__NOT_DISCUSSED,A9_PriorInfringements__PRIOR_INFRINGER_PRESENT,A9_PriorInfringements__UNKNOWN,ID,LegalBasis_Consent,LegalBasis_Contract,LegalBasis_Legal_Obligation,LegalBasis_Legitimate_Interest,LegalBasis_Public_Task,LegalBasis_Vital_Interests,Right_Access,Right_Automated_Decision_Making,Right_Erasure,Right_Objection,Right_Portability,Right_Rectification,Right_Restrict_Processing,Sanction_Compliance_Order,Sanction_Data_Flow_Suspension,Sanction_Fine,Sanction_None,Sanction_Other_Corrective_Measure,Sanction_Processing_Ban_Permanent,Sanction_Processing_Ban_Temporary,Sanction_Reprimand,Sanction_Warning,SensitiveType_Biometric,SensitiveType_Criminal,SensitiveType_Genetic,SensitiveType_Health,SensitiveType_Other,SensitiveType_Philosophical,SensitiveType_Political,SensitiveType_Racial_Ethnic,SensitiveType_Religious,SensitiveType_Sexual,SensitiveType_Trade_Union,TransferMech_Adequacy_Decision,TransferMech_Binding_Corporate_Rules,TransferMech_Certification,TransferMech_Derogation,TransferMech_None_Specified,TransferMech_Standard_Contractual_Clauses,VulnerableSubject_Children,VulnerableSubject_Elderly,VulnerableSubject_Employees,VulnerableSubject_Other_Vulnerable,VulnerableSubject_Patients,VulnerableSubject_Students,dataset_source
1.0,SATS ASA,Controller,1,0,0,0,S.11 - Non-financial corporations,"Code: 9311, Description: Operation of sports facilities, Level: 4",BUSINESS,1,0,0,0,0,0,N,0.0,,N,0.0,None_Mentioned,NO,"Consent, Contract, Legitimate_Interest",,,,Not_Assessed,,Not_Discussed,,700000,ongoing since 2018,,0,0,0,0,0,0,,Not_Assessed,1,0,0,0,0,,Not_Evaluated,0,0,1,0,,Datatilsynet,Not_Evaluated,0,1,0,0,,Y,1.0,"Access, Erasure",Violated,0,0,0,1,0.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,"Art. 5(1)(a), Art. 5(1)(e), Art. 6(1), Art. 12(1), Art. 12(3), Art. 13(1)(c), Art. 13(2)(a), Art. 15, Art. 17",1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,"Art. 5(1)(a), Art. 5(1)(e), Art. 6(1), Art. 12(1), Art. 12(3), Art. 13(1)(c), Art. 13(2)(a), Art. 15, Art. 17",N,0,Y,0,0,0,1,1.0,Y,0,0,0,1,1.0,Not_Assessed,0,1,0,0,,06-02-2023,Cooperative,1,0,0,0,0,1.0,During_Investigation,0,1,0,0,0,1.0,N,1,0,0,0,0.0,Not_Assessed,0,1,0,0,,Mitigating_Factor,Fine,10000000.0,920000.0,NOK,Y,1.0,Y,0,0,0,1,1.0,COMPLAINT,0,1,0,0,0,"Datatilsynet fined SATS ASA NOK 10 million after complaints revealed mishandled access/erasure requests, opaque retention/legal bases, and unlawful processing of training history data. The DPA found breaches of Articles 5, 6, 12, 13, 15 and 17, noted systemic negligence, and acted as lead authority for cross-border processing. Although SATS took some remedial steps during the investigation, the fine was set after a detailed Art. 83(2) assessment to ensure deterrence.",Y,1.0,Lead_Authority,0,1,0,N,0,,0,0,0,DISCUSSED_NO_PRIOR_FOUND,1,0,0,0,Norway_1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dataNorway.csv
1.0,Legelisten.no,Controller,1,0,0,0,,,,0,0,0,0,0,0,Y,1.0,Health,,,Children,NO,Not_Specified,,,,Not_Assessed,,Not_Discussed,,,,Not_Assessed,0,0,0,0,1,0,,Not_Assessed,1,0,0,0,0,,Not_Evaluated,0,0,1,0,,The Norwegian Data Protection Authority,Not_Evaluated,0,1,0,0,,N,0.0,,Not_Evaluated,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,Not_Evaluated,0,1,0,0,,Not_Assessed,0,1,0,0,,Not_Assessed,0,1,0,0,,15-11-2017,Not_Discussed,0,1,0,0,0,,Not_Discussed,0,0,0,1,0,,Not_Assessed,0,1,0,0,,Not_Assessed,0,1,0,0,,Not_Considered,Compliance_Order,0.0,,,N,0.0,,0,0,0,0,,OTHER,0,0,0,1,0,"The Norwegian DPA decided that health personnel should be able to reserve themselves from being rated on Legelisten.no and ordered deletion of email addresses of users who reviewed specialist health service personnel. It found the balance between freedom of expression and privacy inadequate, citing risks of misuse and harm to doctors and their families. Legelisten.no will appeal, and the reservation right will not take effect until the Privacy Board rules.",,,,0,0,0,N,0,,0,0,0,NOT_DISCUSSED,0,1,0,0,Norway_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dataNorway.csv
1.0,X Mission Assembly,Controller,1,0,0,0,,"Code: 9491, Description: Activities of religious organizations, Level: 4",NON_PROFIT,0,0,1,0,0,0,N,0.0,,N,0.0,None_Mentioned,NO,Legitimate_Interest,N,0.0,,Not_Assessed,,Not_Discussed,,1,November 2016 to 2017,Not_Assessed,0,0,0,0,1,0,,Not_Assessed,1,0,0,0,0,,Not_Evaluated,0,0,1,0,,Privacy Board,Not_Evaluated,0,1,0,0,,N,0.0,,Not_Evaluated,0,1,0,0,,,,,,,,,,,,,,,,1.0,1.0,"Art. 6(1)(f), Art. 5(1)(c)",,,,,,,,,,,,,,,,,,Y,1,N,1,0,0,0,0.0,Not_Assessed,0,1,0,0,,Not_Assessed,0,1,0,0,,16-09-2020,Cooperative,1,0,0,0,0,1.0,Before_Investigation,1,0,0,0,0,1.0,Not_Assessed,0,1,0,0,,Not_Assessed,0,1,0,0,,Mitigating_Factor,,0.0,,,N,0.0,,0,0,0,0,,COMPLAINT,0,1,0,0,0,"The Privacy Board reviewed an appeal by X Mission Assembly against a reprimand for storing and using neighbor’s private camera recordings depicting a board member. The Board majority held that the Mission Assembly had a legitimate interest under Article 6(1)(f) to store and view the footage and that the intrusion was limited, reversing the reprimand. A minority would have upheld the DPA’s view that the processing was unnecessary and unlawful.",N,0.0,,0,0,0,Y,1,Successful,0,1,0,NOT_DISCUSSED,0,1,0,0,Norway_3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dataNorway.csv
1.0,Bergen municipality,Controller,1,0,0,0,S.1313 - Local government,"Code: 8411, Description: General public administration activities, Level: 4",PUBLIC_AUTHORITY,0,0,0,0,1,0,N,0.0,,N,0.0,Children,NO,Not_Specified,,,,Not_Assessed,,Not_Discussed,,35601,22 June to 15 August 2018,Not_Assessed,0,0,0,0,1,0,,Not_Assessed,1,0,0,0,0,,Inadequate,0,1,0,0,0.0,Datatilsynet,Not_Evaluated,0,1,0,0,,N,0.0,,Not_Evaluated,0,1,0,0,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,"Art. 5(1)(f), Art. 5(2), Art. 24, Art. 25, Art. 32(1), Art. 58(2)(d), Art. 83",,,,,,,,,,,1.0,,,,1.0,,"Art. 5(1)(f), Art. 32(1)(a), Art. 32(1)(b)",N,0,Not_Evaluated,0,1,0,0,,Y,0,0,0,1,1.0,Not_Assessed,0,1,0,0,,18-03-2019,Cooperative,1,0,0,0,0,1.0,During_Investigation,0,1,0,0,0,1.0,N,1,0,0,0,0.0,N,1,0,0,0,0.0,Neutral,"Fine, Compliance_Order",1600000.0,147200.0,NOK,Y,1.0,Y,0,0,0,1,1.0,BREACH_NOTIFICATION,1,0,0,0,0,"Bergen municipality exposed credentials, allowing access to school systems for over 35,000 users, including children. The DPA found violations of Art. 5(1)(f) and Art. 32(1)(a)-(b), noting lack of two-factor authentication and poor security practices, and ordered implementation of strong authentication for employees. A fine of NOK 1,600,000 was imposed after a systematic Art. 83 assessment, considering children’s special protection and prior related findings.",N,0.0,,0,0,0,N,0,,0,0,0,PRIOR_INFRINGER_PRESENT,0,0,1,0,Norway_4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dataNorway.csv
1.0,Oslo Municipality,Controller,1,0,0,0,S.13 - General government,"Code: 8411, Description: General public administration activities, Level: 4",PUBLIC_AUTHORITY,0,0,0,0,1,0,Y,1.0,Health,N,0.0,Children,NO,Not_Specified,,,,Not_Assessed,,Not_Discussed,,63000,Until 06-09-2018; closed the same day it was discovered,Not_Assessed,0,0,0,0,1,0,,Not_Assessed,1,0,0,0,0,,Inadequate,0,1,0,0,0.0,Datatilsynet,Not_Evaluated,0,1,0,0,,N,0.0,,Not_Evaluated,0,1,0,0,,,,,,,,,,,,1.0,,,,1.0,,"Art. 5(1)(f), Art. 5(2), Art. 32(1)(b), Art. 32(1)(d)",,,,,,,,,,,1.0,,,,1.0,,"Art. 32(1)(b), Art. 32(1)(d), Art. 5(2), Art. 5(1)(f)",N,0,Not_Evaluated,0,1,0,0,,Y,0,0,0,1,1.0,Not_Assessed,0,1,0,0,,10-11-2019,Partially_Cooperative,0,0,1,0,0,,Before_Investigation,1,0,0,0,0,1.0,Not_Assessed,0,1,0,0,,N,1,0,0,0,0.0,Mitigating_Factor,Fine,1200000.0,110400.0,NOK,Y,1.0,Y,0,0,0,1,1.0,BREACH_NOTIFICATION,1,0,0,0,0,"The Norwegian DPA fined Oslo Municipality 1.2 million NOK after serious security flaws in the Skolemelding app allowed unauthorized access to data on over 63,000 primary school children, including potential health details entered via free-text fields. The DPA found violations of Art. 5(1)(f), Art. 5(2) and Art. 32(1)(b),(d), citing inadequate testing, authentication flaws, and lack of supplier control. Mitigating measures taken promptly after discovery led to a reduced fine from the initially notified amount.",N,0.0,,0,0,0,N,0,,0,0,0,NOT_DISCUSSED,0,1,0,0,Norway_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dataNorway.csv
1.0,Norwegian Public Roads Administration,Joint_Controller,0,1,0,0,S.13 - General government,"Code: 8411, Description: General public administration activities, Level: 4",PUBLIC_AUTHORITY,0,0,0,0,1,0,N,0.0,,N,0.0,None_Mentioned,NO,"Contract, Legal_Obligation",,,,Not_Assessed,,Not_Discussed,,,ongoing since at least 2011,Not_Assessed,0,0,0,0,1,0,,Not_Assessed,1,0,0,0,0,,Inadequate,0,1,0,0,0.0,Norwegian Data Protection Authority,Not_Evaluated,0,1,0,0,,Y,1.0,Erasure,Not_Evaluated,0,1,0,0,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,"Art. 5(1)(a), Art. 5(1)(c), Art. 5(1)(d), Art. 5(1)(e), Art. 5(1)(f), Art. 6, Art. 17(1)(a), Art. 17(1)(d), Art. 25, Art. 26",,,,,1.0,,,,,,,,,,1.0,,"Art. 5(1)(a), Art. 17(1)(a), Art. 17(1)(d)",N,0,Y,0,0,0,1,1.0,Y,0,0,0,1,1.0,Not_Assessed,0,1,0,0,,07-06-2021,Cooperative,1,0,0,0,0,1.0,During_Investigation,0,1,0,0,0,1.0,N,1,0,0,0,0.0,N,1,0,0,0,0.0,Neutral,"Fine, Compliance_Order",1000000.0,92000.0,NOK,N,0.0,Y,0,0,0,1,1.0,COMPLAINT,0,1,0,0,0,"A complaint revealed that the Norwegian Public Roads Administration retained toll passage data in the invoice module of CS Norge beyond the lawful bookkeeping period, failing to delete tag number, location, and time. The DPA found violations of GDPR Art. 5(1)(a) and Art. 17(1)(a),(d), noted gross negligence, and ordered deletion while imposing a NOK 1,000,000 fine. Article 25 was not applied due to system phase-out; the DPA recognized joint controllership with Fjellinjen and identified Q-Free as a processor.",N,0.0,,0,0,0,N,0,,0,0,0,DISCUSSED_NO_PRIOR_FOUND,1,0,0,0,Norway_6,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dataNorway.csv
1.0,Norwegian Data Protection Authority,Controller,1,0,0,0,S.1311 - Central government,"Code: 8411, Description: General public administration activities, Level: 4",PUBLIC_AUTHORITY,0,0,0,0,1,0,Y,1.0,Other,,,None_Mentioned,NO,Legitimate_Interest,,,,Not_Assessed,,Y,1.0,,,,0,0,0,0,0,0,,Not_Assessed,1,0,0,0,0,,Not_Evaluated,0,0,1,0,,Datatilsynet,Not_Evaluated,0,1,0,0,,Y,1.0,"Access, Rectification, Erasure, Portability, Objection, Restrict_Processing, Automated_Decision_Making",Violated,0,0,0,1,0.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,"Art. 5(1)(a), Art. 5(1)(b), Art. 5(2), Art. 6(1)(f), Art. 13(1)(d), Art. 57(2), Art. 77(1), Art. 12(1), Art. 12(2), Art. 12(4), Art. 24",,1.0,,,,,,,,,,,,,,,"Art. 13(1)(d), Art. 77(1)",Y,1,N,1,0,0,0,0.0,Not_Assessed,0,1,0,0,,Not_Assessed,0,1,0,0,,,Cooperative,1,0,0,0,0,1.0,During_Investigation,0,1,0,0,0,1.0,Not_Assessed,0,1,0,0,,,0,0,0,0,,Mitigating_Factor,,0.0,,,N,0.0,,0,0,0,0,,COMPLAINT,0,1,0,0,0,"A complaint challenged the Norwegian DPA’s processing on its website and complaint-handling practices. The set director found Art. 6(1)(f) a valid basis, no breach of Art. 5 or Art. 57, but a past breach of Art. 13(1)(d) and a breach of Art. 77(1) where complainants were required to contact controllers first for rights cases. The DPA had already rectified transparency issues and was expected to adjust complaint procedures accordingly.",N,0.0,,0,0,0,N,0,,0,0,0,NOT_DISCUSSED,0,1,0,0,Norway_7,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dataNorway.csv
,,,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,0.0,,,,,,0,0,0,0,,,0,0,0,0,0,,,,,0,0,0,N,0,,0,0,0,,0,0,0,0,Norway_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dataNorway.csv
1.0,Asker municipality,Controller,1,0,0,0,S.1313 - Local government,"Code: 8411, Description: General public administration activities, Level: 4",PUBLIC_AUTHORITY,0,0,0,0,1,0,Y,1.0,Health,N,0.0,"Children,Employees",NO,Not_Specified,N,0.0,,Not_Assessed,,Not_Discussed,,120,2004-2020,Not_Assessed,0,0,0,0,1,0,,Not_Assessed,1,0,0,0,0,,Inadequate,0,1,0,0,0.0,Norwegian Data Protection Authority,Not_Evaluated,0,1,0,0,,N,0.0,,Not_Evaluated,0,1,0,0,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,"Art. 5, Art. 6, Art. 32(1)(b), Art. 24",,,,,,,1.0,,,,1.0,,,,,1.0,"Art. 6, Art. 32(1)(b), Art. 24",N,0,Y,0,0,0,1,1.0,Y,0,0,0,1,1.0,Not_Assessed,0,1,0,0,,15-03-2021,Cooperative,1,0,0,0,0,1.0,During_Investigation,0,1,0,0,0,1.0,N,1,0,0,0,0.0,N,1,0,0,0,0.0,Neutral,Fine,1000000.0,92000.0,NOK,N,0.0,Y,0,0,0,1,1.0,BREACH_NOTIFICATION,1,0,0,0,0,"Asker municipality published document titles on its website revealing 127 national ID numbers and confidential details, including matters involving children, across 2004–2020. The DPA found violations of GDPR Articles 6, 32(1)(b), and 24, noted gross negligence and inadequate security measures, and highlighted at least 120 affected individuals. A fine of NOK 1,000,000 was imposed, with emphasis on the long duration and seriousness of the breach.",N,0.0,,0,0,0,N,0,,0,0,0,DISCUSSED_NO_PRIOR_FOUND,1,0,0,0,Norway_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,dataNorway.csv
1.0,Norwegian Sports Confederation and the Olympic and Paralympic Committee,Controller,1,0,0,0,S.15 - Non-profit institutions serving households,,NON_PROFIT,0,0,1,0,0,0,N,0.0,,N,0.0,Children,NO,Not_Specified,,,,Not_Assessed,,Not_Discussed,,3200000,87 days,,0,0,0,0,0,0,,Not_Assessed,1,0,0,0,0,,Inadequate,0,1,0,0,0.0,Datatilsynet,Violated,0,0,0,1,0.0,N,0.0,,Not_Evaluated,0,1,0,0,,,,,,,,,,,,1.0,,,,1.0,1.0,"Art. 5(1)(a), Art. 5(1)(c), Art. 5(1)(f), Art. 6(1), Art. 32",,,,,,,,,,,1.0,,,,1.0,1.0,"Art. 5(1)(a), Art. 5(1)(c), Art. 5(1)(f), Art. 6, Art. 32",N,0,Y,0,0,0,1,1.0,Y,0,0,0,1,1.0,Not_Assessed,0,1,0,0,,04-01-2021,Cooperative,1,0,0,0,0,1.0,During_Investigation,0,1,0,0,0,1.0,N,1,0,0,0,0.0,N,1,0,0,0,0.0,Mitigating_Factor,Fine,2500000.0,230000.0,NOK,N,0.0,Y,0,0,0,1,1.0,BREACH_NOTIFICATION,1,0,0,0,0,"NIF tested a cloud solution using real data from 3.2 million individuals, including 486,447 children, exposing it publicly for 87 days due to inadequate security and lack of risk assessment. The DPA found violations of GDPR Art. 5(1)(a),(c),(f), Art. 6, and Art. 32, noting no valid legal basis and insufficient technical and organizational measures. A NOK 2,500,000 fine was proposed after a systematic Art. 83(2) assessment, with mitigation due to limited evidence of harm.",N,0.0,,0,0,0,N,0,,0,0,0,DISCUSSED_NO_PRIOR_FOUND,1,0,0,0,Norway_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dataNorway.csv
