node,node_type,country,country_group,total_decisions,total_fines_eur,avg_fine_eur,breach_cases,year,quarter,fine_eur,breach_case,severity_measures,n_principles_violated,cross_border
Information Commissioner's Office,dpa,GB,NON_EEA,36.0,25003500.0,781359.375,16.0,,,,,,,
NOT_DISCUSSED,dpa,UNCLEAR,NON_EEA,4.0,0.0,0.0,0.0,,,,,,,
The Information Commissioner's Office,dpa,GB,NON_EEA,1.0,0.0,0.0,1.0,,,,,,,
The Information Commissioner,dpa,GB,NON_EEA,3.0,0.0,0.0,1.0,,,,,,,
UNCLEAR,dpa,UNCLEAR,NON_EEA,1.0,0.0,0.0,0.0,,,,,,,
Swedish Data Protection Authority,dpa,SE,EU,2.0,4000000.0,2000000.0,0.0,,,,,,,
Datainspektionen,dpa,SE,EU,7.0,85300000.0,17060000.0,1.0,,,,,,,
The Data Inspectorate,dpa,SE,EU,2.0,670000.0,335000.0,1.0,,,,,,,
Integritetsskyddsmyndigheten (IMY),dpa,SE,EU,16.0,106500000.0,7607142.857142857,0.0,,,,,,,
Integritetsskyddsmyndigheten,dpa,SE,EU,7.0,35350000.0,5050000.0,1.0,,,,,,,
Swedish Authority for Privacy Protection,dpa,SE,EU,4.0,0.0,0.0,0.0,,,,,,,
Integrity Protection Authority,dpa,SE,EU,3.0,300000.0,150000.0,1.0,,,,,,,
The Swedish Privacy Protection Agency (IMY),dpa,SE,EU,1.0,0.0,0.0,0.0,,,,,,,
Swedish Authority for Privacy Protection (IMY),dpa,SE,EU,7.0,0.0,0.0,0.0,,,,,,,
Spanish Agency for Data Protection,dpa,ES,EU,269.0,27582500.0,107324.9027237354,17.0,,,,,,,
Agencia Española de Protección de Datos,dpa,ES,EU,23.0,4842800.0,210556.52173913043,3.0,,,,,,,
Spanish Data Protection Agency,dpa,ES,EU,282.0,27526580.0,100461.9708029197,28.0,,,,,,,
Spanish Data Protection Agency (AEPD),dpa,ES,EU,3.0,0.0,0.0,0.0,,,,,,,
Spanish Agency for Data Protection (AEPD),dpa,ES,EU,1.0,0.0,0.0,0.0,,,,,,,
Agencia Española de Protección de Datos (AEPD),dpa,ES,EU,1.0,0.0,,0.0,,,,,,,
Spanish Agency of Data Protection,dpa,ES,EU,1.0,6000.0,6000.0,0.0,,,,,,,
Catalan Data Protection Authority,dpa,ES,EU,7.0,3000.0,428.57142857142856,2.0,,,,,,,
Catalan Data Protection Authority (APDCAT),dpa,ES,EU,1.0,0.0,0.0,0.0,,,,,,,
Catalan Data Protection Agency (APDCAT),dpa,ES,EU,1.0,0.0,0.0,0.0,,,,,,,
Basque Agency for the Protection of Data,dpa,ES,EU,1.0,0.0,0.0,0.0,,,,,,,
Agència de Protecció de Dades de Catalunya,dpa,ES,EU,1.0,0.0,,0.0,,,,,,,
Basque Agency for Data Protection,dpa,ES,EU,1.0,0.0,,0.0,,,,,,,
Information Commissioner,dpa,SI,EU,40.0,6255.0,208.5,1.0,,,,,,,
