node,total_occurrences,violation_type
SECURITY,746,Article 5
ACCOUNTABILITY,425,Article 5
LAWFULNESS_FAIRNESS_TRANSPARENCY,785,Article 5
PURPOSE_LIMITATION,235,Article 5
INFORMATION_OBLIGATIONS,757,Rights
NONE_VIOLATED,979,Article 5
ACCESS,213,Rights
DATA_MINIMISATION,239,Article 5
STORAGE_LIMITATION,95,Article 5
NOT_DETERMINED,181,Article 5
AUTOMATED_DECISION_MAKING,5,Rights
ERASURE,153,Rights
RECTIFICATION,30,Rights
ACCURACY,76,Article 5
RESTRICTION_OF_PROCESSING,9,Rights
DATA_PORTABILITY,5,Rights
OBJECTION,68,Rights
