decision_id,fine_imposed,fine_amount_log,fine_category,severe_measures,remedy_only,article5_violation,rights_violation,enforcement_outcome,fine_amount_log_missing
Norway_62,1,10.192456296870509,2,0,0,0,1,1,0
Spain_190,1,6.2166061010848646,1,1,0,0,1,2,0
Netherlands_19,1,6.3306117741784975,1,0,0,0,1,1,0
Italy_222,1,9.798182590890704,2,1,0,1,0,2,0
Spain_9,0,0.0,0,0,0,0,1,0,0
Greece_104,1,9.90353755128617,2,1,0,1,1,2,0
United Kingdom_39,0,0.0,0,1,1,1,1,1,0
Iceland_89,0,0.0,0,1,1,1,1,1,0
Italy_218,1,9.61587214452889,2,1,0,1,1,2,0
Spain_202,1,10.645448706505872,2,0,0,0,1,1,0
Spain_70,0,0.0,0,0,0,0,1,0,0
Italy_300,1,9.210440366976517,1,1,0,1,1,2,0
Germany_39,1,10.915106645867503,2,1,0,1,1,2,0
Iceland_11,0,0.0,0,1,1,1,1,1,0
Italy_3,1,3.4339872044851463,1,1,0,1,1,2,0
Malta_12,1,9.90353755128617,2,1,0,1,1,2,0
Italy_133,0,0.0,0,1,1,1,1,1,0
Germany_4,1,12.429220196836383,3,0,0,0,1,1,0
Romania_27,1,9.221042895109319,2,1,0,1,1,2,0
Iceland_77,0,0.0,0,1,1,1,1,1,0
Italy_176,1,10.714439990727769,2,1,0,1,1,2,0
Italy_117,1,9.90353755128617,2,1,0,1,1,2,0
Spain_523,1,10.778977123006351,2,1,0,1,1,2,0
Sweden_26,0,0.0,0,1,1,0,1,1,0
Spain_25,0,0.0,0,0,0,0,1,0,0
Netherlands_29,1,16.118095750958314,4,1,0,1,1,2,0
Romania_66,1,8.001991339249267,1,0,0,0,0,1,0
Greece_26,1,12.035936543600021,3,1,0,1,1,2,0
Germany_24,0,,-1,1,0,1,1,1,1
Spain_355,1,8.006700845440367,1,1,0,1,0,2,0
Slovenia_23,0,,-1,0,0,0,1,0,1
Spain_384,0,0.0,0,1,1,1,1,1,0
United Kingdom_43,0,0.0,0,1,1,1,1,1,0
Greece_88,1,7.601402334583733,1,1,0,1,1,2,0
France_61,1,12.644330802262578,3,1,0,1,1,2,0
Spain_631,0,0.0,0,0,0,0,1,0,0
Spain_532,0,,-1,0,0,0,1,0,1
Italy_165,1,10.596659732783579,2,1,0,1,1,2,0
Spain_187,1,10.819798284210286,2,0,0,0,1,1,0
Iceland_23,0,0.0,0,0,0,0,1,0,0
Italy_64,1,8.517393171418904,1,1,0,1,1,2,0
Romania_87,1,7.313886831633462,1,1,0,1,0,2,0
Italy_96,1,9.90353755128617,2,1,0,1,1,2,0
Spain_553,1,7.313886831633462,1,1,0,0,1,2,0
Spain_11,0,0.0,0,1,1,1,0,1,0
Italy_8,1,1.6094379124341003,1,0,0,0,0,1,0
Spain_357,1,7.601402334583733,1,1,0,1,1,2,0
Spain_600,0,0.0,0,0,1,1,1,0,0
Finland_2,0,0.0,0,0,1,1,0,0,0
Romania_82,1,8.006700845440367,1,1,0,0,1,2,0
Romania_145,1,6.90875477931522,1,1,0,1,1,2,0
Slovenia_10,0,0.0,0,0,0,1,1,0,0
Finland_19,0,0.0,0,1,1,1,1,1,0
France_21,1,8.006700845440367,1,1,0,1,0,2,0
Germany_1,0,0.0,0,1,1,1,1,1,0
United Kingdom_34,1,9.367429587218957,2,1,0,1,1,2,0
Spain_397,1,14.508658238524095,4,1,0,1,1,2,0
Greece_102,1,8.517393171418904,1,0,0,1,1,1,0
Slovenia_67,0,0.0,0,1,1,1,1,1,0
Greece_61,0,,-1,0,0,0,0,0,1
Romania_137,1,6.904148783388026,1,1,0,0,1,2,0
Romania_176,1,9.898706139779097,2,1,0,1,1,2,0
Ireland_21,0,0.0,0,1,1,1,1,1,0
Spain_162,0,0.0,0,0,0,0,1,0,0
Iceland_17,0,,-1,0,0,0,0,0,1
Italy_43,1,11.225256725762893,2,1,0,1,1,2,0
Poland_64,1,9.127067452782361,1,1,0,1,1,2,0
France_1,0,0.0,0,1,1,1,1,1,0
Sweden_42,1,14.081714365022162,4,1,0,1,0,2,0
Italy_14,1,13.304686600863562,3,1,0,1,0,2,0
Spain_456,0,0.0,0,1,1,0,1,1,0
Romania_33,1,1.0986122886681098,1,1,0,0,1,2,0
France_56,1,11.225256725762893,2,1,0,1,1,2,0
Spain_62,1,11.156264806643742,2,1,0,1,1,2,0
Slovenia_35,0,0.0,0,1,1,0,1,1,0
Italy_171,1,12.611541086966115,3,1,0,1,1,2,0
Greece_66,0,,-1,0,0,0,0,0,1
Latvia_14,1,11.082157933374816,2,1,0,1,1,2,0
Italy_179,0,0.0,0,0,1,0,1,0,0
Spain_628,0,0.0,0,1,1,1,1,1,0
United Kingdom_49,0,0.0,0,1,1,0,1,1,0
Slovenia_36,0,0.0,0,0,0,0,1,0,0
Finland_16,0,0.0,0,0,1,1,1,0,0
Greece_15,1,3.4339872044851463,1,0,0,0,0,1,0
Iceland_103,0,0.0,0,1,1,1,1,1,0
Romania_105,1,7.601402334583733,1,0,0,0,0,1,0
Spain_317,0,0.0,0,1,1,1,1,1,0
Spain_225,1,11.51293546492023,2,1,0,1,1,2,0
Norway_57,1,2.9338568698359038,1,1,0,1,1,2,0
Spain_22,0,0.0,0,0,0,0,0,0,0
Spain_544,1,8.517393171418904,1,1,0,1,1,2,0
Italy_225,1,8.517393171418904,1,1,0,0,1,2,0
Italy_58,1,10.596659732783579,2,1,0,1,1,2,0
Spain_539,0,0.0,0,0,1,1,1,0,0
Italy_142,0,0.0,0,1,1,1,1,1,0
Spain_367,1,9.392745258631441,2,1,0,1,1,2,0
Italy_304,1,11.156264806643742,2,1,0,1,1,2,0
Spain_182,1,14.914123179965662,4,1,0,1,0,2,0
Italy_98,1,3.044522437723423,1,1,0,1,1,2,0
Spain_388,1,8.517393171418904,1,1,0,1,1,2,0
Italy_18,1,8.294299608857235,1,1,0,1,1,2,0
Slovenia_22,0,,-1,0,0,0,1,0,1
Spain_124,1,5.707110264748875,1,1,0,1,1,2,0
Spain_529,0,0.0,0,1,1,1,1,1,0
Iceland_22,0,,-1,0,0,0,0,0,1
Italy_210,1,9.90353755128617,2,1,0,1,1,2,0
Germany_37,1,16.15731646026544,4,1,0,1,1,2,0
Sweden_9,1,10.775847295304315,2,1,0,1,1,2,0
Spain_436,1,10.819798284210286,2,1,0,1,0,2,0
Spain_119,0,0.0,0,1,1,1,1,1,0
Italy_160,1,9.61587214452889,2,1,0,1,1,2,0
Norway_2,0,,-1,0,0,0,0,0,1
Spain_414,0,0.0,0,1,1,1,1,1,0
Slovenia_43,0,0.0,0,1,1,1,1,1,0
Spain_535,1,7.601402334583733,1,1,0,1,1,2,0
Spain_485,0,0.0,0,1,1,1,1,1,0
Sweden_54,0,0.0,0,1,1,0,1,1,0
Spain_426,1,12.04355959836804,3,1,0,1,1,2,0
United Kingdom_55,0,0.0,0,1,1,1,0,1,0
Italy_115,1,8.517393171418904,1,1,0,1,1,2,0
