decision_id,country_code_clean,country_group,decision_date_parsed,decision_year,decision_quarter,days_since_gdpr,time_observed,time_observed_prob,ipw_time,country_weight,country_year_weight,fine_eur,fine_positive,fine_log1p,severity_measures_present,enforcement_severity_index,breach_case,breach_types_status,breach_types_conflict,special_data_status,special_data_conflict,special_data_article9,special_data_article10,special_data_neither,vulnerable_status,vulnerable_any,remedial_status,remedial_any,art33_notification_required,art33_submitted,art33_submission_timing,art33_delay_amount,art34_notified,art34_notification_required,initiation_channel,breach_cause,breach_type_cyber_attack,breach_type_human_error,breach_type_organizational_failure,breach_type_system_malfunction,breach_type_technical_failure,q46_vuln_CHILDREN,q46_vuln_ELDERLY,q46_vuln_PATIENTS,q46_vuln_EMPLOYEES,q46_vuln_FINANCIALLY_VULNERABLE,q47_remedial_IMMEDIATE_CESSATION,q47_remedial_SYSTEM_UPGRADES,q47_remedial_POLICY_CHANGES,q47_remedial_STAFF_TRAINING,q47_remedial_EXTERNAL_AUDIT,q47_remedial_DPO_APPOINTMENT,q47_remedial_COMPENSATION_TO_SUBJECTS
United Kingdom_18,GB,NON_EEA,2025-06-05 00:00:00+00:00,2025.0,Q2,2568.0,True,0.6802720616304971,1.4700001020226658,1.85,1.7333333333333334,2310000.0,1,14.652759,1,2,1,DISCUSSED,0,DISCUSSED,0,1.0,0.0,0.0,DISCUSSED,1.0,DISCUSSED,1.0,YES_REQUIRED,YES_SUBMITTED,NO_LATE,1_TO_4_WEEKS,YES_NOTIFIED,YES_REQUIRED,BREACH_NOTIFICATION,EXTERNAL_CAUSE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
United Kingdom_20,GB,NON_EEA,,,,,False,0.4059137623806875,,1.85,,0.0,0,0.0,1,1,1,DISCUSSED,0,DISCUSSED,0,1.0,1.0,0.0,DISCUSSED,1.0,DISCUSSED,1.0,YES_REQUIRED,YES_SUBMITTED,NOT_MENTIONED,NOT_APPLICABLE,YES_NOTIFIED,YES_REQUIRED,BREACH_NOTIFICATION,INTERNAL_CAUSE,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
United Kingdom_10,UNCLEAR,NON_EEA,,,,,False,0.05,,0.6324786324786325,,,0,,0,0,0,NOT_DISCUSSED,0,NOT_DISCUSSED,0,,,,DISCUSSED,0.0,DISCUSSED,0.0,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_MENTIONED,NOT_DISCUSSED,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom_7,UNCLEAR,NON_EEA,,,,,False,0.05,,0.6324786324786325,,,0,,0,0,0,NOT_DISCUSSED,0,NOT_DISCUSSED,0,,,,DISCUSSED,0.0,DISCUSSED,0.0,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_MENTIONED,NOT_DISCUSSED,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom_16,GB,NON_EEA,2020-10-30 00:00:00+00:00,2020.0,Q4,889.0,True,0.6802720616304971,1.4700001020226658,1.85,2.6,18400000.0,1,16.727861,1,2,1,DISCUSSED,0,DISCUSSED,0,1.0,1.0,0.0,NONE_MENTIONED,0.0,DISCUSSED,1.0,YES_REQUIRED,YES_SUBMITTED,NO_LATE,1_TO_4_WEEKS,YES_NOTIFIED,YES_REQUIRED,BREACH_NOTIFICATION,EXTERNAL_CAUSE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
United Kingdom_17,GB,NON_EEA,2020-11-13 00:00:00+00:00,2020.0,Q4,903.0,True,0.6802720616304971,1.4700001020226658,1.85,2.6,1250000.0,1,14.038655,1,2,1,DISCUSSED,0,DISCUSSED,0,1.0,0.0,0.0,NONE_MENTIONED,0.0,DISCUSSED,1.0,YES_REQUIRED,YES_SUBMITTED,YES_WITHIN_72H,NOT_APPLICABLE,YES_NOTIFIED,YES_REQUIRED,BREACH_NOTIFICATION,EXTERNAL_CAUSE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
United Kingdom_21,GB,NON_EEA,2025-06-24 00:00:00+00:00,2025.0,Q2,2587.0,True,0.6802720616304971,1.4700001020226658,1.85,1.7333333333333334,18000.0,1,9.798183,1,2,1,DISCUSSED,0,DISCUSSED,0,1.0,0.0,0.0,NONE_MENTIONED,0.0,DISCUSSED,1.0,YES_REQUIRED,YES_SUBMITTED,NO_LATE,OVER_6_MONTHS,PARTIALLY_NOTIFIED,YES_REQUIRED,BREACH_NOTIFICATION,INTERNAL_CAUSE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
United Kingdom_19,GB,NON_EEA,2021-05-17 00:00:00+00:00,2021.0,Q2,1088.0,True,0.3514791586327218,2.845118908017389,1.85,0.8666666666666667,90000.0,1,11.407576,1,2,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,,,,NONE_MENTIONED,0.0,DISCUSSED,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLAINT,NOT_APPLICABLE,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
United Kingdom_26,GB,NON_EEA,2021-05-24 00:00:00+00:00,2021.0,Q2,1095.0,True,0.2158600309811364,4.632631596756271,1.85,0.8666666666666667,0.0,0,0.0,0,0,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,,,,NONE_MENTIONED,0.0,NONE_MENTIONED,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLAINT,NOT_APPLICABLE,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom_25,GB,NON_EEA,,,,,False,0.4059137623806875,,1.85,,0.0,0,0.0,1,1,1,DISCUSSED,0,NOT_APPLICABLE,0,,,,DISCUSSED,0.0,DISCUSSED,1.0,YES_REQUIRED,NOT_MENTIONED,NOT_MENTIONED,NOT_APPLICABLE,NOT_MENTIONED,NOT_MENTIONED,COMPLAINT,INTERNAL_CAUSE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
