component,token,loading
1,q58_access_issues_NOT_APPLICABLE,-0.7223112766863692
1,q58_access_issues_INADEQUATE_RESPONSE,0.5755223305591012
1,q58_access_issues_EXCESSIVE_DELAY,0.37642672415686246
1,q58_access_issues_SCOPE_LIMITATIONS,0.058711720641476846
1,q58_access_issues_IDENTITY_VERIFICATION_ISSUES,0.03597583235467715
1,q58_access_issues_NO_ISSUES_FOUND,0.022076376853966954
1,q58_access_issues_EXCESSIVE_FEES,0.010709569121546414
2,q58_access_issues_EXCESSIVE_DELAY,-0.7024373549359608
2,q58_access_issues_NOT_APPLICABLE,-0.6204766548642827
2,q58_access_issues_INADEQUATE_RESPONSE,-0.3238308522124467
2,q58_access_issues_NO_ISSUES_FOUND,0.12550967874118324
2,q58_access_issues_IDENTITY_VERIFICATION_ISSUES,-0.02127149749873858
2,q58_access_issues_EXCESSIVE_FEES,-0.0182464130680855
2,q58_access_issues_SCOPE_LIMITATIONS,0.013637252690885
3,q58_access_issues_INADEQUATE_RESPONSE,-0.7196101646331909
3,q58_access_issues_EXCESSIVE_DELAY,0.5944584739357103
3,q58_access_issues_NOT_APPLICABLE,-0.27801313511622533
3,q58_access_issues_SCOPE_LIMITATIONS,-0.19408471168466446
3,q58_access_issues_NO_ISSUES_FOUND,0.11016189371497065
3,q58_access_issues_IDENTITY_VERIFICATION_ISSUES,-0.041034291561939315
3,q58_access_issues_EXCESSIVE_FEES,0.0008361847205416439
