component,token,loading
1,q59_adm_issues_NOT_APPLICABLE,-0.9902770994492248
1,q59_adm_issues_NO_EXPLANATION_PROVIDED,0.08844534645940952
1,q59_adm_issues_PROFILING_WITHOUT_CONSENT,0.06870419919596216
1,q59_adm_issues_LACK_OF_HUMAN_INTERVENTION,0.04763898966514279
1,q59_adm_issues_NO_ISSUES_FOUND,0.04763898966514258
1,q59_adm_issues_INADEQUATE_SAFEGUARDS,0.04763898966514246
2,q59_adm_issues_NO_EXPLANATION_PROVIDED,-0.5199250038168164
2,q59_adm_issues_PROFILING_WITHOUT_CONSENT,-0.48281150845904186
2,q59_adm_issues_LACK_OF_HUMAN_INTERVENTION,-0.3990234598697771
2,q59_adm_issues_NO_ISSUES_FOUND,-0.39902345986977633
2,q59_adm_issues_INADEQUATE_SAFEGUARDS,-0.39902345986977616
2,q59_adm_issues_NOT_APPLICABLE,-0.13752044621163273
3,q59_adm_issues_NO_EXPLANATION_PROVIDED,-0.6926337591666102
3,q59_adm_issues_LACK_OF_HUMAN_INTERVENTION,0.39498777628123444
3,q59_adm_issues_NO_ISSUES_FOUND,0.3949877762812338
3,q59_adm_issues_INADEQUATE_SAFEGUARDS,0.39498777628123366
3,q59_adm_issues_PROFILING_WITHOUT_CONSENT,-0.2275658576096268
3,q59_adm_issues_NOT_APPLICABLE,-0.020645238636133822
