component,token,loading
1,q56_rights_discussed_INFORMATION_OBLIGATIONS,0.7263398187382589
1,q56_rights_discussed_NONE_DISCUSSED,-0.6716787284621278
1,q56_rights_discussed_ACCESS,0.09989252009781795
1,q56_rights_discussed_ERASURE,0.08935604344633878
1,q56_rights_discussed_OBJECTION,0.04182232011433508
1,q56_rights_discussed_RECTIFICATION,0.02996325327621896
1,q56_rights_discussed_RESTRICTION_OF_PROCESSING,0.022238331476756294
1,q56_rights_discussed_DATA_PORTABILITY,0.010605542156531911
1,q56_rights_discussed_AUTOMATED_DECISION_MAKING,0.007823775108617252
2,q56_rights_discussed_ACCESS,0.6243812116849818
2,q56_rights_discussed_INFORMATION_OBLIGATIONS,-0.4895863045026833
2,q56_rights_discussed_ERASURE,0.45289290313609665
2,q56_rights_discussed_NONE_DISCUSSED,-0.36015870457615695
2,q56_rights_discussed_OBJECTION,0.1402806011106229
2,q56_rights_discussed_RECTIFICATION,0.09488213563574299
2,q56_rights_discussed_RESTRICTION_OF_PROCESSING,0.06783030233227486
2,q56_rights_discussed_DATA_PORTABILITY,0.03721639061713126
2,q56_rights_discussed_AUTOMATED_DECISION_MAKING,0.030980677677716863
3,q56_rights_discussed_ERASURE,-0.7841110918771882
3,q56_rights_discussed_ACCESS,0.5968006478387843
3,q56_rights_discussed_OBJECTION,-0.14181740948786198
3,q56_rights_discussed_RESTRICTION_OF_PROCESSING,-0.05907785832618075
3,q56_rights_discussed_RECTIFICATION,-0.05344495285739598
3,q56_rights_discussed_NONE_DISCUSSED,-0.032785954485238356
3,q56_rights_discussed_DATA_PORTABILITY,-0.029647514975639208
3,q56_rights_discussed_AUTOMATED_DECISION_MAKING,-0.02401625069762233
3,q56_rights_discussed_INFORMATION_OBLIGATIONS,-0.0030617179615919786
