component,token,loading
1,q57_rights_violated_INFORMATION_OBLIGATIONS,0.7232293469685431
1,q57_rights_violated_NONE_VIOLATED,-0.6685402217847926
1,q57_rights_violated_ACCESS,0.14037680800896415
1,q57_rights_violated_ERASURE,0.08327956317666667
1,q57_rights_violated_OBJECTION,0.04967179013196585
1,q57_rights_violated_RECTIFICATION,0.02134280225806029
1,q57_rights_violated_NOT_DETERMINED,-0.017984968320300825
1,q57_rights_violated_RESTRICTION_OF_PROCESSING,0.008831829098642732
1,q57_rights_violated_DATA_PORTABILITY,0.004388671839893268
1,q57_rights_violated_AUTOMATED_DECISION_MAKING,0.0029371747213299618
2,q57_rights_violated_INFORMATION_OBLIGATIONS,-0.6297870359270854
2,q57_rights_violated_NONE_VIOLATED,-0.570492204116174
2,q57_rights_violated_ACCESS,0.3741932962745994
2,q57_rights_violated_ERASURE,0.2591036151591029
2,q57_rights_violated_NOT_DETERMINED,0.2527294794853215
2,q57_rights_violated_OBJECTION,0.07098205014261597
2,q57_rights_violated_RECTIFICATION,0.040929652463028654
2,q57_rights_violated_RESTRICTION_OF_PROCESSING,0.012697882976900478
2,q57_rights_violated_DATA_PORTABILITY,0.0017224597891116907
2,q57_rights_violated_AUTOMATED_DECISION_MAKING,0.0012438896830910904
3,q57_rights_violated_ACCESS,0.7550108695076054
3,q57_rights_violated_NONE_VIOLATED,0.3752779905403121
3,q57_rights_violated_NOT_DETERMINED,-0.3363026618877979
3,q57_rights_violated_ERASURE,0.3288943784945694
3,q57_rights_violated_OBJECTION,0.18197998193450277
3,q57_rights_violated_INFORMATION_OBLIGATIONS,0.13755681591095803
3,q57_rights_violated_RECTIFICATION,0.10293217308254193
3,q57_rights_violated_RESTRICTION_OF_PROCESSING,0.06029954543310373
3,q57_rights_violated_DATA_PORTABILITY,0.0321588115871919
3,q57_rights_violated_AUTOMATED_DECISION_MAKING,0.023455833329252107
