feature,source,kind,origin,dtype,observed_rate,nonzero_rate,variance,min,max
access_issues__EXCESSIVE_DELAY,long:access_issues,binary,access_issues,float64,1.0,0.037298387096774195,0.03594345073402559,0.0,1.0
access_issues__EXCESSIVE_FEES,long:access_issues,binary,access_issues,float64,1.0,0.0,0.0,0.0,0.0
access_issues__IDENTITY_VERIFICATION_ISSUES,long:access_issues,binary,access_issues,float64,1.0,0.0030241935483870967,0.003018090231437779,0.0,1.0
access_issues__INADEQUATE_RESPONSE,long:access_issues,binary,access_issues,float64,1.0,0.07963709677419355,0.07336899026724392,0.0,1.0
access_issues__NOT_APPLICABLE,long:access_issues,binary,access_issues,float64,1.0,0.5282258064516129,0.24945477035252753,0.0,1.0
access_issues__NO_ISSUES_FOUND,long:access_issues,binary,access_issues,float64,1.0,0.004032258064516129,0.004020051430617493,0.0,1.0
access_issues__SCOPE_LIMITATIONS,long:access_issues,binary,access_issues,float64,1.0,0.006048387096774193,0.006017870512027604,0.0,1.0
adm_issues__INADEQUATE_SAFEGUARDS,long:adm_issues,binary,adm_issues,float64,1.0,0.0,0.0,0.0,0.0
adm_issues__NOT_APPLICABLE,long:adm_issues,binary,adm_issues,float64,1.0,0.59375,0.24145433905146316,0.0,1.0
adm_issues__NO_EXPLANATION_PROVIDED,long:adm_issues,binary,adm_issues,float64,1.0,0.0020161290322580645,0.0020140945932749575,0.0,1.0
adm_issues__NO_ISSUES_FOUND,long:adm_issues,binary,adm_issues,float64,1.0,0.0,0.0,0.0,0.0
adm_issues__PROFILING_WITHOUT_CONSENT,long:adm_issues,binary,adm_issues,float64,1.0,0.0,0.0,0.0,0.0
aggravating_factors__CODES_CERTIFICATION,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.0,0.0,0.0,0.0
aggravating_factors__COMPLIANCE_PRIOR_ORDERS,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.0,0.0,0.0,0.0
aggravating_factors__COOPERATION_WITH_AUTHORITY,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.037298387096774195,0.03594345073402559,0.0,1.0
aggravating_factors__DATA_CATEGORIES_AFFECTED,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.17943548387096775,0.14738696657009864,0.0,1.0
aggravating_factors__INTENT_NEGLIGENCE,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.3377016129032258,0.2238849239933596,0.0,1.0
aggravating_factors__MANNER_BECAME_KNOWN,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.015120967741935484,0.014907351648709344,0.0,1.0
aggravating_factors__MITIGATION_ACTIONS,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.020161290322580645,0.0197747469157905,0.0,1.0
aggravating_factors__NATURE_GRAVITY_DURATION,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.3467741935483871,0.2267504313010644,0.0,1.0
aggravating_factors__NONE,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.18346774193548387,0.14995849744474465,0.0,1.0
aggravating_factors__OTHER_CIRCUMSTANCES,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.016129032258064516,0.0158848995800918,0.0,1.0
aggravating_factors__PREVIOUS_INFRINGEMENTS,long:aggravating_factors,binary,aggravating_factors,float64,1.0,0.046370967741935484,0.04426532339442075,0.0,1.0
