group_axis,group_value,predicted_mean,actual_mean,cases
country_group,EEA_NON_EU,0.3216374269006939,0.3216374269005848,171
country_group,EU,0.6620428751574509,0.6620428751576293,1586
country_group,EU_INSTITUTION,2.1433445877110464e-11,0.0,1
country_group,NON_EEA,0.20754716981132085,0.20754716981132076,159
country_group,UNKNOWN,2.1433445857701456e-11,0.0,81
isic_section,A,2.143321684263489e-11,0.0,1
isic_section,C,0.9999999999740751,1.0,11
isic_section,D,0.9696969696969693,0.9696969696969697,33
isic_section,E,0.6666666666666639,0.6666666666666666,9
isic_section,F,0.799999999999992,0.8,5
isic_section,G,0.7500000000000007,0.75,60
isic_section,H,0.8095238095238092,0.8095238095238095,42
isic_section,I,0.8947368421052634,0.8947368421052632,19
isic_section,J,0.6760563380281679,0.676056338028169,213
isic_section,K,0.7153846153846188,0.7153846153846154,130
isic_section,L,0.9285714285714274,0.9285714285714286,14
isic_section,M,0.6499999999999977,0.65,20
isic_section,N,0.7777777777777777,0.7777777777777778,27
isic_section,O,0.4534161490683213,0.453416149068323,161
isic_section,P,0.5714285714285678,0.5714285714285714,35
isic_section,Q,0.7184466019417478,0.7184466019417476,103
isic_section,R,0.7999999999999983,0.8,20
isic_section,S,0.6249999999999977,0.625,24
