feature,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],target
const,712938733321557.2,67323552.88203484,10589737.2138214,0.0,712938601369818.2,712938865273296.2,power_none_flag
breach_case,58178853064917.7,2247730.440203148,25883376.41575008,0.0,58178848659446.99,58178857470388.414,power_none_flag
n_principles_discussed,140676608328864.12,2263803.225331888,62141712.12175035,0.0,140676603891891.33,140676612765836.92,power_none_flag
n_principles_violated,-191727739417501.1,2483932.200537398,-77187187.06413196,0.0,-191727744285918.75,-191727734549083.44,power_none_flag
n_corrective_measures,-606233556529185.4,1927604.1676393684,-314501061.32090724,0.0,-606233560307220.1,-606233552751150.6,power_none_flag
turnover_log1p,-622844877781119.0,1743660.2822574833,-357205405.27236974,0.0,-622844881198630.4,-622844874363607.6,power_none_flag
decision_year_centered,-7984586545088.742,1563124.135237012,-5108094.977932166,0.0,-7984589608755.751,-7984583481421.733,power_none_flag
art33_required_flag,-155287546042986.5,10778913.431068534,-14406604.806324393,0.0,-155287567169268.62,-155287524916704.38,power_none_flag
art33_submitted_flag,633551238540691.1,13873093.428014893,45667625.74101299,0.0,633551211349927.6,633551265731454.6,power_none_flag
art33_timely_flag,14586432719169.469,10252691.511156878,1422693.026830726,0.0,14586412624263.361,14586452814075.576,power_none_flag
art34_required_flag,-238413210687500.25,11667917.31761697,-20433227.644451056,0.0,-238413233556197.97,-238413187818802.53,power_none_flag
subjects_notified_flag,57797946249288.69,12556928.459917951,4602872.942517851,0.0,57797921638161.15,57797970860416.23,power_none_flag
q15_case_initiation_BREACH_NOTIFICATION,-491261571831002.8,11028374.907846376,-44545236.80379093,0.0,-491261593446220.44,-491261550215785.2,power_none_flag
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,-46925078392186.234,4897844.21337425,-9580761.72860924,0.0,-46925087991784.49,-46925068792587.98,power_none_flag
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,-1749684215004245.2,14199240.580726182,-123223788.27634192,0.0,-1749684242834245.5,-1749684187174245.0,power_none_flag
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,-98045265728097.97,5402072.523134663,-18149564.87685308,0.0,-98045276315965.56,-98045255140230.38,power_none_flag
q25_sensitive_data_ARTICLE_10_CRIMINAL,-1527961419485479.8,18963426.485020295,-80574120.96344805,0.0,-1527961456653112.8,-1527961382317846.8,power_none_flag
q28_mitigations_IMMEDIATE_CONTAINMENT,62466408075620.51,8979832.411550751,6956299.985651182,0.0,62466390475472.39,62466425675768.625,power_none_flag
q28_mitigations_SECURITY_IMPROVEMENTS,25889450741360.062,10171442.200161211,2545307.7579253935,0.0,25889430805699.68,25889470677020.445,power_none_flag
q28_mitigations_COOPERATION_WITH_DPA,80582491717243.12,9761119.419215905,8255455.983727345,0.0,80582472585800.61,80582510848685.64,power_none_flag
q41_aggrav_PREVIOUS_INFRINGEMENTS,-241881858416408.94,7052440.800439337,-34297609.191039324,0.0,-241881872238938.9,-241881844593878.97,power_none_flag
q41_aggrav_INTENT_NEGLIGENCE,-1088442710026683.9,5232662.721496021,-208009338.2581894,0.0,-1088442720282514.4,-1088442699770853.4,power_none_flag
q42_mitig_COOPERATION_WITH_AUTHORITY,-477992605042014.0,4613341.292063551,-103610935.06442216,0.0,-477992614083996.75,-477992596000031.25,power_none_flag
q46_vuln_CHILDREN,-103626758012751.05,6146287.90166953,-16860055.967212774,0.0,-103626770059253.97,-103626745966248.12,power_none_flag
q46_vuln_EMPLOYEES,119535100161462.23,4883203.787721866,24478826.8845172,0.0,119535090590558.69,119535109732365.78,power_none_flag
q46_vuln_FINANCIALLY_VULNERABLE,-128433327577717.02,10461509.373325504,-12276749.27149548,0.0,-128433348081898.61,-128433307073535.42,power_none_flag
q21_breach_types_count,135086703686564.3,2233965.2633944536,60469473.67538897,0.0,135086699308072.84,135086708065055.75,power_none_flag
q25_sensitive_data_count,36661678029365.13,3119366.383982788,11752924.638033615,0.0,36661671915519.37,36661684143210.9,power_none_flag
q28_mitigations_count,-112920688658626.39,4538879.946770906,-24878536.110866185,0.0,-112920697554667.61,-112920679762585.17,power_none_flag
q41_aggrav_count,225269024743529.56,3125882.991722103,72065725.21750884,0.0,225269018616911.47,225269030870147.66,power_none_flag
