feature,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.,target
breach_case,,,,,,,power_none_flag
n_principles_discussed,,,,,,,power_none_flag
n_principles_violated,,,,,,,power_none_flag
n_corrective_measures,,,,,,,power_none_flag
turnover_log1p,,,,,,,power_none_flag
decision_year_centered,,,,,,,power_none_flag
art33_required_flag,,,,,,,power_none_flag
art33_submitted_flag,,,,,,,power_none_flag
art33_timely_flag,,,,,,,power_none_flag
art34_required_flag,,,,,,,power_none_flag
subjects_notified_flag,,,,,,,power_none_flag
q15_case_initiation_BREACH_NOTIFICATION,,,,,,,power_none_flag
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,,,,,,,power_none_flag
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,,,,,,,power_none_flag
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,,,,,,,power_none_flag
q25_sensitive_data_ARTICLE_10_CRIMINAL,,,,,,,power_none_flag
q28_mitigations_IMMEDIATE_CONTAINMENT,,,,,,,power_none_flag
q28_mitigations_SECURITY_IMPROVEMENTS,,,,,,,power_none_flag
q28_mitigations_COOPERATION_WITH_DPA,,,,,,,power_none_flag
q41_aggrav_PREVIOUS_INFRINGEMENTS,,,,,,,power_none_flag
q41_aggrav_INTENT_NEGLIGENCE,,,,,,,power_none_flag
q42_mitig_COOPERATION_WITH_AUTHORITY,,,,,,,power_none_flag
q46_vuln_CHILDREN,,,,,,,power_none_flag
q46_vuln_EMPLOYEES,,,,,,,power_none_flag
q46_vuln_FINANCIALLY_VULNERABLE,,,,,,,power_none_flag
q21_breach_types_count,,,,,,,power_none_flag
q25_sensitive_data_count,,,,,,,power_none_flag
q28_mitigations_count,,,,,,,power_none_flag
q41_aggrav_count,,,,,,,power_none_flag
q42_mitig_count,,,,,,,power_none_flag
q46_vuln_count,,,,,,,power_none_flag
q47_remedial_count,,,,,,,power_none_flag
country_group_EU,,,,,,,power_none_flag
country_group_EU_INSTITUTION,,,,,,,power_none_flag
country_group_NON_EEA,,,,,,,power_none_flag
country_group_UNKNOWN,,,,,,,power_none_flag
isic_section_C,,,,,,,power_none_flag
isic_section_D,,,,,,,power_none_flag
isic_section_E,,,,,,,power_none_flag
isic_section_F,,,,,,,power_none_flag
isic_section_G,,,,,,,power_none_flag
isic_section_H,,,,,,,power_none_flag
isic_section_I,,,,,,,power_none_flag
isic_section_J,,,,,,,power_none_flag
isic_section_K,,,,,,,power_none_flag
isic_section_L,,,,,,,power_none_flag
isic_section_M,,,,,,,power_none_flag
isic_section_N,,,,,,,power_none_flag
isic_section_O,,,,,,,power_none_flag
isic_section_P,,,,,,,power_none_flag
isic_section_Q,,,,,,,power_none_flag
isic_section_R,,,,,,,power_none_flag
isic_section_S,,,,,,,power_none_flag
isic_section_UNKNOWN,,,,,,,power_none_flag
