feature,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],target
const,22.162097722559416,131013.03981106143,0.00016915948026639306,0.9998650302630256,-256758.67743707015,256803.00163251525,power_reprimand_flag
breach_case,-0.13261627554063024,0.09719092386333818,-1.3644923853908855,0.17241264912597587,-0.32310698593694753,0.05787443485568708,power_reprimand_flag
n_principles_discussed,0.16709272292608934,0.09459848118392404,1.76633621211336,0.07733945975967026,-0.018316893186591743,0.35250233903877043,power_reprimand_flag
n_principles_violated,0.2123960605019173,0.10188183253128684,2.0847294873371336,0.03709386244827087,0.012711338061653865,0.41208078294218076,power_reprimand_flag
n_corrective_measures,1.8348569115181685,0.09820006978297836,18.684883988098914,6.572157363862618e-78,1.6423883114642108,2.0273255115721263,power_reprimand_flag
turnover_log1p,-0.11194005640501437,0.07675906353961141,-1.4583301468659509,0.14474956448403486,-0.26238505642967436,0.0385049436196456,power_reprimand_flag
decision_year_centered,0.20604265385713755,0.06608425518528525,3.117878128147782,0.0018215811086013623,0.07651989374882415,0.3355654139654509,power_reprimand_flag
art33_required_flag,0.28259893928301105,0.43259777287044915,0.6532602731813912,0.5135884989636958,-0.5652771153353078,1.1304749939013299,power_reprimand_flag
art33_submitted_flag,-1.2784324902890623,0.5989377219309168,-2.1344998711510783,0.03280188418860976,-2.452328854256125,-0.10453612632199971,power_reprimand_flag
art33_timely_flag,0.2293213919866774,0.4593295114640211,0.4992524674840971,0.6176015363420595,-0.670947907519182,1.1295906914925367,power_reprimand_flag
art34_required_flag,0.36533864507770597,0.4860704553122017,0.7516166454573956,0.45228163029210133,-0.5873419412831952,1.318019231438607,power_reprimand_flag
subjects_notified_flag,-0.16419383627345235,0.542901027328478,-0.3024378809548801,0.7623182811203295,-1.2282602970070648,0.8998726244601603,power_reprimand_flag
q15_case_initiation_BREACH_NOTIFICATION,0.1354980709925152,0.4843195106846611,0.27977000307290445,0.779653967105616,-0.8137507269594825,1.0847468689445128,power_reprimand_flag
