feature,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.,target
breach_case,0.014550486600781625,0.008600928556915303,1.6917343871067003,0.09069662879562626,-0.002307023604374429,0.03140799680593768,power_warning_flag
n_principles_discussed,-0.008339772731031753,0.009396355826696645,-0.8875539501534243,0.37478073366088527,-0.026756291737280266,0.010076746275216758,power_warning_flag
n_principles_violated,0.01554588807546642,0.009791745780893556,1.5876523373187252,0.11236497636381382,-0.0036455810008569744,0.03473735715178981,power_warning_flag
n_corrective_measures,0.06058755923274677,0.00650851346849847,9.308970400997644,1.2907748159393468e-20,0.04783110724159591,0.07334401122389764,power_warning_flag
turnover_log1p,-0.01548175928816692,0.008957609696268538,-1.7283359973382342,0.08392800286876075,-0.033038351680420026,0.0020748331040861875,power_warning_flag
decision_year_centered,-0.003963273848949033,0.006342381238698567,-0.6248873569388714,0.5320449908117972,-0.01639411265302076,0.008467564955122693,power_warning_flag
art33_required_flag,-0.010908406923075037,0.04012891931842046,-0.2718340565445461,0.7857496175510396,-0.08955964352569276,0.06774282967954268,power_warning_flag
art33_submitted_flag,-0.0860511796590358,0.0647699037660721,-1.3285673539028988,0.18399074855023612,-0.21299785832266233,0.04089549900459072,power_warning_flag
art33_timely_flag,0.020067185599626218,0.053714129003242995,0.37359231122252134,0.7087076551660678,-0.08521057270766841,0.12534494390692083,power_warning_flag
art34_required_flag,0.08649569694896668,0.04887455301691529,1.7697491150257858,0.07676894402400887,-0.009296666724680727,0.1822880606226141,power_warning_flag
subjects_notified_flag,-0.06475181186715832,0.058593236056737275,-1.1051072824251855,0.26911310542861466,-0.17959244427601706,0.05008882054170043,power_warning_flag
q15_case_initiation_BREACH_NOTIFICATION,0.034774003838349964,0.0558524441831971,0.6226048715843224,0.533544209089803,-0.07469477520925,0.1442427828859499,power_warning_flag
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,-0.07899496448436147,0.022809044104344776,-3.4633176262443253,0.0005335581527574109,-0.12369986945066289,-0.03429005951806005,power_warning_flag
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,-0.2661789518177987,0.1531489008883813,-1.7380402358342522,0.08220372431183404,-0.5663452818309203,0.03398737819532288,power_warning_flag
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,0.008603293613144157,0.02053300237916558,0.4189983254408885,0.6752173561733406,-0.03164065154449562,0.04884723877078394,power_warning_flag
q25_sensitive_data_ARTICLE_10_CRIMINAL,0.009692425887072247,0.07276690245646773,0.13319827503816958,0.894036575012369,-0.1329280821941437,0.1523129339682882,power_warning_flag
q28_mitigations_IMMEDIATE_CONTAINMENT,-0.028614211216433753,0.035890219685845444,-0.7972704393258078,0.42529398447530176,-0.09895774919792127,0.041729326765053774,power_warning_flag
q28_mitigations_SECURITY_IMPROVEMENTS,0.04156134340351634,0.04220762583866233,0.9846880173356257,0.3247773404025066,-0.04116408311320403,0.12428676992023671,power_warning_flag
q28_mitigations_COOPERATION_WITH_DPA,-0.025802682607763118,0.042829384273248366,-0.6024528030369027,0.5468727707677457,-0.1097467332633561,0.05814136804782987,power_warning_flag
q41_aggrav_PREVIOUS_INFRINGEMENTS,-0.05344634439186696,0.03551112728370483,-1.505059075282923,0.13230888936544982,-0.12304687491834611,0.016154186134612183,power_warning_flag
q41_aggrav_INTENT_NEGLIGENCE,-0.06664706812870526,0.021882236188988973,-3.0457156002292725,0.00232127287454243,-0.10953546296032265,-0.023758673297087862,power_warning_flag
q42_mitig_COOPERATION_WITH_AUTHORITY,-0.0037881031698230733,0.017547785733269525,-0.21587357102503607,0.8290862986443324,-0.038181131215457124,0.030604924875810978,power_warning_flag
q46_vuln_CHILDREN,0.040225197871083425,0.020498173720284205,1.962379596348045,0.04971830643978475,4.951563048097296e-05,0.08040088011168588,power_warning_flag
q46_vuln_EMPLOYEES,-0.02134642178861944,0.019225946533698295,-1.1102923724043694,0.26687305888714385,-0.0590285845633608,0.01633574098612191,power_warning_flag
q46_vuln_FINANCIALLY_VULNERABLE,-0.1956137220143923,0.14470329377447697,-1.351826326215216,0.17643088024333653,-0.4792269662566862,0.08799952222790158,power_warning_flag
q21_breach_types_count,0.004128555819225174,0.009597336342067761,0.43017725669658774,0.6670667047628321,-0.014681877758745025,0.02293898939719537,power_warning_flag
