feature,mean_abs_shap
n_corrective_measures,0.9214712983032697
q41_aggrav_count,0.5612456712213914
country_group_EU,0.5321895203018846
n_principles_violated,0.2682010815344759
q41_aggrav_INTENT_NEGLIGENCE,0.18725990214990915
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,0.17638879442592834
turnover_log1p,0.17100718385683278
q47_remedial_count,0.16429379075639766
n_principles_discussed,0.15669612255373538
isic_section_UNKNOWN,0.15341135719819746
q41_aggrav_PREVIOUS_INFRINGEMENTS,0.14872630266822964
q28_mitigations_count,0.10082315775884587
art33_submitted_flag,0.0958936777971633
q46_vuln_EMPLOYEES,0.08767295133705057
isic_section_O,0.07942068230026542
q46_vuln_FINANCIALLY_VULNERABLE,0.06800324302757862
q42_mitig_count,0.06372704034153426
q46_vuln_CHILDREN,0.06238624351444788
isic_section_H,0.062055218434618246
art34_required_flag,0.05731091630453845
q25_sensitive_data_count,0.04959952554018405
q28_mitigations_IMMEDIATE_CONTAINMENT,0.04937202965653632
isic_section_S,0.042743656279969754
isic_section_K,0.04078259954236818
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,0.037234390975733576
decision_year_centered,0.03664542328446184
q28_mitigations_SECURITY_IMPROVEMENTS,0.0349111746776628
breach_case,0.030456668941034125
q42_mitig_COOPERATION_WITH_AUTHORITY,0.02742711686464926
art33_required_flag,0.02483200311617925
subjects_notified_flag,0.024175145346334078
isic_section_G,0.023635718838267365
isic_section_L,0.023127504668564728
isic_section_J,0.021863187870149455
art33_timely_flag,0.021160573249878502
isic_section_Q,0.016896002950768884
isic_section_N,0.01641250868931636
isic_section_D,0.014061797468065023
q21_breach_types_count,0.013202553981485092
isic_section_P,0.012555548539880213
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,0.009747552367547548
isic_section_I,0.005778323330269834
isic_section_R,0.004420087202731117
country_group_NON_EEA,0.004007051106004069
q25_sensitive_data_ARTICLE_10_CRIMINAL,0.002976207085848489
isic_section_E,0.002071354691906466
isic_section_M,0.0017142311562120321
q46_vuln_count,0.0009948517425988055
isic_section_C,0.0007667939222886165
q15_case_initiation_BREACH_NOTIFICATION,0.00045207139032032897
q28_mitigations_COOPERATION_WITH_DPA,0.0001806630103518461
isic_section_F,3.1150031194902396e-06
country_group_UNKNOWN,0.0
country_group_EU_INSTITUTION,0.0
