metric,value
total_records,999
valid_breach_records,999
breach_cases_total,97
breach_cases_fined,64
breach_fine_rate,0.6597938144329897
non_breach_cases_total,902
non_breach_cases_fined,337
non_breach_fine_rate,0.3736141906873614
rate_difference_pct_points,28.61796237456283
relative_risk,1.7659763223102574
chi2_statistic,28.672996322036855
chi2_p_value,8.569033063780981e-08
fisher_odds_ratio,3.251506159518029
fisher_p_value,9.183442125535063e-08
breach_fines_n,64
breach_fines_mean,1195972.640625
breach_fines_median,25000.0
non_breach_fines_n,337
non_breach_fines_mean,645776.1725816024
non_breach_fines_median,15000.0
mannwhitney_p_value,0.0574326499428434
cohens_d,0.10768951935956217
hypothesis_supported,True
