decision_id,country_code,country_status,country_group,country_mapped_from_uk,country_whitelist_ok,dpa_name_raw,dpa_name_canonical,decision_date,decision_date_status,decision_year,decision_quarter,fine_eur,fine_numeric_valid,fine_positive,fine_log1p,fine_outlier_flag,fine_raw,fine_status,turnover_eur,turnover_numeric_valid,turnover_log1p,turnover_outlier_flag,turnover_raw,turnover_status,fine_to_turnover_ratio,isic_code,isic_desc,isic_section,n_principles_discussed,n_principles_violated,n_corrective_measures,severity_measures_present,remedy_only_case,breach_case,q36_text,q36_lang,q36_tokens,q52_text,q52_lang,q52_tokens,q67_text,q67_lang,q67_tokens,q68_text,q68_lang,q68_tokens,schema_echo_flag,schema_echo_fields,q30_discussed_known,q30_discussed_unknown,q30_discussed_status,q30_discussed_exclusivity_conflict,q31_violated_known,q31_violated_unknown,q31_violated_status,q31_violated_exclusivity_conflict,q32_bases_known,q32_bases_unknown,q32_bases_status,q32_bases_exclusivity_conflict,q41_aggrav_known,q41_aggrav_unknown,q41_aggrav_status,q41_aggrav_exclusivity_conflict,q42_mitig_known,q42_mitig_unknown,q42_mitig_status,q42_mitig_exclusivity_conflict,q46_vuln_known,q46_vuln_unknown,q46_vuln_status,q46_vuln_exclusivity_conflict,q47_remedial_known,q47_remedial_unknown,q47_remedial_status,q47_remedial_exclusivity_conflict,q50_other_measures_known,q50_other_measures_unknown,q50_other_measures_status,q50_other_measures_exclusivity_conflict,q53_powers_known,q53_powers_unknown,q53_powers_status,q53_powers_exclusivity_conflict,q54_scopes_known,q54_scopes_unknown,q54_scopes_status,q54_scopes_exclusivity_conflict,q56_rights_discussed_known,q56_rights_discussed_unknown,q56_rights_discussed_status,q56_rights_discussed_exclusivity_conflict,q57_rights_violated_known,q57_rights_violated_unknown,q57_rights_violated_status,q57_rights_violated_exclusivity_conflict,q58_access_issues_known,q58_access_issues_unknown,q58_access_issues_status,q58_access_issues_exclusivity_conflict,q59_adm_issues_known,q59_adm_issues_unknown,q59_adm_issues_status,q59_adm_issues_exclusivity_conflict,q61_dpo_issues_known,q61_dpo_issues_unknown,q61_dpo_issues_status,q61_dpo_issues_exclusivity_conflict,q64_transfer_violations_known,q64_transfer_violations_unknown,q64_transfer_violations_status,q64_transfer_violations_exclusivity_conflict
United Kingdom_18,GB,DISCUSSED,NON_EEA,1,0,Information Commissioner's Office,Information Commissioner's Office,2025-06-05T00:00:00+00:00,DISCUSSED,2025,Q2,2310000.000000,1,1,14.652759,0,2310000,DISCUSSED,168251493.000000,1,18.940970,0,168251493,DISCUSSED,0.01372945,6209,Other information technology and computer service activities,J,2,1,1,1,0,1,"Defendant failed to implement appropriate technical and organizational security measures, including mandatory multi-factor authentication and effective monitoring, leading to a credential stuffing attack that compromised sensitive genetic and health data.",ENGLISH_LIKELY,30,"Fine calculated based on seriousness of infringements, high sensitivity of genetic data, and number of affected subjects. Adjusted downward due to defendant's financial distress and partial cooperation, but increased for aggravating factors like delayed breach notification.",ENGLISH_LIKELY,36,"ICO Guidance on Data Security, NCSC guidance on passwords and logging",ENGLISH_LIKELY,11,"UK ICO fined 23andMe £2.31M for GDPR security failures after a credential stuffing attack exposed genetic and health data of 155,592 UK customers. The company lacked MFA, effective monitoring, and breach response, causing distress and non-material harm.",ENGLISH_LIKELY,37,0,,"SECURITY,ACCOUNTABILITY",,DISCUSSED,0,SECURITY,,DISCUSSED,0,CONSENT,,DISCUSSED,0,"NATURE_GRAVITY_DURATION,INTENT_NEGLIGENCE,DATA_CATEGORIES_AFFECTED,MANNER_BECAME_KNOWN",,DISCUSSED,0,"MITIGATION_ACTIONS,COOPERATION_WITH_AUTHORITY",,DISCUSSED,0,PATIENTS,,DISCUSSED,0,"IMMEDIATE_CESSATION,SYSTEM_UPGRADES,POLICY_CHANGES,STAFF_TRAINING",,DISCUSSED,0,NONE,,DISCUSSED,0,ADMINISTRATIVE_FINE,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,INFORMATION_OBLIGATIONS,,DISCUSSED,0,INFORMATION_OBLIGATIONS,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NO_ISSUES_FOUND,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0
United Kingdom_20,GB,DISCUSSED,NON_EEA,1,0,Information Commissioner's Office,Information Commissioner's Office,,NOT_DISCUSSED,,,0.000000,1,0,0.000000,0,0,DISCUSSED,,0,,0,null,DISCUSSED,,88,Social work activities without accommodation,Q,2,2,1,1,1,1,"BCTCIC violated Article 5(1)(f) security principle by failing to implement appropriate technical and organizational measures, resulting in unauthorized disclosure of sensitive data. The breach stemmed from inadequate policies and lack of practical guidance for staff handling sensitive documents.",ENGLISH_LIKELY,38,"No fine imposed due to mitigating factors including immediate remedial actions, cooperation with ICO, and implementation of improved security measures. The reprimand focused on corrective measures rather than financial penalty given the organization's public service nature and responsive actions.",ENGLISH_LIKELY,39,,UNKNOWN,0,"Birmingham Children's Trust CIC received ICO reprimand for UK GDPR Article 5(1)(f) and 32 violations after social worker improperly included criminal allegations about a child in a protection plan sent to another family. ICO found inadequate security measures and policies, but issued reprimand instead of fine due to immediate containment, cooperation, and implemented remedial measures including document template revisions and redaction policies.",ENGLISH_LIKELY,62,0,,"SECURITY,ACCOUNTABILITY",,DISCUSSED,0,"SECURITY,ACCOUNTABILITY",,DISCUSSED,0,,NOT_APPLICABLE,NOT_APPLICABLE,0,"NATURE_GRAVITY_DURATION,DATA_CATEGORIES_AFFECTED",,DISCUSSED,0,"MITIGATION_ACTIONS,COOPERATION_WITH_AUTHORITY",,DISCUSSED,0,CHILDREN,,DISCUSSED,0,"IMMEDIATE_CESSATION,SYSTEM_UPGRADES,POLICY_CHANGES,STAFF_TRAINING",,DISCUSSED,0,NONE,,DISCUSSED,0,REPRIMAND,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,,NOT_APPLICABLE,NOT_APPLICABLE,0,,NOT_APPLICABLE,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0
United Kingdom_10,UNCLEAR,DISCUSSED,NON_EEA,0,1,TYPE:STRING,,,NOT_DISCUSSED,,,,0,0,,0,TYPE:NUMBER,DISCUSSED,,0,,0,TYPE:NUMBER,DISCUSSED,,,,,0,0,0,0,0,0,TYPE:STRING,ENGLISH_LIKELY,1,TYPE:STRING,ENGLISH_LIKELY,1,TYPE:STRING,ENGLISH_LIKELY,1,TYPE:STRING,ENGLISH_LIKELY,1,1,Q12;Q2,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0
United Kingdom_7,UNCLEAR,DISCUSSED,NON_EEA,0,1,TYPE:STRING,,,NOT_DISCUSSED,,,,0,0,,0,TYPE:NUMBER,DISCUSSED,,0,,0,TYPE:NUMBER,DISCUSSED,,,,,0,0,0,0,0,0,TYPE:STRING,ENGLISH_LIKELY,1,TYPE:STRING,ENGLISH_LIKELY,1,TYPE:STRING,ENGLISH_LIKELY,1,TYPE:STRING,ENGLISH_LIKELY,1,1,Q12;Q2,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0,,,NOT_MENTIONED,0
United Kingdom_16,GB,DISCUSSED,NON_EEA,0,0,Information Commissioner's Office,Information Commissioner's Office,2020-10-30T00:00:00+00:00,DISCUSSED,2020,Q4,18400000.000000,1,1,16.727861,0,18400000,DISCUSSED,4997000000.000000,1,22.332104,0,4997000000,DISCUSSED,0.00368221,5510,Short term accommodation activities,I,2,2,1,1,0,1,"Marriott failed to process personal data with appropriate security measures, violating Articles 5(1)(f) and 32 GDPR, by not implementing adequate monitoring, logging, and encryption for the Starwood systems post-acquisition.",ENGLISH_LIKELY,29,"The fine was calculated based on the seriousness of the breach, number of affected data subjects, and lack of harm, with reductions for mitigation actions, cooperation, and COVID-19 impact, resulting in £18.4 million.",ENGLISH_LIKELY,33,Article 29 Working Party Guidelines on administrative fines,ENGLISH_LIKELY,8,"Marriott fined £18.4M for GDPR security failures after a 2018 cyber attack on Starwood systems exposed 339M records, including 30.1M EEA residents; ICO found inadequate monitoring and encryption, mitigated by cooperation and remediation.",ENGLISH_LIKELY,33,0,,"SECURITY,ACCOUNTABILITY",,DISCUSSED,0,"SECURITY,ACCOUNTABILITY",,DISCUSSED,0,,NOT_APPLICABLE,NOT_APPLICABLE,0,"NATURE_GRAVITY_DURATION,INTENT_NEGLIGENCE,DATA_CATEGORIES_AFFECTED",,DISCUSSED,0,"MITIGATION_ACTIONS,COOPERATION_WITH_AUTHORITY,PREVIOUS_INFRINGEMENTS",,DISCUSSED,0,NONE_MENTIONED,,NONE_MENTIONED,0,"IMMEDIATE_CESSATION,SYSTEM_UPGRADES,POLICY_CHANGES,STAFF_TRAINING,DPO_APPOINTMENT",,DISCUSSED,0,NONE,,DISCUSSED,0,ADMINISTRATIVE_FINE,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,INFORMATION_OBLIGATIONS,,DISCUSSED,0,INFORMATION_OBLIGATIONS,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0
United Kingdom_17,GB,DISCUSSED,NON_EEA,0,0,Information Commissioner's Office,Information Commissioner's Office,2020-11-13T00:00:00+00:00,DISCUSSED,2020,Q4,1250000.000000,1,1,14.038655,0,1250000,DISCUSSED,102912000.000000,1,18.449385,0,102912000,DISCUSSED,0.01214630,56,Food and beverage service activities,I,2,1,1,1,0,1,"Ticketmaster failed to ensure appropriate security of personal data by not implementing adequate technical and organizational measures to protect against unauthorized processing, specifically by including a third-party chat bot on payment pages without sufficient security controls.",ENGLISH_LIKELY,36,"The fine was initially set at £1.5M based on the severity and duration of the breach, but reduced to £1.25M due to COVID-19 financial impact considerations. Factors included negligence, high number of affected data subjects, and sensitive data involved, mitigated by cooperation and remedial actions.",ENGLISH_LIKELY,45,NOT_MENTIONED,ENGLISH_LIKELY,1,"Ticketmaster UK suffered a data breach from May to June 2018 due to a malicious script in a third-party chat bot on payment pages, exposing 9.4M EEA subjects' data including payment details. The ICO found violations of Articles 5(1)(f) and 32 GDPR for inadequate security measures, imposing a £1.25M fine reduced due to COVID-19 impact.",ENGLISH_LIKELY,55,0,,"SECURITY,ACCOUNTABILITY",,DISCUSSED,0,SECURITY,,DISCUSSED,0,,NOT_MENTIONED,DISCUSSED,0,"NATURE_GRAVITY_DURATION,INTENT_NEGLIGENCE,DATA_CATEGORIES_AFFECTED",,DISCUSSED,0,"MITIGATION_ACTIONS,COOPERATION_WITH_AUTHORITY",,DISCUSSED,0,NONE_MENTIONED,,NONE_MENTIONED,0,"IMMEDIATE_CESSATION,SYSTEM_UPGRADES,POLICY_CHANGES,STAFF_TRAINING",,DISCUSSED,0,NONE,,DISCUSSED,0,ADMINISTRATIVE_FINE,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,INFORMATION_OBLIGATIONS,,DISCUSSED,0,NONE_VIOLATED,,NONE_VIOLATED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0
United Kingdom_21,GB,DISCUSSED,NON_EEA,1,0,Information Commissioner's Office,Information Commissioner's Office,2025-06-24T00:00:00+00:00,DISCUSSED,2025,Q2,18000.000000,1,1,9.798183,0,18000,DISCUSSED,,0,,0,null,DISCUSSED,,S94,,,2,2,1,1,0,1,"Birthlink failed to implement appropriate organizational measures ensuring security of personal data, violating integrity/confidentiality and accountability principles. The unauthorized destruction of manual records containing sensitive adoption data constituted a serious breach.",ENGLISH_LIKELY,31,"The penalty was initially calculated at £36,750 based on seriousness and turnover adjustment, but reduced to £18,000 due to financial hardship considerations. The infringements involved high-risk processing of sensitive data with negligent security failures and a 29-month breach notification delay.",ENGLISH_LIKELY,40,WP29 Guidelines on Personal Data Breach Notification,ENGLISH_LIKELY,7,"UK charity Birthlink destroyed 4,800 manual adoption records containing irreplaceable sensitive data in April 2021 without authorization or security measures. The ICO found violations of Articles 5(1)(f), 5(2), 32, and 33 (29-month delayed breach report). A £18,000 fine was imposed considering financial hardship, with negligence cited due to lack of GDPR understanding and policies.",ENGLISH_LIKELY,54,0,,"SECURITY,ACCOUNTABILITY",,DISCUSSED,0,"SECURITY,ACCOUNTABILITY",,DISCUSSED,0,,NOT_MENTIONED,DISCUSSED,0,"NATURE_GRAVITY_DURATION,INTENT_NEGLIGENCE",CATEGORIES_AFFECTED,DISCUSSED,0,"COOPERATION_WITH_AUTHORITY,MITIGATION_ACTIONS",,DISCUSSED,0,NONE_MENTIONED,,NONE_MENTIONED,0,"STAFF_TRAINING,SYSTEM_UPGRADES,POLICY_CHANGES,DPO_APPOINTMENT",,DISCUSSED,0,NONE,,DISCUSSED,0,ADMINISTRATIVE_FINE,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,,NOT_MENTIONED,DISCUSSED,0,,NOT_MENTIONED,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,"NO_DPO_APPOINTED,LACK_OF_RESOURCES",,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0
United Kingdom_19,GB,DISCUSSED,NON_EEA,0,0,Information Commissioner's Office,Information Commissioner's Office,2021-05-17T00:00:00+00:00,DISCUSSED,2021,Q2,90000.000000,1,1,11.407576,0,90000,DISCUSSED,,0,,0,null,DISCUSSED,,"Financial service activities, except insurance and pension funding",,,1,1,1,1,0,0,"AMEX sent 4,098,841 direct marketing emails without valid consent, violating PECR Regulation 22 by misclassifying them as servicing emails and failing to honor opt-outs.",ENGLISH_LIKELY,24,"Fine set at £90,000 based on serious contravention of PECR, negligent failure to prevent breaches, financial gain intent, and ignoring guidance, mitigated by AMEX's internal review and process changes.",ENGLISH_LIKELY,29,,UNKNOWN,0,"AMEX sent 4M+ marketing emails without consent over 12 months, misclassifying them as servicing; ICO fined £90k for PECR breach, citing negligence and financial benefit, with mitigation for corrective actions.",ENGLISH_LIKELY,30,0,,LAWFULNESS_FAIRNESS_TRANSPARENCY,,DISCUSSED,0,LAWFULNESS_FAIRNESS_TRANSPARENCY,,DISCUSSED,0,CONSENT,,DISCUSSED,0,"NATURE_GRAVITY_DURATION,INTENT_NEGLIGENCE",,DISCUSSED,0,MITIGATION_ACTIONS,,DISCUSSED,0,NONE_MENTIONED,,NONE_MENTIONED,0,"IMMEDIATE_CESSATION,POLICY_CHANGES,STAFF_TRAINING",,DISCUSSED,0,NONE,,DISCUSSED,0,ADMINISTRATIVE_FINE,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,INFORMATION_OBLIGATIONS,,DISCUSSED,0,INFORMATION_OBLIGATIONS,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0
United Kingdom_26,GB,DISCUSSED,NON_EEA,0,0,Information Commissioner's Office,Information Commissioner's Office,2021-05-24T00:00:00+00:00,DISCUSSED,2021,Q2,0.000000,1,0,0.000000,0,0,DISCUSSED,,0,,0,null,DISCUSSED,,G45,,,1,0,2,0,1,0,"Defendant sent unsolicited direct marketing texts without valid consent; consent was not freely given, specific, or informed as required under PECR/GDPR standards.",ENGLISH_LIKELY,22,No fine imposed; enforcement notice issued requiring compliance with PECR consent requirements within 30 days due to contravention of regulation 22.,ENGLISH_LIKELY,21,,UNKNOWN,0,"UK ICO issued enforcement notice to Colour Car Sales Limited for sending 274 unsolicited marketing texts without valid consent under PECR; consent was not freely given, specific, or informed; required compliance within 30 days; no fine imposed.",ENGLISH_LIKELY,37,0,,NONE_DISCUSSED,,NONE_DISCUSSED,0,NONE_VIOLATED,,NONE_VIOLATED,0,CONSENT,,DISCUSSED,0,NONE,,DISCUSSED,0,NONE,,DISCUSSED,0,NONE_MENTIONED,,NONE_MENTIONED,0,NONE_MENTIONED,,NONE_MENTIONED,0,COMPLIANCE_ORDER,,DISCUSSED,0,"COMPLY_WITH_DATA_SUBJECT_REQUESTS,BRING_PROCESSING_INTO_COMPLIANCE",,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NONE_DISCUSSED,,DISCUSSED,0,NONE_VIOLATED,,NONE_VIOLATED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0
United Kingdom_25,GB,DISCUSSED,NON_EEA,1,0,Information Commissioner's Office,Information Commissioner's Office,,NOT_DISCUSSED,,,0.000000,1,0,0.000000,0,0,DISCUSSED,,0,,0,null,DISCUSSED,,6810,Real estate activities with own or leased property,L,1,1,1,1,1,1,The defendant violated the security principle under Article 5(1)(f) by failing to prevent unauthorized access to personal data through a technical failure in their customer portal.,ENGLISH_LIKELY,26,"No fine was imposed; a reprimand was issued due to the security breach caused by a technical failure, with mitigating actions taken by the defendant.",ENGLISH_LIKELY,25,,UNKNOWN,0,Clyde Valley Housing Association reprimanded for a security breach when a customer portal exposed residents' personal data due to a technical failure; data was accessible for 5 days after initial report until suspension.,ENGLISH_LIKELY,33,0,,SECURITY,,DISCUSSED,0,SECURITY,,DISCUSSED,0,,NOT_MENTIONED,DISCUSSED,0,NATURE_GRAVITY_DURATION,,DISCUSSED,0,MITIGATION_ACTIONS,,DISCUSSED,0,NOT_DISCUSSED,,DISCUSSED,0,IMMEDIATE_CESSATION,,DISCUSSED,0,NONE,,DISCUSSED,0,REPRIMAND,,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,,NOT_DISCUSSED,DISCUSSED,0,,NOT_DISCUSSED,DISCUSSED,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0,NOT_APPLICABLE,,NOT_APPLICABLE,0
