stratum_id,n_cases,n_countries
17,5,2
25,3,2
69,2,2
91,2,2
97,3,3
148,2,2
192,2,2
196,2,2
198,3,2
265,3,2
332,2,2
366,5,2
367,2,2
375,2,2
376,3,2
377,12,3
378,7,2
381,2,2
382,3,2
383,2,2
389,2,2
405,2,2
422,2,2
423,2,2
424,7,2
435,32,4
473,2,2
481,3,3
484,2,2
495,5,4
497,3,3
498,5,4
506,5,2
528,2,2
570,3,3
577,3,2
579,4,2
581,4,3
617,2,2
622,3,2
647,2,2
655,3,2
656,4,2
724,10,5
725,12,2
730,7,3
731,4,2
732,2,2
733,7,3
735,4,4
747,3,2
748,4,3
749,5,2
750,3,2
752,2,2
753,8,3
754,3,3
756,5,2
757,4,2
759,8,2
760,9,4
764,5,2
766,2,2
769,2,2
805,3,2
806,6,3
810,2,2
812,3,3
817,2,2
828,3,3
829,18,5
830,4,3
835,4,3
837,2,2
838,4,4
839,2,2
840,2,2
841,2,2
844,6,2
845,2,2
853,4,3
858,2,2
867,2,2
874,2,2
885,2,2
901,2,2
909,2,2
914,2,2
920,2,2
985,3,3
989,2,2
998,3,2
1000,3,3
1001,3,2
1052,7,3
1053,5,3
1060,2,2
1061,6,2
1062,2,2
1063,3,2
1065,4,2
1075,4,2
1087,2,2
1092,2,2
1096,3,2
1128,5,2
1137,2,2
1141,2,2
1152,2,2
1155,2,2
1162,2,2
1170,2,2
1211,3,3
1214,2,2
1245,4,3
1262,2,2
1284,2,2
1286,2,2
1292,2,2
1302,2,2
1306,2,2
1312,2,2
1313,2,2
1314,2,2
1326,3,2
1341,2,2
