source_id,target_id,distance,weight,match_rank,match_type,stratum_key,source_country,target_country
Spain_475,Ireland_4,0.0,0.3333333333333333,1,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Spain_475,Ireland_31,0.0,0.3333333333333333,2,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Spain_475,Finland_14,0.0,0.3333333333333333,3,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Ireland_4,Spain_475,0.0,0.3333333333333333,1,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Ireland_4,Ireland_31,0.0,0.3333333333333333,2,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Ireland_4,Finland_14,0.0,0.3333333333333333,3,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Ireland_31,Spain_475,0.0,0.3333333333333333,1,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Ireland_31,Ireland_4,0.0,0.3333333333333333,2,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Ireland_31,Finland_14,0.0,0.3333333333333333,3,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Finland_14,Spain_475,0.0,0.3333333333333333,1,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Finland_14,Ireland_4,0.0,0.3333333333333333,2,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Finland_14,Ireland_31,0.0,0.3333333333333333,3,within,0|0|0|0|0|nan|NA,UNCLEAR,UNCLEAR
Spain_23,Hungary_44,0.0,0.3333333333333333,1,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Spain_23,Greece_12,0.0,0.3333333333333333,2,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Spain_23,Germany_4,0.0,0.3333333333333333,3,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Hungary_44,Spain_23,0.0,0.3333333333333333,1,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Hungary_44,Greece_12,0.0,0.3333333333333333,2,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Hungary_44,Germany_4,0.0,0.3333333333333333,3,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Greece_12,Spain_23,0.0,0.3333333333333333,1,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Greece_12,Hungary_44,0.0,0.3333333333333333,2,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Greece_12,Germany_4,0.0,0.3333333333333333,3,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Germany_4,Spain_23,0.0,0.3333333333333333,1,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Germany_4,Hungary_44,0.0,0.3333333333333333,2,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Germany_4,Greece_12,0.0,0.3333333333333333,3,within,0|0|0|0|NA|nan|NA,UNCLEAR,UNCLEAR
Spain_66,Spain_601,0.13888888888888887,0.3333333333333333,1,within,0|0|0|1|0|nan|NA,ES,ES
Spain_66,Spain_567,0.20833333333333334,0.3333333333333333,2,within,0|0|0|1|0|nan|NA,ES,ES
Spain_66,Spain_386,0.25,0.3333333333333333,3,within,0|0|0|1|0|nan|NA,ES,ES
Spain_386,Spain_601,0.2222222222222222,0.3333333333333333,1,within,0|0|0|1|0|nan|NA,ES,ES
Spain_386,Spain_66,0.25,0.3333333333333333,2,within,0|0|0|1|0|nan|NA,ES,ES
Spain_386,Spain_567,0.2916666666666667,0.3333333333333333,3,within,0|0|0|1|0|nan|NA,ES,ES
Spain_567,Spain_66,0.20833333333333334,0.5,1,within,0|0|0|1|0|nan|NA,ES,ES
Spain_567,Spain_386,0.2916666666666667,0.5,2,within,0|0|0|1|0|nan|NA,ES,ES
Spain_601,Spain_66,0.13888888888888887,0.5,1,within,0|0|0|1|0|nan|NA,ES,ES
Spain_601,Spain_386,0.2222222222222222,0.5,2,within,0|0|0|1|0|nan|NA,ES,ES
Romania_93,Romania_166,0.20833333333333334,0.5,1,within,0|0|0|1|0|nan|NA,RO,RO
Romania_93,Romania_165,0.2222222222222222,0.5,2,within,0|0|0|1|0|nan|NA,RO,RO
Romania_165,Romania_93,0.2222222222222222,0.5,1,within,0|0|0|1|0|nan|NA,RO,RO
Romania_165,Romania_166,0.2638888888888889,0.5,2,within,0|0|0|1|0|nan|NA,RO,RO
Romania_166,Romania_93,0.20833333333333334,0.5,1,within,0|0|0|1|0|nan|NA,RO,RO
Romania_166,Romania_165,0.2638888888888889,0.5,2,within,0|0|0|1|0|nan|NA,RO,RO
Italy_17,Italy_211,0.16666666666666666,0.3333333333333333,1,within,0|0|0|1|0|nan|NA,IT,IT
Italy_17,Italy_249,0.16666666666666666,0.3333333333333333,2,within,0|0|0|1|0|nan|NA,IT,IT
Italy_17,Italy_237,0.2222222222222222,0.3333333333333333,3,within,0|0|0|1|0|nan|NA,IT,IT
