feature,source,block,feature_type,observed_share,mean,variance,status_discussed,status_not_mentioned,status_not_discussed,status_parse_error
ingest_line_count,ingest_line_count,Other,numeric,1.0,65.13423517169615,186.65940027351837,,,,
ingest_question_count,ingest_question_count,Other,numeric,1.0,64.99791883454735,185.9968739205713,,,,
ingest_warning_count,ingest_warning_count,Other,numeric,1.0,0.17793964620187305,0.1462771285114253,,,,
country_mapped_from_uk,country_mapped_from_uk,Other,numeric,0.9578563995837669,0.00977729494839761,0.009681699451889651,0.9578563995837669,0.04214360041623309,,
country_whitelist_ok,country_whitelist_ok,Other,numeric,0.9578563995837669,0.9782726778924498,0.02125524558158501,0.9578563995837669,0.04214360041623309,,
decision_year,decision_year,Temporal,numeric,0.25494276795005205,2022.0061224489796,2.3448604748021658,,,,
fine_numeric_valid,fine_numeric_valid,Other,numeric,0.8746097814776275,1.0,0.0,0.8746097814776275,0.11394380853277836,0.011446409989594173,
fine_outlier_flag,fine_outlier_flag,Other,numeric,0.8746097814776275,0.0,0.0,0.8746097814776275,0.11394380853277836,0.011446409989594173,
fine_error,fine_error,Other,numeric,0.0,0.0,0.0,0.8746097814776275,0.11394380853277836,0.011446409989594173,
turnover_eur,turnover_eur,Other,numeric,0.10509885535900104,19055565199.29193,7.149130403296045e+21,0.10509885535900104,0.86420395421436,0.029136316337148804,0.0015608740894901144
turnover_numeric_valid,turnover_numeric_valid,Other,numeric,0.10509885535900104,1.0,0.0,0.10509885535900104,0.86420395421436,0.029136316337148804,0.0015608740894901144
turnover_positive,turnover_positive,Other,numeric,0.10509885535900104,0.9653465346534653,0.03345260268601117,0.10509885535900104,0.86420395421436,0.029136316337148804,0.0015608740894901144
turnover_log1p,turnover_log1p,Other,numeric,0.10509885535900104,18.871760297029702,26.70042564772345,0.10509885535900104,0.86420395421436,0.029136316337148804,0.0015608740894901144
turnover_outlier_flag,turnover_outlier_flag,Other,numeric,0.10509885535900104,0.0,0.0,0.10509885535900104,0.86420395421436,0.029136316337148804,0.0015608740894901144
fine_to_turnover_ratio,fine_to_turnover_ratio,Other,numeric,0.10145681581685743,0.22235489928205127,7.553538385267277,0.8746097814776275,0.11394380853277836,0.011446409989594173,
n_principles_discussed,n_principles_discussed,Procedural,numeric,1.0,2.00156087408949,2.7861578134119305,,,,
n_principles_violated,n_principles_violated,Procedural,numeric,1.0,1.291363163371488,1.7392490262809401,,,,
n_corrective_measures,n_corrective_measures,Procedural,numeric,1.0,1.5509885535900103,1.8207612496088337,,,,
severity_measures_present,severity_measures_present,Corrective Powers,numeric,1.0,0.7544224765868887,0.18526920340739408,,,,
remedy_only_case,remedy_only_case,Mitigations,numeric,1.0,0.2393340270551509,0.1820532505487151,,,,
breach_case,breach_case,Breach Case,numeric,1.0,0.10822060353798127,0.09650890450785635,,,,
q36_tokens,q36_tokens,Other,numeric,1.0,20.326222684703435,195.47682537809104,,,,
q52_tokens,q52_tokens,Other,numeric,1.0,20.735691987513007,229.17884054612725,,,,
q67_tokens,q67_tokens,Other,numeric,1.0,9.238813735691988,199.93828537737636,,,,
q68_tokens,q68_tokens,Other,numeric,1.0,23.31633714880333,447.0716269581309,,,,
schema_echo_flag,schema_echo_flag,Other,numeric,1.0,0.4136316337148803,0.24254050530523938,,,,
q10_org_class_SME,q10_org_class_SME,Other,numeric,0.8636836628511967,0.23132530120481928,0.1778139062273189,,,,
q10_org_class_LARGE_ENTERPRISE,q10_org_class_LARGE_ENTERPRISE,Other,numeric,0.8636836628511967,0.25783132530120484,0.19135433299462914,,,,
q10_org_class_MULTINATIONAL,q10_org_class_MULTINATIONAL,Other,numeric,0.8636836628511967,0.11867469879518072,0.10459101466105383,,,,
q10_org_class_NON_PROFIT,q10_org_class_NON_PROFIT,Other,numeric,0.8636836628511967,0.029518072289156625,0.028646755697488743,,,,
q10_org_class_PUBLIC_SECTOR_BODY,q10_org_class_PUBLIC_SECTOR_BODY,Other,numeric,0.8636836628511967,0.2680722891566265,0.19620953694295248,,,,
q10_org_class_NOT_APPLICABLE,q10_org_class_NOT_APPLICABLE,Other,numeric,0.8636836628511967,0.0,0.0,,,,
q10_org_class_NOT_MENTIONED,q10_org_class_NOT_MENTIONED,Other,numeric,0.8636836628511967,0.3783132530120482,0.23519233560749023,,,,
q10_org_class_UNCLEAR,q10_org_class_UNCLEAR,Other,numeric,0.8636836628511967,0.010843373493975903,0.010725794745246046,,,,
q15_case_initiation_COMPLAINT,q15_case_initiation_COMPLAINT,Other,numeric,0.9281997918834547,0.6933856502242153,0.21260199028735746,,,,
q15_case_initiation_BREACH_NOTIFICATION,q15_case_initiation_BREACH_NOTIFICATION,Other,numeric,0.9281997918834547,0.10257847533632287,0.09205613173399826,,,,
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,Other,numeric,0.9281997918834547,0.12724215246636772,0.11105158710209334,,,,
q15_case_initiation_REFERRAL_FROM_OTHER_AUTHORITY,q15_case_initiation_REFERRAL_FROM_OTHER_AUTHORITY,Other,numeric,0.9281997918834547,0.018497757847533634,0.018155590802147646,,,,
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,q15_case_initiation_MEDIA_PUBLIC_ATTENTION,Other,numeric,0.9281997918834547,0.01289237668161435,0.01272616330511371,,,,
q15_case_initiation_JOINT_INVESTIGATION,q15_case_initiation_JOINT_INVESTIGATION,Other,numeric,0.9281997918834547,0.0,0.0,,,,
q15_case_initiation_FOLLOW_UP_PRIOR_CASE,q15_case_initiation_FOLLOW_UP_PRIOR_CASE,Other,numeric,0.9281997918834547,0.0016816143497757848,0.001678786522954413,,,,
