outcome,feature,importance
fine_log1p,fine_currency_human_MISSING,1.2059996708314187
fine_log1p,fine_raw_0,1.031618360646954
fine_log1p,raw_q37_0,0.5068548348138473
fine_log1p,fine_amount_human_native,0.46134094812872617
fine_log1p,fine_raw_5_000_EUR_1,0.4351353526852238
fine_log1p,raw_q39_NOT_APPLICABLE,0.39128829947672145
fine_log1p,raw_q37_NUMBER_0,0.3903835165883627
fine_log1p,fine_raw_TYPE_0,0.3903271960605301
fine_log1p,fine_raw_TYPE_NUMBER_0,0.3902944389003577
fine_log1p,fine_currency_human_EUR,0.3572368594138158
fine_log1p,remedy_only_case,0.3462153732523467
fine_log1p,fine_raw_75_000_EUR_1,0.25109536683598166
fine_log1p,fine_amount_human_eur,0.2502090982542137
fine_log1p,fine_raw_4_000_EUR_1,0.2472651796771011
fine_log1p,fine_raw_2_000_EUR_1,0.2337909865126792
fine_log1p,fine_raw_2_500,0.22838421130305178
fine_log1p,fine_raw_3_000_EUR_1,0.2239889095838468
fine_log1p,raw_q39_BELOW_ALL_CAPS,0.22326342788968206
fine_log1p,raw_q24_OVER_100000,0.21100361404034554
fine_log1p,fine_raw_40_000_EUR_1,0.20530306744279267
fine_log1p,raw_q14_OVER_1B,0.20443884800802298
fine_log1p,fine_raw_30_000_EUR,0.19577682277868033
fine_log1p,fine_raw_24_000_EUR_1,0.1842076726770162
fine_log1p,fine_raw_30_000_EUR_2,0.18409094443853202
fine_log1p,fine_raw_0_EUR,0.17775485394942545
fine_log1p,fine_raw_20_000_000_EUR,0.16390074324738857
fine_log1p,fine_raw_1_000,0.16269438272113085
fine_log1p,raw_q13_NO,0.15881515333432838
fine_log1p,country_code_NL,0.15060457726351398
fine_log1p,turnover_status_NOT_MENTIONED,0.14814577892362904
fine_log1p,raw_q43_YES_BOTH_TYPES,0.14728448109095071
fine_log1p,raw_q37_48000,0.14095936995651856
fine_log1p,fine_raw_5_500_000_EUR,0.12437962254112077
fine_log1p,fine_raw_1000_EUR,0.1241683675579838
fine_log1p,raw_q53_ADMINISTRATIVE_FINE,0.12212625672715859
fine_log1p,raw_q16_NOT_DISCUSSED,0.11687445237865637
fine_log1p,fine_currency_human_GBP,0.11539040844270465
fine_log1p,fine_raw_9_852_2_RON,0.11262950649804611
fine_log1p,fine_raw_4_400_000_GBP,0.11227266228703706
fine_log1p,q10_org_class_MULTINATIONAL,0.11056040282350617
fine_log1p,q41_aggrav_INTENT_NEGLIGENCE,0.11015951025250999
fine_log1p,fine_raw_91_000_000_EUR,0.10811235342178271
fine_log1p,raw_q48_UNCLEAR,0.1064704208810011
fine_log1p,fine_currency_human_SEK,0.10574256071448836
fine_log1p,fine_raw_48_000,0.10439893569764187
fine_log1p,raw_q44_YES_MENTIONED_UNQUANTIFIED,0.10341304328474815
fine_log1p,fine_raw_2250000_EUR,0.10247662805009468
fine_log1p,q10_org_class_LARGE_ENTERPRISE,0.10188686806440235
fine_log1p,fine_currency_human_NOK,0.09397438477858432
fine_log1p,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED,0.09313726390615774
fine_positive,fine_currency_human_ISK,0.7242685532792849
fine_positive,fine_currency_human_BGN,0.5810603201120157
fine_positive,fine_raw_99_518_RON,0.546046026196259
fine_positive,decision_date_status_PARSE_ERROR,0.546036090456549
fine_positive,fine_status_NOT_DISCUSSED,0.5141126660642005
