outcome,feature_a,feature_b,importance
fine_log1p,q52_text_Initial_fine_of_50_000_reduced_to_40_000_due_to_voluntary_payment_Aggravating_factor_negligence_in_identity_verification_Mitigating_factor_immediate_cancellation_of_services_and_debt_payment,raw_q68_A_Spanish_cafe_bar_was_fined_2000_for_installing_a_video_surveillance_camera_that_captured_images_of_third_parties_in_a_transit_area_without_justification_violating_GDPR_Article_5_1_c_on_data_minimization_with_aggravating_factors_including_prior_infringement_and_lack_of_cooperation,1.1889098572828658
fine_log1p,decision_date_raw_2021_04_06,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES,0.05762303866161095
fine_log1p,decision_date_2025_06_24_00_00_00_00_00,raw_q47_DATA_DELETION,0.042619223228802676
fine_log1p,raw_q13_NO,raw_q39_BELOW_ALL_CAPS,0.04113857956434365
fine_log1p,q41_aggrav_NONE,fine_raw_0,0.039874975657564905
fine_log1p,q52_text_Initial_fine_set_at_2_000_for_deliberate_use_of_another_s_image_for_deception_reduced_to_1_200_due_to_voluntary_payment_and_recognition_of_responsibility_applying_cumulative_20_reductions,raw_q68_A_medical_clinic_used_a_laser_thermometer_at_its_entrance_during_COVID_19_making_body_temperature_results_visible_to_others_in_the_waiting_area_violating_GDPR_confidentiality_principles_The_Spanish_DPA_imposed_a_30_000_fine_for_breaches_of_Articles_5_1_f_and_32_citing_negligence_and_health_data_sensitivity_despite_the_defendant_s_claim_that_no_data_processing_occurred,0.03788110506539953
fine_log1p,q52_text_Initial_fine_set_at_40_000_for_lack_of_diligence_in_verifying_identity_reduced_to_24_000_due_to_voluntary_payment_and_acknowledgment_of_responsibility_within_hearing_period,raw_q68_A_mother_filed_a_complaint_against_CaixaBank_for_failing_to_provide_requested_account_information_of_her_minor_daughter_and_improperly_disclosing_data_of_another_daughter_The_Spanish_DPA_found_a_violation_of_Article_32_1_GDPR_due_to_inadequate_security_measures_imposing_a_25_000_fine_and_a_compliance_order_to_prevent_future_incidents,0.03743348069781645
fine_log1p,q10_org_class_LARGE_ENTERPRISE,raw_q39_BELOW_ALL_CAPS,0.02889948465054131
fine_log1p,q52_text_No_fine_was_imposed_corrective_measures_were_ordered_to_cease_biometric_processing_and_implement_an_alternative_system_with_compliance_required_within_two_months,raw_q68_Profi_Rom_Food_Srl_fined_10_000_for_sharing_employee_ID_data_without_legal_basis_and_warned_for_security_failures_after_employee_leaked_video_data_via_WhatsApp_DPA_ordered_compliance_measures_and_training,0.027798279530124047
fine_log1p,raw_q39_BELOW_ALL_CAPS,raw_q55_WITHIN_MONTH,0.025877499652516584
