community,members
0,"art33_notification_required_NOT_APPLICABLE,breach_case,country_code_ES,country_code_RO,decision_date_status_PARSE_ERROR,decision_year,dpa_name_raw_Spanish_Agency_for_Data_Protection,dpa_name_raw_Spanish_Data_Protection_Agency,fine_log1p,fine_raw_0,isic_code_NOT_MENTIONED,isic_code_STRING,isic_desc_MISSING,n_corrective_measures,n_principles_discussed,n_principles_violated,q10_org_class_LARGE_ENTERPRISE,q10_org_class_MULTINATIONAL,q10_org_class_NON_PROFIT,q10_org_class_NOT_MENTIONED,q10_org_class_PUBLIC_SECTOR_BODY,q10_org_class_SME,q10_org_class_known_LARGE_ENTERPRISE_MULTINATIONAL,q10_org_class_known_SME_NOT_MENTIONED,q15_case_initiation_BREACH_NOTIFICATION,q15_case_initiation_COMPLAINT,q21_breach_types_CYBER_ATTACK,q21_breach_types_HUMAN_ERROR,q21_breach_types_ORGANIZATIONAL_FAILURE,q25_sensitive_data_ARTICLE_10_CRIMINAL,q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,q25_sensitive_data_NEITHER,q25_sensitive_data_NOT_MENTIONED,q28_mitigations_IMMEDIATE_CONTAINMENT,q28_mitigations_STAFF_TRAINING,q28_mitigations_SYSTEM_FIXES,q30_discussed_ACCOUNTABILITY,q30_discussed_ACCURACY,q30_discussed_DATA_MINIMISATION,q30_discussed_LAWFULNESS_FAIRNESS_TRANSPARENCY,q30_discussed_PURPOSE_LIMITATION,q30_discussed_SECURITY,q31_violated_ACCOUNTABILITY,q31_violated_DATA_MINIMISATION,q31_violated_LAWFULNESS_FAIRNESS_TRANSPARENCY,q31_violated_PURPOSE_LIMITATION,q31_violated_SECURITY,q31_violated_STORAGE_LIMITATION,q32_bases_CONSENT,q32_bases_CONTRACT,q32_bases_LEGAL_OBLIGATION,q32_bases_LEGITIMATE_INTERESTS,q32_bases_NONE_DISCUSSED,q32_bases_PUBLIC_TASK,q32_bases_VITAL_INTERESTS,q32_bases_known_MISSING,q36_tokens,q41_aggrav_DATA_CATEGORIES_AFFECTED,q41_aggrav_INTENT_NEGLIGENCE,q41_aggrav_NATURE_GRAVITY_DURATION,q41_aggrav_NONE,q41_aggrav_known_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_DATA_CATEGORIES_AFFECTED,q42_mitig_COOPERATION_WITH_AUTHORITY,q42_mitig_MITIGATION_ACTIONS,q42_mitig_NONE,q42_mitig_known_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY,q46_vuln_CHILDREN,q46_vuln_EMPLOYEES,q46_vuln_FINANCIALLY_VULNERABLE,q46_vuln_PATIENTS,q47_remedial_EXTERNAL_AUDIT,q47_remedial_IMMEDIATE_CESSATION,q47_remedial_POLICY_CHANGES,q47_remedial_STAFF_TRAINING,q47_remedial_SYSTEM_UPGRADES,q47_remedial_known_IMMEDIATE_CESSATION,q50_other_measures_COMPLIANCE_ORDER,q50_other_measures_NONE,q52_tokens,q56_rights_discussed_ACCESS,q56_rights_discussed_DATA_PORTABILITY,q56_rights_discussed_ERASURE,q56_rights_discussed_INFORMATION_OBLIGATIONS,q56_rights_discussed_NONE_DISCUSSED,q57_rights_violated_ACCESS,q57_rights_violated_ERASURE,q57_rights_violated_INFORMATION_OBLIGATIONS,q57_rights_violated_OBJECTION,q67_text_NOT_DISCUSSED,q67_tokens,q68_tokens,raw_q10_NOT_APPLICABLE,raw_q10_NOT_MENTIONED,raw_q10_PUBLIC_SECTOR_BODY,raw_q10_SME,raw_q10_SME_NOT_MENTIONED_1,raw_q13_NO,raw_q14_NOT_APPLICABLE,raw_q14_OVER_1B,raw_q1_ISO_3166_1_ALPHA_2_ES,raw_q1_ISO_3166_1_ALPHA_2_ES_1,raw_q23_NOT_APPLICABLE,raw_q24_NOT_APPLICABLE,raw_q28_NOT_APPLICABLE,raw_q30_DATA_MINIMISATION,raw_q30_LAWFULNESS_FAIRNESS_TRANSPARENCY,raw_q30_SECURITY,raw_q31_DATA_MINIMISATION,raw_q31_LAWFULNESS_FAIRNESS_TRANSPARENCY,raw_q31_NONE_VIOLATED,raw_q31_SECURITY,raw_q32_CONSENT,raw_q32_NOT_DISCUSSED,raw_q33_CONSENT,raw_q33_NOT_APPLICABLE,raw_q33_NOT_DISCUSSED,raw_q33_NOT_MENTIONED,raw_q33_NO_BASIS_CLAIMED,raw_q34_NOT_APPLICABLE,raw_q38_MISSING,raw_q38_NUMBER_null,raw_q39_BELOW_ALL_CAPS,raw_q39_NOT_APPLICABLE,raw_q3_NOT_DISCUSSED,raw_q3_YYYY_MM_DD_NOT_DISCUSSED,raw_q40_MONTHS,raw_q40_NOT_SPECIFIED,raw_q40_YEARS,raw_q41_NATURE_GRAVITY_DURATION,raw_q42_MITIGATION_ACTIONS_COOPERATION_WITH_AUTHORITY_1,raw_q43_NOT_DISCUSSED,raw_q43_NO_HARM_DOCUMENTED,raw_q43_YES_MATERIAL_HARM,raw_q43_YES_NON_MATERIAL_HARM,raw_q44_NOT_DISCUSSED,raw_q44_NO_BENEFIT,raw_q45_FULL_COOPERATION,raw_q45_NON_COOPERATIVE,raw_q45_NOT_DISCUSSED,raw_q46_NONE_MENTIONED,raw_q46_NOT_DISCUSSED,raw_q47_IMMEDIATE_CESSATION,raw_q48_NOT_DISCUSSED,raw_q48_UNCLEAR,raw_q48_YES_FIRST_TIME,raw_q49_NO_SINGLE_JURISDICTION,raw_q50_COMPLIANCE_ORDER,raw_q51_NOT_DISCUSSED,raw_q53_ADMINISTRATIVE_FINE,raw_q53_NONE,raw_q55_NOT_APPLICABLE,raw_q55_WITHIN_MONTH,raw_q56_INFORMATION_OBLIGATIONS,raw_q57_NONE_VIOLATED,raw_q60_NOT_DISCUSSED,raw_q61_NOT_APPLICABLE,raw_q62_LEAD_SUPERVISORY_AUTHORITY_CASE,raw_q66_NO_REFERENCES,raw_q66_YES_SOME_REFERENCES,raw_q9_CONTROLLER,remedy_only_case,schema_echo_fields_Q10_Q11_Q12_Q13_Q14_Q15_Q16_Q17_Q18_Q19_Q20_Q21_Q22_Q23_Q24_Q25_Q26_Q27_Q28_Q29_Q3_Q30_Q31_Q32_Q33_Q34_Q35_Q36_Q37_Q38_Q39_Q4_Q40_Q41_Q42_Q43_Q44_Q45_Q46_Q47_Q48_Q49_Q5_Q50_Q51_Q52_Q53_Q54_Q55_Q56_Q57_Q58_Q59_Q6_Q60_Q61_Q62_Q63_Q64_Q65_Q66_Q67_Q68_Q8_Q9,schema_echo_flag,severity_measures_present,turnover_eur,turnover_status_NOT_MENTIONED"
1,raw_q47_IMMEDIATE_CESSATION_DATA_DELETION_ORDER_POLICY_CHANGES_STAFF_TRAINING
2,raw_q41_PREVIOUS_INFRINGEMENTS
3,raw_q41_NATURE_GRAVITY_DURATION_INTENT_NEGLIGENCE_TECHNICAL_ORGANIZATIONAL_MEASURES_DATA_CATEGORIES_AFFECTED
4,raw_q47_IMMEDIATE_CESSATION_SYSTEM_UPGRADES_STAFF_TRAINING_1
5,raw_q41_NATURE_GRAVITY_DURATION_MANNER_BECAME_KNOWN
6,raw_q47_COOPERATION_WITH_DPA
7,raw_q41_NONE
8,raw_q46_PATIENTS
9,raw_q47_IMMEDIATE_CESSATION_VOLUNTARY_PAYMENT
