source,target,weight
fine_currency_human_MISSING,fine_log1p,1.2059996708314187
fine_raw_0,fine_log1p,1.031618360646954
raw_q37_0,fine_log1p,0.5068548348138473
fine_amount_human_native,fine_log1p,0.46134094812872617
fine_raw_5_000_EUR_1,fine_log1p,0.4351353526852238
raw_q39_NOT_APPLICABLE,fine_log1p,0.39128829947672145
raw_q37_NUMBER_0,fine_log1p,0.3903835165883627
fine_raw_TYPE_0,fine_log1p,0.3903271960605301
fine_raw_TYPE_NUMBER_0,fine_log1p,0.3902944389003577
fine_currency_human_EUR,fine_log1p,0.3572368594138158
remedy_only_case,fine_log1p,0.3462153732523467
fine_raw_75_000_EUR_1,fine_log1p,0.25109536683598166
fine_amount_human_eur,fine_log1p,0.2502090982542137
fine_raw_4_000_EUR_1,fine_log1p,0.2472651796771011
fine_raw_2_000_EUR_1,fine_log1p,0.2337909865126792
fine_raw_2_500,fine_log1p,0.22838421130305178
fine_raw_3_000_EUR_1,fine_log1p,0.2239889095838468
raw_q39_BELOW_ALL_CAPS,fine_log1p,0.22326342788968206
raw_q24_OVER_100000,fine_log1p,0.21100361404034554
fine_raw_40_000_EUR_1,fine_log1p,0.20530306744279267
raw_q14_OVER_1B,fine_log1p,0.20443884800802298
fine_raw_30_000_EUR,fine_log1p,0.19577682277868033
fine_raw_24_000_EUR_1,fine_log1p,0.1842076726770162
fine_raw_30_000_EUR_2,fine_log1p,0.18409094443853202
fine_raw_0_EUR,fine_log1p,0.17775485394942545
fine_raw_20_000_000_EUR,fine_log1p,0.16390074324738857
fine_raw_1_000,fine_log1p,0.16269438272113085
raw_q13_NO,fine_log1p,0.15881515333432838
country_code_NL,fine_log1p,0.15060457726351398
turnover_status_NOT_MENTIONED,fine_log1p,0.14814577892362904
raw_q43_YES_BOTH_TYPES,fine_log1p,0.14728448109095071
raw_q37_48000,fine_log1p,0.14095936995651856
fine_raw_5_500_000_EUR,fine_log1p,0.12437962254112077
fine_raw_1000_EUR,fine_log1p,0.1241683675579838
raw_q53_ADMINISTRATIVE_FINE,fine_log1p,0.12212625672715859
raw_q16_NOT_DISCUSSED,fine_log1p,0.11687445237865637
fine_currency_human_GBP,fine_log1p,0.11539040844270465
fine_raw_9_852_2_RON,fine_log1p,0.11262950649804611
fine_raw_4_400_000_GBP,fine_log1p,0.11227266228703706
