column,covered
art33_notification_delay_band,True
art33_notification_delay_band_note,True
art33_notification_delay_band_status,True
art33_notification_required,True
art33_notification_required_note,True
art33_notification_required_status,True
art33_notification_submitted,True
art33_notification_submitted_note,True
art33_notification_submitted_status,True
art33_notification_timeliness,True
art33_notification_timeliness_note,True
art33_notification_timeliness_status,True
art34_notification_required,True
art34_notification_required_note,True
art34_notification_required_status,True
breach_case,True
country_code,True
country_group,True
country_mapped_from_uk,True
country_status,True
country_whitelist_ok,True
data_subjects_notified,True
data_subjects_notified_note,True
data_subjects_notified_status,True
decision_date,True
decision_date_error,True
decision_date_raw,True
decision_date_status,True
decision_quarter,True
decision_year,True
dpa_name_canonical,True
dpa_name_raw,True
fine_amount_human_eur,True
fine_amount_human_native,True
fine_currency_human,True
fine_error,True
fine_numeric_valid,True
fine_outlier_flag,True
fine_raw,True
fine_status,True
fine_to_turnover_ratio,True
ingest_line_count,True
ingest_missing_questions,True
ingest_parser_version,True
ingest_question_count,True
ingest_warning_count,True
ingest_warnings,True
isic_code,True
isic_codes_all,True
isic_desc,True
isic_division_code,True
isic_division_desc,True
isic_group_code,True
isic_group_desc,True
isic_multi_sector,True
isic_reference_version,True
isic_section,True
isic_section_desc,True
isic_unparsed_tokens,True
n_corrective_measures,True
n_principles_discussed,True
n_principles_violated,True
q10_org_class_LARGE_ENTERPRISE,True
q10_org_class_MULTINATIONAL,True
q10_org_class_NON_PROFIT,True
q10_org_class_NOT_APPLICABLE,True
q10_org_class_NOT_MENTIONED,True
q10_org_class_PUBLIC_SECTOR_BODY,True
q10_org_class_SME,True
q10_org_class_UNCLEAR,True
q10_org_class_coverage_status,True
q10_org_class_exclusivity_conflict,False
q10_org_class_known,True
q10_org_class_status,True
q10_org_class_unknown,True
q15_case_initiation_BREACH_NOTIFICATION,True
q15_case_initiation_COMPLAINT,True
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,True
q15_case_initiation_FOLLOW_UP_PRIOR_CASE,True
q15_case_initiation_JOINT_INVESTIGATION,True
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,True
q15_case_initiation_NOT_MENTIONED,True
q15_case_initiation_OTHER,True
q15_case_initiation_REFERRAL_FROM_OTHER_AUTHORITY,True
q15_case_initiation_UNCLEAR,True
q15_case_initiation_coverage_status,True
q15_case_initiation_exclusivity_conflict,False
q15_case_initiation_known,True
q15_case_initiation_status,True
q15_case_initiation_unknown,True
q21_breach_types_CYBER_ATTACK,True
q21_breach_types_HUMAN_ERROR,True
q21_breach_types_NOT_APPLICABLE,True
q21_breach_types_NOT_MENTIONED,True
q21_breach_types_ORGANIZATIONAL_FAILURE,True
q21_breach_types_SYSTEM_MALFUNCTION,True
q21_breach_types_TECHNICAL_FAILURE,True
q21_breach_types_UNCLEAR,True
q21_breach_types_coverage_status,True
q21_breach_types_exclusivity_conflict,False
q21_breach_types_known,True
q21_breach_types_status,True
q21_breach_types_unknown,True
q25_sensitive_data_ARTICLE_10_CRIMINAL,True
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,True
q25_sensitive_data_NEITHER,True
q25_sensitive_data_NOT_APPLICABLE,True
q25_sensitive_data_NOT_MENTIONED,True
q25_sensitive_data_UNCLEAR,True
q25_sensitive_data_coverage_status,True
q25_sensitive_data_exclusivity_conflict,False
q25_sensitive_data_known,True
q25_sensitive_data_status,True
q25_sensitive_data_unknown,True
q28_mitigations_COOPERATION_WITH_DPA,True
q28_mitigations_EXTERNAL_AUDIT,True
q28_mitigations_IMMEDIATE_CONTAINMENT,True
q28_mitigations_LEGAL_ADVICE,True
q28_mitigations_NONE_MENTIONED,True
q28_mitigations_NOT_APPLICABLE,True
q28_mitigations_SECURITY_IMPROVEMENTS,True
q28_mitigations_STAFF_TRAINING,True
q28_mitigations_SYSTEM_FIXES,True
q28_mitigations_UNCLEAR,True
q28_mitigations_coverage_status,True
q28_mitigations_exclusivity_conflict,False
q28_mitigations_known,True
q28_mitigations_status,True
q28_mitigations_unknown,True
q30_discussed_ACCOUNTABILITY,True
q30_discussed_ACCURACY,True
q30_discussed_DATA_MINIMISATION,True
q30_discussed_LAWFULNESS_FAIRNESS_TRANSPARENCY,True
q30_discussed_NONE_DISCUSSED,True
q30_discussed_PURPOSE_LIMITATION,True
q30_discussed_SECURITY,True
q30_discussed_STORAGE_LIMITATION,True
q30_discussed_coverage_status,True
q30_discussed_exclusivity_conflict,False
q30_discussed_known,True
q30_discussed_status,True
q30_discussed_unknown,True
q31_violated_ACCOUNTABILITY,True
q31_violated_ACCURACY,True
