term,delta_aic,lr_stat,pvalue,group_field
ORGANIZATION_SIZE_TIER_MULTINATIONAL,-10.959633306270007,20.959633306270007,0.000824408251437274,country_code
ORGANIZATION_SIZE_TIER_MULTINATIONAL_LARGE_ENTERPRISE_2,-6.189605424220417,14.189605424220417,0.006713864939666966,country_code
CASE_ORIGIN_BREACH_NOTIFICATION,-4.575232011773323,24.575232011773323,0.006211510137218065,country_code
ORGANIZATION_SIZE_TIER_NON_PROFIT,-0.9620904563967088,12.962090456396709,0.0436419188844015,country_code
BREACH_CASE_1,-0.6395833129656694,26.63958331296567,0.013932988149489015,country_code
BREACH_CASE_0,-0.6395833129656694,26.63958331296567,0.013932988149489015,country_code
q21_breach_types_status_NOT_APPLICABLE,-0.6395833129656694,26.63958331296567,0.013932988149489015,country_code
q21_breach_types_status_DISCUSSED,-0.6395833129656694,26.63958331296567,0.013932988149489015,country_code
q21_breach_types_coverage_DISCUSSED,-0.6395833129656694,26.63958331296567,0.013932988149489015,country_code
q25_sensitive_data_coverage_DISCUSSED,-0.6328616754922223,28.632861675492222,0.011711923867748488,country_code
q25_sensitive_data_status_DISCUSSED,-0.6328616754922223,28.632861675492222,0.011711923867748488,country_code
q25_sensitive_data_status_NOT_APPLICABLE,-0.6328616754922223,28.632861675492222,0.011711923867748488,country_code
CASE_ORIGIN_REFERRAL_FROM_OTHER_AUTHORITY,-0.19258030108039748,8.192580301080397,0.0847730751205714,country_code
CASE_ORIGIN_OTHER,0.0,0.0,,country_code
CASE_ORIGIN_PRIOR_CONSULTATION,0.0,0.0,,country_code
CASE_ORIGIN_COMPLAINT_EX_OFFICIO_DPA_INITIATIVE,0.0,0.0,,country_code
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_NOT_MENTIONED_2,0.0,0.0,,country_code
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_NOT_MENTIONED_UNCLEAR,0.0,0.0,,country_code
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_NOT_APPLICABLE_NOT_MENTIONED_UNCLEAR,0.0,0.0,,country_code
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_NOT_MENTIONED,0.0,0.0,,country_code
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_MULTINATIONAL_NOT_MENTIONED,0.0,0.0,,country_code
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_MULTINATIONAL_NOT_APPLICABLE,0.0,0.0,,country_code
