term,delta_aic,lr_stat,pvalue,group_field,pvalue_fdr
ORGANIZATION_SIZE_TIER_MULTINATIONAL,-10.959633306270007,20.959633306270007,0.000824408251437274,country_code,0.004819617469940986
ORGANIZATION_SIZE_TIER_MULTINATIONAL_LARGE_ENTERPRISE_2,-6.189605424220417,14.189605424220417,0.006713864939666966,country_code,0.025512686770734472
CASE_ORIGIN_BREACH_NOTIFICATION,-4.575232011773323,24.575232011773323,0.006211510137218065,country_code,0.025512686770734472
ORGANIZATION_SIZE_TIER_NON_PROFIT,-0.9620904563967088,12.962090456396709,0.0436419188844015,country_code,0.07957888728764816
BREACH_CASE_1,-0.6395833129656694,26.63958331296567,0.013932988149489015,country_code,0.03208809392003531
BREACH_CASE_0,-0.6395833129656694,26.63958331296567,0.013932988149489015,country_code,0.03208809392003531
q21_breach_types_status_NOT_APPLICABLE,-0.6395833129656694,26.63958331296567,0.013932988149489015,country_code,0.03208809392003531
q21_breach_types_status_DISCUSSED,-0.6395833129656694,26.63958331296567,0.013932988149489015,country_code,0.03208809392003531
q21_breach_types_coverage_DISCUSSED,-0.6395833129656694,26.63958331296567,0.013932988149489015,country_code,0.03208809392003531
q25_sensitive_data_coverage_DISCUSSED,-0.6328616754922223,28.632861675492222,0.011711923867748488,country_code,0.03208809392003531
q25_sensitive_data_status_DISCUSSED,-0.6328616754922223,28.632861675492222,0.011711923867748488,country_code,0.03208809392003531
q25_sensitive_data_status_NOT_APPLICABLE,-0.6328616754922223,28.632861675492222,0.011711923867748488,country_code,0.03208809392003531
CASE_ORIGIN_REFERRAL_FROM_OTHER_AUTHORITY,-0.19258030108039748,8.192580301080397,0.0847730751205714,country_code,0.1342240356075714
CASE_ORIGIN_OTHER,0.0,0.0,,country_code,
CASE_ORIGIN_PRIOR_CONSULTATION,0.0,0.0,,country_code,
CASE_ORIGIN_COMPLAINT_EX_OFFICIO_DPA_INITIATIVE,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_NOT_MENTIONED_2,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_NOT_MENTIONED_UNCLEAR,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_NOT_APPLICABLE_NOT_MENTIONED_UNCLEAR,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_NOT_MENTIONED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_MULTINATIONAL_NOT_MENTIONED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_MULTINATIONAL_NOT_APPLICABLE,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_NOT_APPLICABLE_NOT_APPLICABLE_NOT_APPLICABLE_NOT_APPLICABLE_NOT_APPLICABLE_NOT_APPLICABLE,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_NOT_APPLICABLE,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_PUBLIC_SECTOR_BODY,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_PUBLIC_SECTOR_BODY_2,0.0,0.0,,country_code,
CASE_ORIGIN_PRIOR_CONSULTATION_REQUEST,0.0,0.0,,country_code,
CASE_ORIGIN_NOT_DISCUSSED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_MULTINATIONAL,0.0,0.0,,country_code,
CASE_ORIGIN_NOT_MENTIONED,0.0,0.0,,country_code,
CASE_ORIGIN_FOLLOW_UP_PRIOR_CASE,0.0,0.0,,country_code,
CASE_ORIGIN_COMPLAINT_BREACH_NOTIFICATION,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_NON_PROFIT,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_LARGE_ENTERPRISE_NOT_MENTIONED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_LARGE_ENTERPRISE_NOT_MENTIONED_UNCLEAR,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_LARGE_ENTERPRISE_UNCLEAR,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_NOT_APPLICABLE,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_NON_PROFIT_2,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_NON_PROFIT_NOT_MENTIONED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_NON_PROFIT_PUBLIC_SECTOR_BODY,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_PUBLIC_SECTOR_BODY_LARGE_ENTERPRISE,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_NON_PROFIT_SME,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_LARGE_ENTERPRISE,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_PUBLIC_SECTOR_BODY_SME,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_PUBLIC_SECTOR_BODY_NOT_MENTIONED_2,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_PUBLIC_SECTOR_BODY_NOT_MENTIONED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_PUBLIC_SECTOR_BODY_NON_PROFIT_SME,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_PUBLIC_SECTOR_BODY_NON_PROFIT,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_NOT_MENTIONED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_LARGE_ENTERPRISE_MULTINATIONAL_NOT_MENTIONED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_LARGE_ENTERPRISE_MULTINATIONAL_NON_PROFIT_PUBLIC_SECTOR_BODY_NOT_APPLICABLE_NOT_MENTIONED_UNCLEAR,0.0,0.0,,country_code,
ORGANIZATION_TYPE_UNCLEAR,0.0,0.0,,country_code,
ORGANIZATION_TYPE_NOT_DISCUSSED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_NOT_MENTIONED_UNCLEAR,0.0,0.0,,country_code,
q21_breach_types_status_MISSING,0.0,0.0,,country_code,
q21_breach_types_coverage_NOT_MENTIONED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_NOT_MENTIONED_NOT_MENTIONED_NOT_MENTIONED_NOT_MENTIONED_NOT_MENTIONED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_SME_NOT_MENTIONED_NOT_MENTIONED_NOT_MENTIONED_NOT_MENTIONED,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_MULTINATIONAL_NOT_APPLICABLE,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_MULTINATIONAL_LARGE_ENTERPRISE,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_MISSING,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_BANKING_SECTOR_NOT_MENTIONED,0.0,0.0,,country_code,
CASE_ORIGIN_UNKNOWN,0.0,0.0,,country_code,
CASE_ORIGIN_UNCLEAR,0.0,0.0,,country_code,
q25_sensitive_data_status_MISSING,0.0,0.0,,country_code,
q25_sensitive_data_status_NOT_DISCUSSED,0.0,0.0,,country_code,
q21_breach_types_status_NOT_DISCUSSED,0.0,0.0,,country_code,
q25_sensitive_data_coverage_NOT_MENTIONED,0.0,0.0,,country_code,
q25_sensitive_data_status_NOT_MENTIONED,0.0,0.0,,country_code,
q25_sensitive_data_status_UNCLEAR,0.0,0.0,,country_code,
q47_remedial_status_UNCLEAR,0.0,0.0,,country_code,
q47_remedial_status_NOT_MENTIONED,0.0,0.0,,country_code,
q47_remedial_coverage_NOT_MENTIONED,0.0,0.0,,country_code,
q47_remedial_status_MISSING,0.0,0.0,,country_code,
q47_remedial_status_NOT_DISCUSSED,0.0,0.0,,country_code,
q47_remedial_status_NOT_APPLICABLE,0.0,0.0,,country_code,
q46_vuln_status_NOT_APPLICABLE,0.0,0.0,,country_code,
ORGANIZATION_TYPE_UNKNOWN,0.0,0.0,,country_code,
q21_breach_types_status_NOT_MENTIONED,0.0,0.0,,country_code,
q21_breach_types_status_UNCLEAR,0.0,0.0,,country_code,
q46_vuln_status_UNCLEAR,0.0,0.0,,country_code,
q46_vuln_status_NOT_DISCUSSED,0.0,0.0,,country_code,
q46_vuln_status_MISSING,0.0,0.0,,country_code,
ORGANIZATION_SIZE_TIER_UNCLEAR,2.2737367544323206e-13,-2.2737367544323206e-13,,country_code,
ORGANIZATION_SIZE_TIER_NOT_DISCUSSED,2.2737367544323206e-13,-2.2737367544323206e-13,,country_code,
ORGANIZATION_SIZE_TIER_SME_PUBLIC_SECTOR_BODY,2.2737367544323206e-13,-2.2737367544323206e-13,,country_code,
ORGANIZATION_SIZE_TIER_NOT_APPLICABLE_NOT_MENTIONED_UNCLEAR,2.2737367544323206e-13,-2.2737367544323206e-13,,country_code,
q46_vuln_status_NOT_MENTIONED,0.4790460502163114,29.52095394978369,0.013771071219754466,country_code,0.03208809392003531
q46_vuln_coverage_NOT_MENTIONED,0.4790460502165388,29.52095394978346,0.01377107121975542,country_code,0.03208809392003531
ORGANIZATION_SIZE_TIER_SME_NOT_MENTIONED_2,1.023689256583566,20.976310743416434,0.03361731479149141,country_code,0.06723462958298282
n_principles_violated,1.1727875736235092,28.82721242637649,0.016928637802267114,country_code,0.03784048449918531
ORGANIZATION_SIZE_TIER_MULTINATIONAL_NOT_MENTIONED,1.509430257120357,0.49056974287964294,0.48367326524142007,country_code,0.5569570933083019
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE_MULTINATIONAL_2,1.5623815166698023,14.437618483330198,0.071048326563781,country_code,0.11999272930771904
ORGANIZATION_SIZE_TIER_SME_NOT_MENTIONED_UNCLEAR_2,1.7477438489877386,0.2522561510122614,0.6154909134880402,country_code,0.6588353440153669
CASE_ORIGIN_COMPLAINT_BREACH_NOTIFICATION_2,1.9146081182980197,0.08539188170198031,0.7701192668685809,country_code,0.7909333011082722
CASE_ORIGIN_COMPLAINT,3.027646456157072,24.972353543842928,0.034841309517099545,country_code,0.06789588521280937
ORGANIZATION_TYPE_NATURAL_PERSON,3.312144935810011,8.68785506418999,0.19190878186802324,country_code,0.255878375824031
q46_vuln_coverage_DISCUSSED,3.3151990329834007,26.6848009670166,0.03141191798340743,country_code,0.06452177747943147
q46_vuln_status_DISCUSSED,3.3151990329834007,26.6848009670166,0.03141191798340743,country_code,0.06452177747943147
n_corrective_measures,4.761692396022227,27.238307603977773,0.03890919619845816,country_code,0.07392747277707051
CASE_ORIGIN_MEDIA_PUBLIC_ATTENTION,4.80826289800757,5.19173710199243,0.39293148142506623,country_code,0.47401258076674657
ORGANIZATION_SIZE_TIER_SME,4.949257745578052,17.050742254421948,0.10638357478140908,country_code,0.1554836862189825
ORGANIZATION_TYPE_NOT_MENTIONED,5.206590808119699,0.7934091918803006,0.8510428097627846,country_code,0.8510428097627846
ORGANIZATION_SIZE_TIER_NOT_APPLICABLE,5.310658354153247,8.689341645846753,0.2757361005453084,country_code,0.3551854854481939
ORGANIZATION_TYPE_PUBLIC_SECTOR_BODY,6.647911953821449,5.352088046178551,0.4995109512545567,country_code,0.5582769455197987
ORGANIZATION_SIZE_TIER_PUBLIC_SECTOR_BODY,6.858185959722732,21.141814040277268,0.09805319522143136,country_code,0.14611848699664282
ORGANIZATION_TYPE_ORGANIZATION,7.200215919522861,8.799784080477139,0.35946659109077184,country_code,0.4478600151294862
q47_remedial_status_DISCUSSED,8.492094654987795,17.507905345012205,0.17711319715536925,country_code,0.240367910425144
q47_remedial_coverage_DISCUSSED,8.492094654987795,17.507905345012205,0.17711319715536925,country_code,0.240367910425144
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE,10.630657325913035,9.369342674086965,0.497446660375257,country_code,0.5582769455197987
ORGANIZATION_SIZE_TIER_NOT_MENTIONED,11.455318088446802,12.544681911553198,0.40298419572931954,country_code,0.47854373242856696
CASE_ORIGIN_EX_OFFICIO_DPA_INITIATIVE,12.88874129027181,11.11125870972819,0.5194086521499213,country_code,0.5721022835274495
BREACH_CASE_1,-13.895185370370427,59.89518537037043,3.95614570616617e-05,dpa_name_canonical,0.0006013341473373036
BREACH_CASE_0,-13.8951853703702,59.8951853703702,3.956145706166471e-05,dpa_name_canonical,0.0006013341473373036
q21_breach_types_status_NOT_APPLICABLE,-13.8951853703702,59.8951853703702,3.956145706166471e-05,dpa_name_canonical,0.0006013341473373036
q21_breach_types_status_DISCUSSED,-13.8951853703702,59.8951853703702,3.956145706166471e-05,dpa_name_canonical,0.0006013341473373036
q21_breach_types_coverage_DISCUSSED,-13.8951853703702,59.8951853703702,3.956145706166471e-05,dpa_name_canonical,0.0006013341473373036
ORGANIZATION_SIZE_TIER_MULTINATIONAL,-10.959633306270007,20.959633306270007,0.000824408251437274,dpa_name_canonical,0.004819617469940986
