feature,mean_abs_shap
REMEDY_ONLY_CASE_YES,1.6209181851714167
n_corrective_measures,1.0373329700173894
REMEDY_ONLY_CASE_NO,0.9787428329287773
N_CORRECTIVE_MEASURES_BIN_0,0.5178945234982241
CASE_ORIGIN_COMPLAINT,0.2978040106248695
n_principles_violated,0.2672308165049797
q47_remedial_POLICY_CHANGES,0.23666282301071834
q25_sensitive_data_coverage__NOT_MENTIONED,0.2010110047384645
Q47_SIGNATURE_NONE,0.17021224820374264
ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE,0.15978637082043373
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE,MULTINATIONAL",0.1531317220298726
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE, MULTINATIONAL",0.12807697966465556
q21_breach_types_status__NOT_MENTIONED,0.10231166910643755
CASE_ORIGIN_NOT_MENTIONED,0.0713525744142394
ORGANIZATION_SIZE_TIER_NOT_APPLICABLE,0.05940866651293342
q46_vuln_FINANCIALLY_VULNERABLE,0.054778542841142495
ORGANIZATION_SIZE_TIER_PUBLIC_SECTOR_BODY,0.05219100761431524
ISIC_SECTION_MISSING,0.04198291451611592
q47_remedial_SYSTEM_UPGRADES,0.041294007999319086
Q21_SIGNATURE_HUMAN_ERROR|coverage__DISCUSSED|status__DISCUSSED,0.03937106755263967
days_since_gdpr,0.0333139412418355
ORGANIZATION_SIZE_TIER_NOT_MENTIONED,0.03274239053044055
DECISION_YEAR_BUCKET_2020-2021,0.03157298970553627
Q47_SIGNATURE_coverage__NOT_MENTIONED|status__NOT_MENTIONED,0.029246324593677545
ORGANIZATION_SIZE_TIER_SME,0.02646956179722762
Q47_SIGNATURE_IMMEDIATE_CESSATION|SYSTEM_UPGRADES|coverage__DISCUSSED|status__DISCUSSED,0.024443726743530354
q21_breach_types_coverage__NOT_MENTIONED,0.021829505014130016
q25_sensitive_data_NEITHER,0.021126883153649904
ISIC_SECTION_D,0.020583416012045195
ISIC_SECTION_P,0.019630363285493974
CASE_ORIGIN_NOT_DISCUSSED,0.01607095298781012
ISIC_SECTION_H,0.015943221684360746
Q25_SIGNATURE_NEITHER|coverage__DISCUSSED|status__DISCUSSED,0.014111083464262802
q25_sensitive_data_status__NOT_MENTIONED,0.013239728247056734
Q47_SIGNATURE_coverage__DISCUSSED|status__DISCUSSED,0.013013215078270756
q47_remedial_coverage__NOT_MENTIONED,0.012333180590131745
Q46_SIGNATURE_coverage__DISCUSSED|status__DISCUSSED,0.010433035978787648
q47_remedial_coverage__DISCUSSED,0.010191856449668303
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,0.010110498730085406
Q47_SIGNATURE_IMMEDIATE_CESSATION|coverage__DISCUSSED|status__DISCUSSED,0.009592068703275726
q47_remedial_status__DISCUSSED,0.008509923577571363
Q47_SIGNATURE_STAFF_TRAINING|coverage__DISCUSSED|status__DISCUSSED,0.00795811482732641
Q25_SIGNATURE_NOT_MENTIONED|coverage__DISCUSSED|status__DISCUSSED,0.00792737290856124
N_CORRECTIVE_MEASURES_BIN_5+,0.0076222467458376105
Q47_SIGNATURE_IMMEDIATE_CESSATION|STAFF_TRAINING|coverage__DISCUSSED|status__DISCUSSED,0.007468769007346482
ISIC_SECTION_K,0.007302511569128159
q21_breach_types_HUMAN_ERROR,0.006860789293490755
N_PRINCIPLES_DISCUSSED_BIN_1-2,0.005797370592397021
"ORGANIZATION_SIZE_TIER_SME,NOT_MENTIONED",0.005782959933483759
Q21_SIGNATURE_ORGANIZATIONAL_FAILURE|TECHNICAL_FAILURE|coverage__DISCUSSED|status__DISCUSSED,0.005761523180708802
Q47_SIGNATURE_POLICY_CHANGES|STAFF_TRAINING|SYSTEM_UPGRADES|coverage__DISCUSSED|status__DISCUSSED,0.0053704571322674855
Q25_SIGNATURE_UNCLEAR|coverage__DISCUSSED|status__DISCUSSED,0.00480709247910224
N_PRINCIPLES_VIOLATED_BIN_3-4,0.004803434800232225
q47_remedial_STAFF_TRAINING,0.004710918497106034
Q47_SIGNATURE_status__NOT_APPLICABLE,0.004564080866950507
CASE_ORIGIN_UNKNOWN,0.004447868266203954
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE, NOT_MENTIONED, UNCLEAR",0.004446057570496263
"ORGANIZATION_SIZE_TIER_SME,NOT_MENTIONED,NOT_MENTIONED,NOT_MENTIONED,NOT_MENTIONED",0.004004524417187251
Q25_SIGNATURE_coverage__NOT_MENTIONED|status__NOT_MENTIONED,0.0035970838904323824
CASE_ORIGIN_REFERRAL_FROM_OTHER_AUTHORITY,0.0033241318293182566
DECISION_YEAR_BUCKET_2024-2025,0.003304070209762775
N_PRINCIPLES_DISCUSSED_BIN_0,0.0032955654461986885
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE, NOT_APPLICABLE, NOT_APPLICABLE, NOT_APPLICABLE, NOT_APPLICABLE, NOT_APPLICABLE, NOT_APPLICABLE",0.0031792826087690498
ORGANIZATION_SIZE_TIER_MISSING,0.0031144064184661867
CASE_ORIGIN_EX_OFFICIO_DPA_INITIATIVE,0.0030543907392257437
DECISION_YEAR_BUCKET_2018-2019,0.0029171434135220474
q25_sensitive_data_status__DISCUSSED,0.0028140958345766413
ISIC_SECTION_J,0.0027782952123058106
ISIC_SECTION_G,0.0027712640665579504
Q21_SIGNATURE_NOT_MENTIONED|coverage__DISCUSSED|status__DISCUSSED,0.002768285198310585
N_CORRECTIVE_MEASURES_BIN_1-2,0.0027159146765638785
Q46_SIGNATURE_ELDERLY|PATIENTS|coverage__DISCUSSED|status__DISCUSSED,0.0026983033679920327
N_PRINCIPLES_VIOLATED_BIN_0,0.002679537893226109
Q46_SIGNATURE_EMPLOYEES|PATIENTS|coverage__DISCUSSED|status__DISCUSSED,0.0026530202942041227
Q46_SIGNATURE_FINANCIALLY_VULNERABLE|PATIENTS|coverage__DISCUSSED|status__DISCUSSED,0.0024229415668300587
ISIC_SECTION_I,0.0022062932703807623
Q25_SIGNATURE_coverage__DISCUSSED|status__DISCUSSED,0.002193347879470602
ISIC_SECTION_F,0.002167152710559173
q25_sensitive_data_status__NOT_APPLICABLE,0.002120223600485555
CASE_ORIGIN_OTHER,0.002085178018993816
q25_sensitive_data_NOT_APPLICABLE,0.001991708838260823
q25_sensitive_data_NOT_MENTIONED,0.001987229745172223
BREACH_CASE_1,0.0018575409486777015
q21_breach_types_NOT_MENTIONED,0.0017879390587788493
Q21_SIGNATURE_HUMAN_ERROR|ORGANIZATIONAL_FAILURE|coverage__DISCUSSED|status__DISCUSSED,0.0017616655081384904
Q46_SIGNATURE_NONE,0.0017559586752811302
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE, PUBLIC_SECTOR_BODY",0.0017378446950450952
Q21_SIGNATURE_UNCLEAR|coverage__DISCUSSED|status__DISCUSSED,0.0017297333183125126
CASE_ORIGIN_BREACH_NOTIFICATION,0.0017157865223475662
Q21_SIGNATURE_TECHNICAL_FAILURE|coverage__DISCUSSED|status__DISCUSSED,0.0016440416867903344
"ORGANIZATION_SIZE_TIER_SME, NOT_MENTIONED, UNCLEAR",0.001633845915591523
Q47_SIGNATURE_SYSTEM_UPGRADES|coverage__DISCUSSED|status__DISCUSSED,0.0015779799541792057
Q46_SIGNATURE_CHILDREN|ELDERLY|PATIENTS|coverage__DISCUSSED|status__DISCUSSED,0.0014918685924089853
q25_sensitive_data_UNCLEAR,0.001421196031856337
q46_vuln_CHILDREN,0.0013830478024630373
q47_remedial_IMMEDIATE_CESSATION,0.0013120143945138728
q21_breach_types_ORGANIZATIONAL_FAILURE,0.0012337750324587207
Q47_SIGNATURE_POLICY_CHANGES|SYSTEM_UPGRADES|coverage__DISCUSSED|status__DISCUSSED,0.0011728272124554634
BREACH_CASE_0,0.001137741873166494
"ORGANIZATION_SIZE_TIER_SME,LARGE_ENTERPRISE",0.0010623970261968633
N_PRINCIPLES_DISCUSSED_BIN_5+,0.0010069087410992082
q47_remedial_status__NOT_APPLICABLE,0.0009755232147608514
Q21_SIGNATURE_ORGANIZATIONAL_FAILURE|coverage__DISCUSSED|status__DISCUSSED,0.0009499125472652518
Q47_SIGNATURE_IMMEDIATE_CESSATION|POLICY_CHANGES|STAFF_TRAINING|SYSTEM_UPGRADES|coverage__DISCUSSED|status__DISCUSSED,0.0009426167711665376
DECISION_YEAR_BUCKET_2022-2023,0.0008998308284408398
Q46_SIGNATURE_coverage__NOT_MENTIONED|status__NOT_MENTIONED,0.0006712394816564936
Q21_SIGNATURE_NOT_MENTIONED|coverage__NOT_MENTIONED|status__NOT_MENTIONED,0.0006704648706365358
Q21_SIGNATURE_coverage__DISCUSSED|status__DISCUSSED,0.0006661254573229828
