feature,smd,twin_type
q21_breach_types_coverage__DISCUSSED,0.0,cem
q21_breach_types_status__DISCUSSED,0.0,cem
q21_breach_types_status__NOT_APPLICABLE,0.0,cem
q25_sensitive_data_coverage__DISCUSSED,0.0,cem
q25_sensitive_data_status__DISCUSSED,0.0,cem
q25_sensitive_data_status__NOT_APPLICABLE,0.0,cem
q46_vuln_coverage__DISCUSSED,0.0,cem
q46_vuln_coverage__NOT_MENTIONED,0.0,cem
q46_vuln_status__DISCUSSED,0.0,cem
q46_vuln_status__NOT_MENTIONED,0.0,cem
q47_remedial_coverage__DISCUSSED,0.0,cem
q47_remedial_status__DISCUSSED,0.0,cem
q21_breach_types_coverage__DISCUSSED,0.0,gower_within
q21_breach_types_coverage__NOT_MENTIONED,0.0,gower_within
q21_breach_types_status__DISCUSSED,0.0,gower_within
q21_breach_types_status__NOT_APPLICABLE,0.0,gower_within
q21_breach_types_status__NOT_MENTIONED,0.0,gower_within
q25_sensitive_data_coverage__DISCUSSED,0.0,gower_within
q25_sensitive_data_coverage__NOT_MENTIONED,0.0,gower_within
q25_sensitive_data_status__DISCUSSED,0.0,gower_within
q25_sensitive_data_status__NOT_APPLICABLE,0.0,gower_within
q25_sensitive_data_status__NOT_MENTIONED,0.0,gower_within
q46_vuln_coverage__DISCUSSED,0.0,gower_within
q46_vuln_coverage__NOT_MENTIONED,0.0,gower_within
q46_vuln_status__DISCUSSED,0.0,gower_within
q46_vuln_status__NOT_MENTIONED,0.0,gower_within
q47_remedial_coverage__DISCUSSED,0.0,gower_within
q47_remedial_coverage__NOT_MENTIONED,0.0,gower_within
q47_remedial_status__DISCUSSED,0.0,gower_within
q47_remedial_status__NOT_MENTIONED,0.0,gower_within
n_principles_discussed,0.08250427152296413,gower_within
n_principles_violated,0.04957681153455292,gower_within
n_corrective_measures,0.04910414943668928,gower_within
severity_measures_present,-0.012628464710578427,gower_within
q21_breach_types_coverage__DISCUSSED,0.0,gower_cross
q21_breach_types_coverage__NOT_MENTIONED,0.0,gower_cross
q21_breach_types_status__DISCUSSED,0.0,gower_cross
q21_breach_types_status__NOT_APPLICABLE,0.0,gower_cross
q21_breach_types_status__NOT_MENTIONED,0.0,gower_cross
q25_sensitive_data_coverage__DISCUSSED,0.0,gower_cross
q25_sensitive_data_coverage__NOT_MENTIONED,0.0,gower_cross
q25_sensitive_data_status__DISCUSSED,0.0,gower_cross
q25_sensitive_data_status__NOT_APPLICABLE,0.0,gower_cross
q25_sensitive_data_status__NOT_MENTIONED,0.0,gower_cross
q46_vuln_coverage__DISCUSSED,0.0,gower_cross
q46_vuln_coverage__NOT_MENTIONED,0.0,gower_cross
q46_vuln_status__DISCUSSED,0.0,gower_cross
q46_vuln_status__NOT_MENTIONED,0.0,gower_cross
q47_remedial_coverage__DISCUSSED,0.0,gower_cross
q47_remedial_coverage__NOT_MENTIONED,0.0,gower_cross
q47_remedial_status__DISCUSSED,0.0,gower_cross
q47_remedial_status__NOT_MENTIONED,0.0,gower_cross
n_principles_discussed,0.04727658898212433,gower_cross
n_principles_violated,-0.00013106297438843668,gower_cross
n_corrective_measures,0.0374266386500654,gower_cross
severity_measures_present,-0.01856277473746355,gower_cross
q21_breach_types_coverage__DISCUSSED,-0.00032129877218500444,risk_bands
q21_breach_types_coverage__NOT_MENTIONED,1.686155891963024e-05,risk_bands
q21_breach_types_status__DISCUSSED,-0.00032129877218500444,risk_bands
q21_breach_types_status__NOT_APPLICABLE,0.00027434959585371767,risk_bands
q21_breach_types_status__NOT_MENTIONED,1.686155891963024e-05,risk_bands
q25_sensitive_data_coverage__DISCUSSED,-0.00012391880237654578,risk_bands
q25_sensitive_data_coverage__NOT_MENTIONED,1.4843137514905824e-05,risk_bands
q25_sensitive_data_status__DISCUSSED,-0.00012391880237654578,risk_bands
q25_sensitive_data_status__NOT_APPLICABLE,0.00010972499459680072,risk_bands
q25_sensitive_data_status__NOT_MENTIONED,1.4843137514905824e-05,risk_bands
q46_vuln_coverage__DISCUSSED,1.7491384753332953e-05,risk_bands
q46_vuln_coverage__NOT_MENTIONED,0.00014358430099166216,risk_bands
q46_vuln_status__DISCUSSED,1.7491384753332953e-05,risk_bands
q46_vuln_status__NOT_MENTIONED,0.00014358430099166216,risk_bands
q47_remedial_coverage__DISCUSSED,1.4351009281908492e-05,risk_bands
q47_remedial_coverage__NOT_MENTIONED,-0.0001485436479751189,risk_bands
q47_remedial_status__DISCUSSED,1.4351009281908492e-05,risk_bands
q47_remedial_status__NOT_APPLICABLE,0.00016073372719298495,risk_bands
q47_remedial_status__NOT_MENTIONED,-0.0001485436479751189,risk_bands
n_principles_discussed,0.0005330039935941948,risk_bands
n_principles_violated,0.00040790474630544616,risk_bands
n_corrective_measures,0.000643147563555308,risk_bands
severity_measures_present,-0.0004009872091282574,risk_bands
