dataset,risk_ventile,mean_pred,mean_obs,brier,log_bias,n_cases,weight_sum
full,1,0.0005657109902591537,0.0,3.6530155170907493e-07,,99,63.95612408917271
full,2,0.0014092296355022694,0.0,2.0693846273565304e-06,,98,86.75873822797374
full,3,0.001909117325878451,0.0,3.649029411494865e-06,,98,29.16274836546016
full,4,0.00246418566646654,0.0,6.196323611214922e-06,,98,77.13797332665288
full,5,0.004036130326645677,0.0,1.6660681383739616e-05,,98,99.67724434969534
full,6,0.006380590620526501,0.0,4.124949731141427e-05,,98,102.56242091546295
full,7,0.009123734896023545,0.0,8.42088415050119e-05,,98,86.6270451517776
full,8,0.015253992266116293,0.0,0.0002415788270414404,,98,189.16480885313877
full,9,0.10642793694127467,0.05400710897606984,0.01754394111353569,,98,88.34346226510091
full,10,0.9250717322419514,0.9473125014993752,0.04907433689588788,,98,47.28676411840452
full,11,0.9599464824192513,0.9390247075993756,0.058461354241439,,98,65.93640874836564
full,12,0.9711253188380197,0.9935260383792307,0.0069673483919098335,,98,75.27575360161869
full,13,0.9807314597532143,1.0,0.0003745127725137074,0.5675182172774113,98,52.65204091358777
full,14,0.9849675058478355,1.0,0.00022736082321114218,0.7527034102849394,98,73.16841623689344
full,15,0.9889027440499384,1.0,0.0001242323312128676,-0.4879077034481848,98,125.706148077091
full,16,0.991463171406521,1.0,7.322076030749945e-05,1.0314490075376603,98,129.69967900779875
full,17,0.9935080265154205,1.0,4.2456716428066945e-05,0.12635131972378863,98,139.2718862613739
full,18,0.9954942311395729,1.0,2.0831600049649384e-05,0.11338233750893652,98,159.99481546417638
full,19,0.9973872658041985,1.0,6.987366053515595e-06,0.24350053111746206,98,140.4780463842999
full,20,0.9990885318350071,1.0,1.094687245474735e-06,0.8916008121130784,99,129.1394756419551
time_observed,1,0.000534503542248572,0.0,3.265046657740118e-07,0.029249567699307942,13,26.84244995172496
time_observed,2,0.0015139170239225664,0.0,2.3496097377383137e-06,-0.5525050632949805,15,51.04215795633346
time_observed,3,0.001945689266575569,0.0,3.791193485734979e-06,-0.5102021277729472,3,6.504796743246819
time_observed,4,0.0026081550857601447,0.0,6.864254105892426e-06,-0.8397886040283811,12,39.00959125163561
time_observed,5,0.0040032437773770855,0.0,1.645321748514945e-05,,20,74.85377019851467
time_observed,6,0.006625186276145879,0.0,4.448153628173495e-05,0.001136370219045805,21,66.06823843323362
time_observed,7,0.009116696565651198,0.0,8.413675496404634e-05,-0.536146373033408,27,71.4235804132359
time_observed,8,0.015207213246765666,0.0,0.00023993790487332372,-0.6566926098919811,34,176.67074181999226
time_observed,9,0.07406576744197049,0.03229007375032773,0.005092596913703568,,31,71.86822202470489
time_observed,10,0.9226648775038792,1.0,0.006442593965759258,-1.4315137632968185,6,19.918742459726065
time_observed,11,0.9593864938267641,0.9147727272727272,0.08111339276379104,,9,47.650273224043715
time_observed,12,0.9713931838095246,1.0,0.0008258962514568285,0.2288508566109579,15,44.42099922255229
time_observed,13,0.9808733560874899,1.0,0.0003693965847541263,0.4336155283072876,16,38.4751281537304
time_observed,14,0.9850871313726364,1.0,0.00022366995245289896,0.7616016955918069,27,59.47046109490223
time_observed,15,0.988903689705544,1.0,0.00012421204788999726,-0.558816197384295,32,114.81328380732256
time_observed,16,0.9914839237258585,1.0,7.286184072199631e-05,1.0726133293892695,35,118.72051863011939
time_observed,17,0.9935144841320366,1.0,4.233309991218507e-05,0.1984951455891974,36,120.3958681743214
time_observed,18,0.9954837486420912,1.0,2.0919399114285184e-05,0.07587752290804158,52,151.88881648339827
time_observed,19,0.9973881435752548,1.0,6.9749528015535855e-06,0.16869063887874497,35,123.68368305304539
time_observed,20,0.9991174020575682,1.0,1.033340781410106e-06,0.9360818970938223,52,119.49775291017743
