jurisdiction,effect,std_err,tvalue,pvalue,n_obs,dataset,outcome,level,ci_lower,ci_upper,pvalue_fdr
DE,15671777.367858233,9756714.408446366,1.6062556216969117,0.10821775673839612,1683,full,fine_eur,Country,-3451382.8726966437,34794937.60841311,0.12415311871965444
ES,-4818763.657425409,3239410.7647266416,-1.4875432624649074,0.1368713858718998,1683,full,fine_eur,Country,-11168008.756289627,1530481.441438808,0.154312879967887
FI,-11300660.165439738,3421036.27372862,-3.303285689257846,0.0009555897994715391,1683,full,fine_eur,Country,-18005891.261947833,-4595429.068931643,0.0011792384759436014
FR,-4409234.062142083,2939677.382696755,-1.4999040670569126,0.1336392543339823,1683,full,fine_eur,Country,-10171001.732227724,1352533.6079435563,0.1513225396146177
GB,-14908755.837621668,833264.1736057509,-17.89199189148815,1.3615317147556353e-71,1683,full,fine_eur,Country,-16541953.61788894,-13275558.057354396,1.813060089547045e-71
GR,-12630726.175633932,13642448.076186357,-0.9258401501766796,0.35452905820819103,1683,full,fine_eur,Country,-39369924.404959194,14108472.05369133,0.3664636997716351
HU,9560213.644009847,2029442.9770786476,4.710757460045333,2.467978048906303e-06,1683,full,fine_eur,Country,5582505.408935698,13537921.879083997,3.188823122596758e-06
IE,144788674.2118551,121149106.74943684,1.1951278725588141,0.23203707355362713,1683,full,fine_eur,Country,-92663575.01704109,382240923.4407513,0.2574618986466898
IS,6526818.610119609,2856327.2334633246,2.285038819661352,0.02231055162554385,1683,full,fine_eur,Country,928417.2325314926,12125219.987707727,0.026348660517045
IT,-16507470.574014312,580051.8230983763,-28.458613380161136,3.812692477935462e-178,1683,full,fine_eur,Country,-17644372.14728713,-15370569.000741495,5.129447096603895e-178
LT,-4443596.184641859,5155261.743923439,-0.8619535545172992,0.3887130767396614,1683,full,fine_eur,Country,-14547909.202731797,5660716.83344808,0.3994256418466599
LU,-27721404.96776563,819487.0186541624,-33.82775362725366,7.709518191108574e-251,1683,full,fine_eur,Country,-29327599.52432779,-26115210.41120347,1.0425825118545792e-250
LV,-15242683.257225404,17406161.846975796,-0.8757061660824278,0.3811897923952604,1683,full,fine_eur,Country,-49358760.47729796,18873393.96284716,0.3924675969039959
MT,5294658.186541358,1148324.1315716216,4.610769765236034,4.011806620296591e-06,1683,full,fine_eur,Country,3043942.8886609795,7545373.484421737,5.145363773451648e-06
NL,-4236780.189381225,2079828.0999164556,-2.0370819057360614,0.04164183482294136,1683,full,fine_eur,Country,-8313243.265217477,-160317.11354497215,0.048628719860347634
NO,-21925217.980892643,8918533.89993122,-2.458388141694649,0.013956224576309805,1683,full,fine_eur,Country,-39405544.42475784,-4444891.537027452,0.01670905786429752
PL,-4600243.386587696,3387702.767268104,-1.357924145835676,0.1744877547465311,1683,full,fine_eur,Country,-11240140.81043318,2039654.0372577878,0.1946209572172847
PT,-6967545.363093236,743183.2478592511,-9.375272361377009,6.899739863672861e-21,1683,full,fine_eur,Country,-8424184.52889737,-5510906.197289105,9.118137237562618e-21
RO,610354.2838259898,2600795.655541552,0.23467983058395966,0.814457243455591,1683,full,fine_eur,Country,-4487205.201035452,5707913.768687432,0.8175897713150356
SE,-15416323.990675075,11040467.539948754,-1.3963470237915878,0.16261001973721068,1683,full,fine_eur,Country,-37055640.36897463,6222992.387624482,0.18176109272553312
SI,-8024735.874395,3209877.376682368,-2.500013219411242,0.012418867231584797,1683,full,fine_eur,Country,-14316095.53269244,-1733376.2160975588,0.014936978559648073
A.N.S.P.D.C.P,-9963898.269234043,3.77738388596793e-07,-26377775121685.46,0.0,1647,full,fine_eur,DPA,-9963898.269234782,-9963898.269233303,0.0
A.N.S.P.D.C.P.,4121396.077855671,7.075887021305328e-08,58245645605225.82,0.0,1647,full,fine_eur,DPA,4121396.077855532,4121396.0778558096,0.0
ANSPDCP,11305930.514991127,1.7791138958316333e-07,63548098530849.01,0.0,1647,full,fine_eur,DPA,11305930.514990779,11305930.514991475,0.0
