dataset,level,stratum,outcome,pair,quantile,qa,qb,diff
full,CEM,13,fine_positive,IS vs SI,0.25,0.0,0.0,0.0
full,CEM,13,fine_positive,IS vs SI,0.5,0.0,0.0,0.0
full,CEM,13,fine_positive,IS vs SI,0.75,0.0,0.0,0.0
full,CEM,13,fine_positive,IS vs SI,0.9,0.0,0.0,0.0
full,CEM,13,fine_eur,IS vs SI,0.25,0.0,0.0,0.0
full,CEM,13,fine_eur,IS vs SI,0.5,0.0,0.0,0.0
full,CEM,13,fine_eur,IS vs SI,0.75,0.0,0.0,0.0
full,CEM,13,fine_eur,IS vs SI,0.9,0.0,0.0,0.0
full,CEM,13,fine_log1p,IS vs SI,0.25,0.0,0.0,0.0
full,CEM,13,fine_log1p,IS vs SI,0.5,0.0,0.0,0.0
full,CEM,13,fine_log1p,IS vs SI,0.75,0.0,0.0,0.0
full,CEM,13,fine_log1p,IS vs SI,0.9,0.0,0.0,0.0
full,CEM,70,fine_positive,IS vs NO,0.25,0.0,0.0,0.0
full,CEM,70,fine_positive,IS vs NO,0.5,0.0,0.0,0.0
full,CEM,70,fine_positive,IS vs NO,0.75,0.0,0.0,0.0
full,CEM,70,fine_positive,IS vs NO,0.9,0.0,0.0,0.0
full,CEM,70,fine_eur,IS vs NO,0.25,0.0,0.0,0.0
full,CEM,70,fine_eur,IS vs NO,0.5,0.0,0.0,0.0
full,CEM,70,fine_eur,IS vs NO,0.75,0.0,0.0,0.0
full,CEM,70,fine_eur,IS vs NO,0.9,0.0,0.0,0.0
full,CEM,70,fine_log1p,IS vs NO,0.25,0.0,0.0,0.0
full,CEM,70,fine_log1p,IS vs NO,0.5,0.0,0.0,0.0
full,CEM,70,fine_log1p,IS vs NO,0.75,0.0,0.0,0.0
full,CEM,70,fine_log1p,IS vs NO,0.9,0.0,0.0,0.0
full,CEM,78,fine_positive,IT vs SE,0.25,1.0,1.0,0.0
full,CEM,78,fine_positive,IT vs SE,0.5,1.0,1.0,0.0
full,CEM,78,fine_positive,IT vs SE,0.75,1.0,1.0,0.0
full,CEM,78,fine_positive,IT vs SE,0.9,1.0,1.0,0.0
full,CEM,78,fine_eur,IT vs SE,0.25,2000.0,30450.0,-28450.0
full,CEM,78,fine_eur,IT vs SE,0.5,2000.0,30450.0,-28450.0
full,CEM,78,fine_eur,IT vs SE,0.75,2000.0,30450.0,-28450.0
full,CEM,78,fine_eur,IT vs SE,0.9,2000.0,30450.0,-28450.0
full,CEM,78,fine_log1p,IT vs SE,0.25,7.601402,10.323874,-2.722472
full,CEM,78,fine_log1p,IT vs SE,0.5,7.601402,10.323874,-2.722472
full,CEM,78,fine_log1p,IT vs SE,0.75,7.601402,10.323874,-2.722472
full,CEM,78,fine_log1p,IT vs SE,0.9,7.601402,10.323874,-2.722472
full,CEM,328,fine_positive,ES vs NO,0.25,0.0,0.0,0.0
full,CEM,328,fine_positive,ES vs NO,0.5,0.0,0.0,0.0
full,CEM,328,fine_positive,ES vs NO,0.75,0.0,0.0,0.0
full,CEM,328,fine_positive,ES vs NO,0.9,0.0,0.0,0.0
full,CEM,328,fine_eur,ES vs NO,0.25,0.0,0.0,0.0
full,CEM,328,fine_eur,ES vs NO,0.5,0.0,0.0,0.0
full,CEM,328,fine_eur,ES vs NO,0.75,0.0,0.0,0.0
full,CEM,328,fine_eur,ES vs NO,0.9,0.0,0.0,0.0
full,CEM,328,fine_log1p,ES vs NO,0.25,0.0,0.0,0.0
full,CEM,328,fine_log1p,ES vs NO,0.5,0.0,0.0,0.0
full,CEM,328,fine_log1p,ES vs NO,0.75,0.0,0.0,0.0
full,CEM,328,fine_log1p,ES vs NO,0.9,0.0,0.0,0.0
full,CEM,329,fine_positive,ES vs SI,0.25,0.0,0.0,0.0
full,CEM,329,fine_positive,ES vs SI,0.5,0.0,0.0,0.0
full,CEM,329,fine_positive,ES vs SI,0.75,0.0,0.0,0.0
full,CEM,329,fine_positive,ES vs SI,0.9,0.0,0.0,0.0
full,CEM,329,fine_eur,ES vs SI,0.25,0.0,0.0,0.0
full,CEM,329,fine_eur,ES vs SI,0.5,0.0,0.0,0.0
full,CEM,329,fine_eur,ES vs SI,0.75,0.0,0.0,0.0
full,CEM,329,fine_eur,ES vs SI,0.9,0.0,0.0,0.0
full,CEM,329,fine_log1p,ES vs SI,0.25,0.0,0.0,0.0
full,CEM,329,fine_log1p,ES vs SI,0.5,0.0,0.0,0.0
full,CEM,329,fine_log1p,ES vs SI,0.75,0.0,0.0,0.0
full,CEM,329,fine_log1p,ES vs SI,0.9,0.0,0.0,0.0
full,CEM,337,fine_positive,ES vs GR,0.25,1.0,1.0,0.0
full,CEM,337,fine_positive,ES vs GR,0.5,1.0,1.0,0.0
full,CEM,337,fine_positive,ES vs GR,0.75,1.0,1.0,0.0
full,CEM,337,fine_positive,ES vs GR,0.9,1.0,1.0,0.0
full,CEM,337,fine_eur,ES vs GR,0.25,1800.0,1000.0,800.0
full,CEM,337,fine_eur,ES vs GR,0.5,1800.0,2000.0,-200.0
full,CEM,337,fine_eur,ES vs GR,0.75,1800.0,2000.0,-200.0
full,CEM,337,fine_eur,ES vs GR,0.9,1800.0,2000.0,-200.0
full,CEM,337,fine_log1p,ES vs GR,0.25,7.496097,6.908755,0.5873419999999996
full,CEM,337,fine_log1p,ES vs GR,0.5,7.496097,7.601402,-0.10530500000000043
full,CEM,337,fine_log1p,ES vs GR,0.75,7.496097,7.601402,-0.10530500000000043
full,CEM,337,fine_log1p,ES vs GR,0.9,7.496097,7.601402,-0.10530500000000043
full,CEM,340,fine_positive,GR vs SI,0.25,1.0,1.0,0.0
full,CEM,340,fine_positive,GR vs SI,0.5,1.0,1.0,0.0
full,CEM,340,fine_positive,GR vs SI,0.75,1.0,1.0,0.0
full,CEM,340,fine_positive,GR vs SI,0.9,1.0,1.0,0.0
full,CEM,340,fine_eur,GR vs SI,0.25,1000.0,500.0,500.0
full,CEM,340,fine_eur,GR vs SI,0.5,1000.0,500.0,500.0
full,CEM,340,fine_eur,GR vs SI,0.75,1000.0,500.0,500.0
full,CEM,340,fine_eur,GR vs SI,0.9,1000.0,500.0,500.0
full,CEM,340,fine_log1p,GR vs SI,0.25,6.908755,6.216606,0.6921490000000006
full,CEM,340,fine_log1p,GR vs SI,0.5,6.908755,6.216606,0.6921490000000006
full,CEM,340,fine_log1p,GR vs SI,0.75,6.908755,6.216606,0.6921490000000006
full,CEM,340,fine_log1p,GR vs SI,0.9,6.908755,6.216606,0.6921490000000006
full,CEM,341,fine_positive,ES vs HU,0.25,0.0,0.0,0.0
full,CEM,341,fine_positive,ES vs HU,0.5,0.0,0.0,0.0
full,CEM,341,fine_positive,ES vs HU,0.75,0.0,0.0,0.0
full,CEM,341,fine_positive,ES vs HU,0.9,0.0,0.0,0.0
full,CEM,343,fine_positive,DE vs ES,0.25,0.0,1.0,-1.0
full,CEM,343,fine_positive,DE vs ES,0.5,0.0,1.0,-1.0
full,CEM,343,fine_positive,DE vs ES,0.75,0.0,1.0,-1.0
full,CEM,343,fine_positive,DE vs ES,0.9,0.0,1.0,-1.0
full,CEM,343,fine_positive,DE vs IT,0.25,0.0,1.0,-1.0
full,CEM,343,fine_positive,DE vs IT,0.5,0.0,1.0,-1.0
full,CEM,343,fine_positive,DE vs IT,0.75,0.0,1.0,-1.0
full,CEM,343,fine_positive,DE vs IT,0.9,0.0,1.0,-1.0
full,CEM,343,fine_positive,ES vs IT,0.25,1.0,1.0,0.0
full,CEM,343,fine_positive,ES vs IT,0.5,1.0,1.0,0.0
full,CEM,343,fine_positive,ES vs IT,0.75,1.0,1.0,0.0
full,CEM,343,fine_positive,ES vs IT,0.9,1.0,1.0,0.0
full,CEM,343,fine_eur,ES vs IT,0.25,1000.0,500.0,500.0
full,CEM,343,fine_eur,ES vs IT,0.5,2000.0,500.0,1500.0
full,CEM,343,fine_eur,ES vs IT,0.75,5000.0,500.0,4500.0
full,CEM,343,fine_eur,ES vs IT,0.9,10000.0,500.0,9500.0
full,CEM,343,fine_log1p,ES vs IT,0.25,6.908755,6.216606,0.6921490000000006
full,CEM,343,fine_log1p,ES vs IT,0.5,7.601402,6.216606,1.3847960000000006
full,CEM,343,fine_log1p,ES vs IT,0.75,8.517393,6.216606,2.3007870000000006
full,CEM,343,fine_log1p,ES vs IT,0.9,9.21044,6.216606,2.9938340000000006
full,CEM,350,fine_positive,ES vs IS,0.25,0.0,0.0,0.0
full,CEM,350,fine_positive,ES vs IS,0.5,0.0,0.0,0.0
full,CEM,350,fine_positive,ES vs IS,0.75,0.0,0.0,0.0
full,CEM,350,fine_positive,ES vs IS,0.9,0.0,0.0,0.0
full,CEM,350,fine_eur,ES vs IS,0.25,0.0,0.0,0.0
full,CEM,350,fine_eur,ES vs IS,0.5,0.0,0.0,0.0
full,CEM,350,fine_eur,ES vs IS,0.75,0.0,0.0,0.0
full,CEM,350,fine_eur,ES vs IS,0.9,0.0,0.0,0.0
full,CEM,350,fine_log1p,ES vs IS,0.25,0.0,0.0,0.0
full,CEM,350,fine_log1p,ES vs IS,0.5,0.0,0.0,0.0
full,CEM,350,fine_log1p,ES vs IS,0.75,0.0,0.0,0.0
full,CEM,350,fine_log1p,ES vs IS,0.9,0.0,0.0,0.0
