,SECURITY,ACCOUNTABILITY,LAWFULNESS_FAIRNESS_TRANSPARENCY,PURPOSE_LIMITATION,INFORMATION_OBLIGATIONS,NONE_VIOLATED,ACCESS,DATA_MINIMISATION,STORAGE_LIMITATION,NOT_DETERMINED,AUTOMATED_DECISION_MAKING,ERASURE,RECTIFICATION,ACCURACY,RESTRICTION_OF_PROCESSING,DATA_PORTABILITY,OBJECTION
SECURITY,0,332,282,128,331,201,99,89,55,25,3,72,19,39,9,4,39
ACCOUNTABILITY,332,0,235,123,290,57,94,81,57,6,3,59,18,35,8,4,38
LAWFULNESS_FAIRNESS_TRANSPARENCY,282,235,0,209,543,143,100,132,58,14,5,74,19,42,7,5,49
PURPOSE_LIMITATION,128,123,209,0,171,49,40,108,48,2,4,30,11,27,7,4,25
INFORMATION_OBLIGATIONS,331,290,543,171,0,37,114,158,63,4,4,72,19,36,8,5,44
NONE_VIOLATED,201,57,143,49,37,255,64,61,19,12,4,34,4,18,4,4,16
ACCESS,99,94,100,40,114,64,0,22,17,0,3,46,16,20,9,5,31
DATA_MINIMISATION,89,81,132,108,158,61,22,0,45,6,3,21,6,25,6,4,11
STORAGE_LIMITATION,55,57,58,48,63,19,17,45,0,4,3,26,6,21,6,4,10
NOT_DETERMINED,25,6,14,2,4,12,0,6,4,62,0,2,0,2,0,0,1
AUTOMATED_DECISION_MAKING,3,3,5,4,4,4,3,3,3,0,0,3,3,3,3,3,3
ERASURE,72,59,74,30,72,34,46,21,26,2,3,0,20,21,8,3,26
RECTIFICATION,19,18,19,11,19,4,16,6,6,0,3,20,0,17,8,3,10
ACCURACY,39,35,42,27,36,18,20,25,21,2,3,21,17,0,6,4,10
RESTRICTION_OF_PROCESSING,9,8,7,7,8,4,9,6,6,0,3,8,8,6,0,3,6
DATA_PORTABILITY,4,4,5,4,5,4,5,4,4,0,3,3,3,4,3,0,3
OBJECTION,39,38,49,25,44,16,31,11,10,1,3,26,10,10,6,3,0
