source,target,edge_type,category
United Kingdom_18,Article 5 Principles::SECURITY,violated,Article 5 Principles
United Kingdom_18,Data Subject Rights::INFORMATION_OBLIGATIONS,violated,Data Subject Rights
United Kingdom_18,Corrective Powers::ADMINISTRATIVE_FINE,exercised,Corrective Powers
Article 5 Principles::SECURITY,United Kingdom_20,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_16,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_17,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_21,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_25,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_23,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_24,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_28,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_32,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_34,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_37,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_39,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_41,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_48,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_55,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_60,violated,Article 5 Principles
Article 5 Principles::SECURITY,United Kingdom_57,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_2,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_3,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_4,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_1,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_7,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_9,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_10,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_12,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_14,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_18,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_22,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_23,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_31,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_33,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_29,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_36,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_34,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_35,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_37,violated,Article 5 Principles
Article 5 Principles::SECURITY,Sweden_41,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_4,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_11,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_41,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_47,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_54,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_58,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_59,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_60,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_67,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_71,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_75,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_81,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_78,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_82,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_80,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_83,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_88,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_92,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_98,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_97,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_105,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_108,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_116,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_117,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_115,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_113,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_122,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_131,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_134,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_138,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_139,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_140,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_150,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_152,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_154,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_153,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_157,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_159,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_163,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_168,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_166,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_174,violated,Article 5 Principles
Article 5 Principles::SECURITY,Spain_177,violated,Article 5 Principles
