decision_id,option,status,token_status
United Kingdom_18,SECURITY,DISCUSSED,KNOWN
United Kingdom_18,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_20,SECURITY,DISCUSSED,KNOWN
United Kingdom_20,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_16,SECURITY,DISCUSSED,KNOWN
United Kingdom_16,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_17,SECURITY,DISCUSSED,KNOWN
United Kingdom_17,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_21,SECURITY,DISCUSSED,KNOWN
United Kingdom_21,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_19,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
United Kingdom_26,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_25,SECURITY,DISCUSSED,KNOWN
United Kingdom_23,SECURITY,DISCUSSED,KNOWN
United Kingdom_24,ACCURACY,DISCUSSED,KNOWN
United Kingdom_24,SECURITY,DISCUSSED,KNOWN
United Kingdom_24,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_29,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
United Kingdom_29,PURPOSE_LIMITATION,DISCUSSED,KNOWN
United Kingdom_28,SECURITY,DISCUSSED,KNOWN
United Kingdom_28,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_32,SECURITY,DISCUSSED,KNOWN
United Kingdom_31,PURPOSE_LIMITATION,DISCUSSED,KNOWN
United Kingdom_31,DATA_MINIMISATION,DISCUSSED,KNOWN
United Kingdom_31,SECURITY,DISCUSSED,KNOWN
United Kingdom_31,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_36,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_34,SECURITY,DISCUSSED,KNOWN
United Kingdom_34,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_37,SECURITY,DISCUSSED,KNOWN
United Kingdom_35,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_39,SECURITY,DISCUSSED,KNOWN
United Kingdom_45,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_44,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
United Kingdom_41,SECURITY,DISCUSSED,KNOWN
United Kingdom_48,SECURITY,DISCUSSED,KNOWN
United Kingdom_49,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_50,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
United Kingdom_54,NONE_DISCUSSED,DISCUSSED,KNOWN
United Kingdom_55,SECURITY,DISCUSSED,KNOWN
United Kingdom_59,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
United Kingdom_60,SECURITY,DISCUSSED,KNOWN
United Kingdom_57,SECURITY,DISCUSSED,KNOWN
United Kingdom_57,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_63,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_62,NONE_DISCUSSED,DISCUSSED,KNOWN
Sweden_2,SECURITY,DISCUSSED,KNOWN
Sweden_2,ACCOUNTABILITY,DISCUSSED,KNOWN
