decision_id,option,status,token_status
United Kingdom_18,ADMINISTRATIVE_FINE,DISCUSSED,KNOWN
United Kingdom_20,REPRIMAND,DISCUSSED,KNOWN
United Kingdom_10,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_7,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_16,ADMINISTRATIVE_FINE,DISCUSSED,KNOWN
United Kingdom_17,ADMINISTRATIVE_FINE,DISCUSSED,KNOWN
United Kingdom_21,ADMINISTRATIVE_FINE,DISCUSSED,KNOWN
United Kingdom_19,ADMINISTRATIVE_FINE,DISCUSSED,KNOWN
United Kingdom_26,COMPLY_WITH_DATA_SUBJECT_REQUESTS,DISCUSSED,KNOWN
United Kingdom_26,BRING_PROCESSING_INTO_COMPLIANCE,DISCUSSED,KNOWN
United Kingdom_25,REPRIMAND,DISCUSSED,KNOWN
United Kingdom_23,ADMINISTRATIVE_FINE,DISCUSSED,KNOWN
United Kingdom_24,REPRIMAND,DISCUSSED,KNOWN
United Kingdom_24,COMPLY_WITH_DATA_SUBJECT_REQUESTS,DISCUSSED,KNOWN
United Kingdom_24,BRING_PROCESSING_INTO_COMPLIANCE,DISCUSSED,KNOWN
United Kingdom_29,ADMINISTRATIVE_FINE,DISCUSSED,KNOWN
United Kingdom_27,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_28,ADMINISTRATIVE_FINE,DISCUSSED,KNOWN
United Kingdom_22,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_30,LIMITATION_PROHIBITION_OF_PROCESSING,DISCUSSED,KNOWN
United Kingdom_32,NONE,DISCUSSED,KNOWN
United Kingdom_33,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_31,COMPLY_WITH_DATA_SUBJECT_REQUESTS,DISCUSSED,KNOWN
United Kingdom_31,BRING_PROCESSING_INTO_COMPLIANCE,DISCUSSED,KNOWN
United Kingdom_36,NOT_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_34,ADMINISTRATIVE_FINE,DISCUSSED,KNOWN
United Kingdom_37,REPRIMAND,DISCUSSED,KNOWN
United Kingdom_35,REPRIMAND,DISCUSSED,KNOWN
United Kingdom_39,REPRIMAND,DISCUSSED,KNOWN
United Kingdom_45,REPRIMAND,DISCUSSED,KNOWN
United Kingdom_45,COMPLY_WITH_DATA_SUBJECT_REQUESTS,DISCUSSED,KNOWN
United Kingdom_45,BRING_PROCESSING_INTO_COMPLIANCE,DISCUSSED,KNOWN
United Kingdom_40,DISCUSSED,DISCUSSED,STATUS_ONLY
United Kingdom_43,COMPLY_WITH_DATA_SUBJECT_REQUESTS,DISCUSSED,KNOWN
