decision_id,option,status,token_status
United Kingdom_18,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_20,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_10,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_7,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_16,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_17,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_21,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_19,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_26,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_25,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_23,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_24,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_29,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_27,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_28,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_22,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_30,SPECIFIC_PURPOSE_LIMITATION,DISCUSSED,KNOWN
United Kingdom_32,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_33,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_31,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_36,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_34,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_37,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_35,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_39,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_45,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_40,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_43,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_44,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_41,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_46,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_48,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_53,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_52,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_51,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_47,COMPLETE_PROCESSING_BAN,DISCUSSED,KNOWN
United Kingdom_49,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_50,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_54,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_55,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_59,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_56,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_61,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_60,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_57,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_63,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_62,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_2,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_3,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_4,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_1,SPECIFIC_PURPOSE_LIMITATION,DISCUSSED,KNOWN
Sweden_5,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_7,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_6,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_9,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_10,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_11,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_12,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_14,SPECIFIC_PURPOSE_LIMITATION,DISCUSSED,KNOWN
Sweden_15,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_18,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_13,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_16,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_20,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_21,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_22,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_23,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_26,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_24,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_27,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_30,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_31,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_33,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
Sweden_29,COMPLETE_PROCESSING_BAN,MIXED_CONTRADICTORY,KNOWN
Sweden_29,SPECIFIC_PURPOSE_LIMITATION,MIXED_CONTRADICTORY,KNOWN
Sweden_29,DATA_CATEGORY_LIMITATION,MIXED_CONTRADICTORY,KNOWN
Sweden_29,GEOGRAPHICAL_LIMITATION,MIXED_CONTRADICTORY,KNOWN
Sweden_29,TEMPORAL_LIMITATION,MIXED_CONTRADICTORY,KNOWN
Sweden_29,NOT_APPLICABLE,MIXED_CONTRADICTORY,KNOWN
Sweden_32,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
