decision_id,assignment_rank,is_primary,parse_status,isic_code,isic_level,description,section,section_description,division,division_description,group,group_description,reference_version,source_token
United Kingdom_18,1,1,MATCHED,6209,CLASS,Other information technology and computer service activities,J,Information and communication,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",3de77d05ace5,6209
United Kingdom_20,1,1,MATCHED,88,DIVISION,Social work activities without accommodation,Q,Human health and social work activities,88,Social work activities without accommodation,,,3de77d05ace5,88
United Kingdom_10,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_7,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_16,1,1,MATCHED,5510,CLASS,Short term accommodation activities,I,Accommodation and food service activities,55,Accommodation,551,Short term accommodation activities,3de77d05ace5,5510
United Kingdom_17,1,1,MATCHED,5610,CLASS,Restaurants and mobile food service activities,I,Accommodation and food service activities,56,Food and beverage service activities,561,Restaurants and mobile food service activities,3de77d05ace5,5610
United Kingdom_21,1,1,MATCHED,94,DIVISION,Activities of membership organizations,S,Other service activities,94,Activities of membership organizations,,,3de77d05ace5,94
United Kingdom_19,,0,UNRECOGNIZED,"Financial service activities, except insurance and pension funding",UNKNOWN,,,,,,,,3de77d05ace5,"Financial service activities, except insurance and pension funding"
United Kingdom_26,1,1,MATCHED,45,DIVISION,Wholesale and retail trade and repair of motor vehicles and motorcycles,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,,,3de77d05ace5,45
United Kingdom_25,1,1,MATCHED,6810,CLASS,Real estate activities with own or leased property,L,Real estate activities,68,Real estate activities,681,Real estate activities with own or leased property,3de77d05ace5,6810
United Kingdom_23,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
United Kingdom_24,1,1,MATCHED,84,DIVISION,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,,,3de77d05ace5,84
United Kingdom_29,1,1,MATCHED,6312,CLASS,Web portals,J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,6312
United Kingdom_27,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_28,1,1,MATCHED,6910,CLASS,Legal activities,M,"Professional, scientific and technical activities",69,Legal and accounting activities,691,Legal activities,3de77d05ace5,6910
United Kingdom_22,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_30,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_32,1,1,MATCHED,6630,CLASS,Fund management activities,K,Financial and insurance activities,66,Activities auxiliary to financial service and insurance activities,663,Fund management activities,3de77d05ace5,6630
United Kingdom_33,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_31,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_36,,0,UNRECOGNIZED,NOT_DISCUSSED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_DISCUSSED
United Kingdom_34,1,1,MATCHED,94,DIVISION,Activities of membership organizations,S,Other service activities,94,Activities of membership organizations,,,3de77d05ace5,94
United Kingdom_37,1,1,MATCHED,84,DIVISION,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,,,3de77d05ace5,84
United Kingdom_35,1,1,MATCHED,85,DIVISION,Education,P,Education,85,Education,,,3de77d05ace5,85
United Kingdom_39,1,1,MATCHED,6910,CLASS,Legal activities,M,"Professional, scientific and technical activities",69,Legal and accounting activities,691,Legal activities,3de77d05ace5,6910
United Kingdom_45,1,1,MATCHED,O,SECTION,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security,,,,,3de77d05ace5,O
United Kingdom_40,1,1,MATCHED,8299,CLASS,Other business support service activities n.e.c.,N,Administrative and support service activities,82,"Office administrative, office support and other business support activities",829,Business support service activities n.e.c.,3de77d05ace5,8299
United Kingdom_43,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_44,1,1,MATCHED,4791,CLASS,Retail sale via mail order houses or via Internet,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",479,"Retail trade not in stores, stalls or markets",3de77d05ace5,4791
United Kingdom_41,1,1,MATCHED,94,DIVISION,Activities of membership organizations,S,Other service activities,94,Activities of membership organizations,,,3de77d05ace5,94
United Kingdom_46,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_48,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
United Kingdom_53,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
