decision_id,option,status,token_status
United Kingdom_18,PATIENTS,DISCUSSED,KNOWN
United Kingdom_20,CHILDREN,DISCUSSED,KNOWN
United Kingdom_10,NOT_DISCUSSED,NOT_DISCUSSED,KNOWN
United Kingdom_7,NOT_DISCUSSED,NOT_DISCUSSED,KNOWN
United Kingdom_16,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_17,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_21,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_19,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_26,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_25,NOT_DISCUSSED,NOT_DISCUSSED,KNOWN
United Kingdom_23,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_24,VICTIMS,DISCUSSED,UNKNOWN
United Kingdom_29,EMPLOYEES,DISCUSSED,KNOWN
United Kingdom_27,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_28,CHILDREN,DISCUSSED,KNOWN
United Kingdom_28,PATIENTS,DISCUSSED,KNOWN
United Kingdom_28,EMPLOYEES,DISCUSSED,KNOWN
United Kingdom_22,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_30,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_32,EMPLOYEES,DISCUSSED,KNOWN
United Kingdom_33,NOT_DISCUSSED,NOT_DISCUSSED,KNOWN
United Kingdom_31,ASYLUM_SEEKERS,DISCUSSED,UNKNOWN
United Kingdom_31,VULNERABLE_IMMIGRANTS,DISCUSSED,UNKNOWN
United Kingdom_36,NOT_DISCUSSED,NOT_DISCUSSED,KNOWN
United Kingdom_34,PATIENTS,DISCUSSED,KNOWN
United Kingdom_37,NOT_DISCUSSED,NOT_DISCUSSED,KNOWN
United Kingdom_35,CHILDREN,DISCUSSED,KNOWN
United Kingdom_39,CHILDREN,DISCUSSED,KNOWN
United Kingdom_39,PATIENTS,DISCUSSED,KNOWN
United Kingdom_45,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_40,ELDERLY,DISCUSSED,KNOWN
United Kingdom_43,PATIENTS,DISCUSSED,KNOWN
United Kingdom_43,EMPLOYEES,DISCUSSED,KNOWN
United Kingdom_44,ELDERLY,DISCUSSED,KNOWN
United Kingdom_44,PATIENTS,DISCUSSED,KNOWN
United Kingdom_41,CHILDREN,DISCUSSED,KNOWN
United Kingdom_41,PATIENTS,DISCUSSED,KNOWN
United Kingdom_46,CHILDREN,DISCUSSED,KNOWN
United Kingdom_46,PATIENTS,DISCUSSED,KNOWN
United Kingdom_48,CHILDREN,DISCUSSED,KNOWN
United Kingdom_53,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_52,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_51,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_47,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_49,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_50,EMPLOYEES,DISCUSSED,KNOWN
United Kingdom_54,NOT_DISCUSSED,NOT_DISCUSSED,KNOWN
United Kingdom_55,EMPLOYEES,DISCUSSED,KNOWN
United Kingdom_59,FINANCIALLY_VULNERABLE,DISCUSSED,KNOWN
United Kingdom_56,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_61,NONE_MENTIONED,NONE_MENTIONED,KNOWN
United Kingdom_60,CHILDREN,DISCUSSED,KNOWN
United Kingdom_60,PATIENTS,DISCUSSED,KNOWN
United Kingdom_57,PATIENTS,DISCUSSED,KNOWN
United Kingdom_63,NOT_DISCUSSED,NOT_DISCUSSED,KNOWN
United Kingdom_62,NONE_MENTIONED,NONE_MENTIONED,KNOWN
Sweden_2,PATIENTS,DISCUSSED,KNOWN
Sweden_3,PATIENTS,DISCUSSED,KNOWN
Sweden_4,PATIENTS,DISCUSSED,KNOWN
Sweden_1,NONE_MENTIONED,NONE_MENTIONED,KNOWN
Sweden_5,PATIENTS,DISCUSSED,KNOWN
Sweden_7,CHILDREN,DISCUSSED,KNOWN
Sweden_6,PATIENTS,DISCUSSED,KNOWN
Sweden_9,NONE_MENTIONED,NONE_MENTIONED,KNOWN
Sweden_10,PATIENTS,DISCUSSED,KNOWN
Sweden_11,NONE_MENTIONED,NONE_MENTIONED,KNOWN
Sweden_12,NONE_MENTIONED,NONE_MENTIONED,KNOWN
Sweden_14,NONE_MENTIONED,NONE_MENTIONED,KNOWN
Sweden_15,NOT_DISCUSSED,NOT_DISCUSSED,KNOWN
Sweden_18,EMPLOYEES,DISCUSSED,KNOWN
Sweden_13,PATIENTS,DISCUSSED,KNOWN
Sweden_16,NOT_DISCUSSED,NOT_DISCUSSED,KNOWN
