decision_id,option,status,token_status
United Kingdom_18,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_18,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_18,DATA_CATEGORIES_AFFECTED,DISCUSSED,KNOWN
United Kingdom_18,MANNER_BECAME_KNOWN,DISCUSSED,KNOWN
United Kingdom_20,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_20,DATA_CATEGORIES_AFFECTED,DISCUSSED,KNOWN
United Kingdom_10,NONE,DISCUSSED,KNOWN
United Kingdom_7,NONE_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_16,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_16,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_16,DATA_CATEGORIES_AFFECTED,DISCUSSED,KNOWN
United Kingdom_17,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_17,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_17,DATA_CATEGORIES_AFFECTED,DISCUSSED,KNOWN
United Kingdom_21,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_21,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_21,CATEGORIES_AFFECTED,DISCUSSED,UNKNOWN
United Kingdom_19,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_19,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_26,NONE,DISCUSSED,KNOWN
United Kingdom_25,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_23,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_23,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_24,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_24,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_24,TECHNICAL_ORGANIZATIONAL_MEASURES,DISCUSSED,KNOWN
United Kingdom_29,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_29,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_27,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_28,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_28,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_28,DATA_CATEGORIES_AFFECTED,DISCUSSED,KNOWN
United Kingdom_22,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_22,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_22,MITIGATION_ACTIONS,DISCUSSED,KNOWN
United Kingdom_22,COOPERATION_WITH_AUTHORITY,DISCUSSED,KNOWN
United Kingdom_30,NONE,DISCUSSED,KNOWN
United Kingdom_32,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_32,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_32,MITIGATION_ACTIONS,DISCUSSED,KNOWN
United Kingdom_33,NONE,DISCUSSED,KNOWN
United Kingdom_31,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_31,MITIGATION_ACTIONS,DISCUSSED,KNOWN
United Kingdom_31,TECHNICAL_ORGANIZATIONAL_MEASURES,DISCUSSED,KNOWN
United Kingdom_31,DATA_CATEGORIES_AFFECTED,DISCUSSED,KNOWN
United Kingdom_36,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_34,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_34,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_37,NONE,DISCUSSED,KNOWN
United Kingdom_35,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_35,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
United Kingdom_39,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_45,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_40,NATURE_GRAVITY_DURATION,DISCUSSED,KNOWN
United Kingdom_40,INTENT_NEGLIGENCE,DISCUSSED,KNOWN
