decision_id,option,status,token_status
United Kingdom_18,SECURITY,DISCUSSED,KNOWN
United Kingdom_20,SECURITY,DISCUSSED,KNOWN
United Kingdom_20,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_10,NOT_DETERMINED,NOT_DETERMINED,KNOWN
United Kingdom_7,NONE_DISCUSSED,DISCUSSED,UNKNOWN
United Kingdom_16,SECURITY,DISCUSSED,KNOWN
United Kingdom_16,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_17,SECURITY,DISCUSSED,KNOWN
United Kingdom_21,SECURITY,DISCUSSED,KNOWN
United Kingdom_21,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_19,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
United Kingdom_26,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_25,SECURITY,DISCUSSED,KNOWN
United Kingdom_23,SECURITY,DISCUSSED,KNOWN
United Kingdom_24,ACCURACY,DISCUSSED,KNOWN
United Kingdom_24,SECURITY,DISCUSSED,KNOWN
United Kingdom_24,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_29,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
United Kingdom_29,PURPOSE_LIMITATION,DISCUSSED,KNOWN
United Kingdom_27,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
United Kingdom_28,SECURITY,DISCUSSED,KNOWN
United Kingdom_28,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_22,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_30,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
United Kingdom_32,SECURITY,DISCUSSED,KNOWN
United Kingdom_33,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_31,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
United Kingdom_31,DATA_MINIMISATION,DISCUSSED,KNOWN
United Kingdom_31,ACCOUNTABILITY,DISCUSSED,KNOWN
United Kingdom_36,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_34,SECURITY,DISCUSSED,KNOWN
United Kingdom_37,SECURITY,DISCUSSED,KNOWN
United Kingdom_35,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_39,SECURITY,DISCUSSED,KNOWN
United Kingdom_45,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_40,NONE_VIOLATED,NONE_VIOLATED,KNOWN
United Kingdom_43,SECURITY,DISCUSSED,KNOWN
United Kingdom_44,LAWFULNESS_FAIRNESS_TRANSPARENCY,DISCUSSED,KNOWN
