decision_id,option,status,token_status
United Kingdom_18,NO_ISSUES_FOUND,DISCUSSED,KNOWN
United Kingdom_20,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_10,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_7,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_16,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_17,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_21,NO_DPO_APPOINTED,DISCUSSED,KNOWN
United Kingdom_21,LACK_OF_RESOURCES,DISCUSSED,KNOWN
United Kingdom_19,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_26,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_25,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_23,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_24,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_29,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_27,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_28,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_22,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_30,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_32,NO_ISSUES_FOUND,DISCUSSED,KNOWN
United Kingdom_33,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_31,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_36,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_34,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_37,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_35,INADEQUATE_INVOLVEMENT,DISCUSSED,KNOWN
United Kingdom_39,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_45,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_40,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_43,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_44,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_41,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_46,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_48,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_53,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_52,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_51,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_47,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_49,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_50,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_54,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_55,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_59,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_56,NO_ISSUES_FOUND,DISCUSSED,KNOWN
United Kingdom_61,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_60,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_57,NO_ISSUES_FOUND,DISCUSSED,KNOWN
