decision_id,option,status,token_status
United Kingdom_18,ARTICLE_9_SPECIAL_CATEGORY,DISCUSSED,KNOWN
United Kingdom_20,ARTICLE_9_SPECIAL_CATEGORY,DISCUSSED,KNOWN
United Kingdom_20,ARTICLE_10_CRIMINAL,DISCUSSED,KNOWN
United Kingdom_10,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_7,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_16,ARTICLE_9_SPECIAL_CATEGORY,DISCUSSED,KNOWN
United Kingdom_16,ARTICLE_10_CRIMINAL,DISCUSSED,KNOWN
United Kingdom_17,ARTICLE_9_SPECIAL_CATEGORY,DISCUSSED,KNOWN
United Kingdom_21,ARTICLE_9_SPECIAL_CATEGORY,DISCUSSED,KNOWN
United Kingdom_19,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_26,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_25,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_23,NEITHER,DISCUSSED,KNOWN
United Kingdom_24,ARTICLE_10_CRIMINAL,DISCUSSED,KNOWN
United Kingdom_29,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_27,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_28,ARTICLE_9_SPECIAL_CATEGORY,DISCUSSED,KNOWN
United Kingdom_28,ARTICLE_10_CRIMINAL,DISCUSSED,KNOWN
United Kingdom_22,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_30,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_32,NEITHER,DISCUSSED,KNOWN
United Kingdom_33,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
United Kingdom_31,ARTICLE_9_SPECIAL_CATEGORY,DISCUSSED,KNOWN
United Kingdom_31,ARTICLE_10_CRIMINAL,DISCUSSED,KNOWN
United Kingdom_36,NOT_DISCUSSED,NOT_DISCUSSED,UNKNOWN
United Kingdom_34,ARTICLE_9_SPECIAL_CATEGORY,DISCUSSED,KNOWN
United Kingdom_37,NOT_APPLICABLE,NOT_APPLICABLE,KNOWN
