field_prefix,total_rows,rows_with_known,rows_with_unknown,total_unknown_tokens,status_counts_json,top_unknown_tokens_json
q30_discussed,999,941,18,18,"{""DISCUSSED"": 780, ""NONE_DISCUSSED"": 165, ""NOT_DISCUSSED"": 11, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 1}","[[""NOT_DISCUSSED"", 11], [""ACCESS"", 2], [""INFORMATION_OBLIGATIONS"", 2], [""NO"", 1], [""NONE_DISCUSSED LAWFULNESS_FAIRNESS_TRANSPARENCY"", 1]]"
q31_violated,999,942,17,17,"{""DISCUSSED"": 695, ""NOT_DETERMINED"": 36, ""NONE_VIOLATED"": 212, ""NOT_DISCUSSED"": 8, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 6}","[[""NOT_DISCUSSED"", 8], [""NONE_DISCUSSED"", 3], [""INFORMATION_OBLIGATIONS"", 2], [""NO"", 1], [""ACCESS"", 1]]"
q32_bases,999,766,193,193,"{""DISCUSSED"": 819, ""NOT_APPLICABLE"": 53, ""NOT_DISCUSSED"": 83, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 2}","[[""NOT_DISCUSSED"", 83], [""NOT_MENTIONED"", 54], [""NOT_APPLICABLE"", 53], [""NO"", 1], [""NONE_DISCUSSED CONSENT"", 1]]"
q41_aggrav,999,941,22,22,"{""DISCUSSED"": 943, ""NOT_DISCUSSED"": 11, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 2, ""NOT_APPLICABLE"": 1}","[[""NOT_DISCUSSED"", 11], [""NONE_DISCUSSED"", 1], [""CATEGORIES_AFFECTED"", 1], [""LINKING_OF_ACTIVITY_WITH_DATA_PROCESSING"", 1], [""CONNECTION_ACTIVITY_PROCESSING"", 1]]"
q42_mitig,999,939,20,23,"{""DISCUSSED"": 943, ""NOT_DISCUSSED"": 11, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 2, ""NOT_APPLICABLE"": 1}","[[""NOT_DISCUSSED"", 11], [""NONE NONE"", 2], [""NONE_DISCUSSED"", 1], [""NUMBER_OF_DATA_SUBJECTS_AFFECTED"", 1], [""LEVEL_OF_DAMAGE_SUFFERED"", 1]]"
q46_vuln,999,951,8,9,"{""DISCUSSED"": 245, ""NOT_DISCUSSED"": 241, ""NONE_MENTIONED"": 466, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 5}","[[""VICTIMS"", 1], [""ASYLUM_SEEKERS"", 1], [""VULNERABLE_IMMIGRANTS"", 1], [""VICTIMS_OF_CRIME"", 1], [""NO"", 1]]"
q47_remedial,999,913,66,67,"{""DISCUSSED"": 413, ""NOT_DISCUSSED"": 16, ""NONE_MENTIONED"": 522, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 1, ""NOT_APPLICABLE"": 5}","[[""NOT_DISCUSSED"", 16], [""NOT_MENTIONED"", 13], [""SECURITY_IMPROVEMENTS"", 9], [""DATA_DELETION_ORDER"", 9], [""NOT_APPLICABLE"", 5]]"
q50_other_measures,999,925,36,43,"{""DISCUSSED"": 945, ""NOT_DISCUSSED"": 11, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 1}","[[""NOT_DISCUSSED"", 11], [""LIMITATION_PROHIBITION_OF_PROCESSING"", 9], [""COMPLY_WITH_DATA_SUBJECT_REQUESTS"", 7], [""WARNING"", 5], [""BRING_PROCESSING_INTO_COMPLIANCE"", 3]]"
q53_powers,999,945,18,18,"{""DISCUSSED"": 944, ""NOT_DISCUSSED"": 11, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 2}","[[""NOT_DISCUSSED"", 11], [""DATA_DELETION_ORDER"", 3], [""NONE ADMINISTRATIVE_FINE"", 2], [""NONE_DISCUSSED"", 1], [""COMPLIANCE_ORDER"", 1]]"
q54_scopes,999,948,11,11,"{""NOT_APPLICABLE"": 913, ""DISCUSSED"": 34, ""NOT_DISCUSSED"": 9, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 1}","[[""NOT_DISCUSSED"", 9], [""NOT_APPLICABLE NOT_APPLICABLE"", 2]]"
q56_rights_discussed,999,865,94,94,"{""DISCUSSED"": 885, ""NOT_APPLICABLE"": 22, ""NOT_DISCUSSED"": 49, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 1}","[[""NOT_DISCUSSED"", 49], [""NOT_APPLICABLE"", 22], [""NOT_MENTIONED"", 21], [""NONE_DISCUSSED ACCESS"", 1], [""NONE_DISCUSSED NONE_DISCUSSED"", 1]]"
q57_rights_violated,999,834,125,125,"{""DISCUSSED"": 480, ""NOT_APPLICABLE"": 22, ""NOT_DETERMINED"": 61, ""NONE_VIOLATED"": 346, ""NOT_DISCUSSED"": 45, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 3}","[[""NOT_DISCUSSED"", 45], [""NONE_DISCUSSED"", 38], [""NOT_APPLICABLE"", 22], [""NOT_MENTIONED"", 18], [""NOT_DETERMINED ACCESS"", 1]]"
q58_access_issues,999,949,10,10,"{""NOT_APPLICABLE"": 827, ""DISCUSSED"": 121, ""NOT_DISCUSSED"": 8, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 1}","[[""NOT_DISCUSSED"", 8], [""NOT_APPLICABLE INADEQUATE_RESPONSE"", 1], [""NOT_APPLICABLE NOT_APPLICABLE"", 1]]"
q59_adm_issues,999,949,10,10,"{""NOT_APPLICABLE"": 945, ""NOT_DISCUSSED"": 8, ""NOT_MENTIONED"": 42, ""DISCUSSED"": 4}","[[""NOT_DISCUSSED"", 8], [""NOT_APPLICABLE NOT_APPLICABLE"", 2]]"
q61_dpo_issues,999,949,10,10,"{""DISCUSSED"": 78, ""NOT_APPLICABLE"": 870, ""NOT_DISCUSSED"": 8, ""NOT_MENTIONED"": 42, ""MIXED_CONTRADICTORY"": 1}","[[""NOT_DISCUSSED"", 8], [""NOT_APPLICABLE NOT_APPLICABLE"", 2]]"
q64_transfer_violations,999,949,10,10,"{""NOT_APPLICABLE"": 935, ""NOT_DISCUSSED"": 8, ""NOT_MENTIONED"": 42, ""DISCUSSED"": 14}","[[""NOT_DISCUSSED"", 8], [""NOT_APPLICABLE NOT_APPLICABLE"", 2]]"
