ID,English_Translation,error,success,model_used,markdown_file,input_tokens,output_tokens,total_tokens,country_code,dpa_name,issue_date,is_appeal,appeal_outcome,multiple_defendants,primary_defendant_name,defendant_status,defendant_role,org_classifications,public_sector_level,isic_sector,turnover_mentioned,turnover_range,initiation_method,breach_discussed,art33_required,breach_notified,notified_within_72h,delay_length,breach_type,breach_cause,harm_materialized,affected_subjects,special_or_criminal_data,subjects_notified,art34_required,mitigating_actions,notification_failures_effect,art5_principles_discussed,art5_principles_violated,art6_bases_discussed,legal_bases_relied,consent_issues,legitimate_interest_outcome,art56_summary,fine_amount_eur,annual_turnover_eur,hit_caps,violation_duration,aggravating_factors,mitigating_factors,harm_documented,economic_benefit,cooperation_level,vulnerable_subjects,remedial_actions,first_time_violation,cross_border,other_measures,financial_consideration,fine_calc_summary,corrective_powers,processing_limitation_scope,compliance_deadline,ds_rights_discussed,ds_rights_violated,access_issues,adm_issues,dpo_appointment,dpo_issues,jurisdiction_complexity,data_transfers_discussed,transfer_violations_issues,precedent_significance,references_other_cases,edpb_references,case_summary
France_1,"Dear Sir, I am following up on the exchanges of letters that took place between the CNIL services and the data protection officer (DPO) of your company, as part of the investigation of several complai...",,True,x-ai/grok-4-fast:free,France_1.md,5127,3750,8877,FR,Commission Nationale de l'Informatique et des Libertés (CNIL),NOT_DISCUSSED,NO,NOT_APPLICABLE,NO,Intrum,ORGANIZATION,CONTROLLER,"MULTINATIONAL,LARGE_ENTERPRISE",NOT_APPLICABLE,8291,NO,NOT_APPLICABLE,COMPLAINT,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"NEITHER,NOT_APPLICABLE",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"ACCURACY,ACCOUNTABILITY",ACCURACY,NONE_DISCUSSED,UNCLEAR,NOT_APPLICABLE,NOT_APPLICABLE,"The decision finds violations of Article 5(1)(d) for processing inaccurate data due to mistaken identity, continuing until CNIL intervention in 2019. It also violates Article 12(3) for delayed and incomplete responses to data subject requests for access, information, and erasure.",0,0,NOT_APPLICABLE,MONTHS,"NATURE_GRAVITY_DURATION,INTENT_NEGLIGENCE",NONE,YES_NON_MATERIAL_HARM,NO_BENEFIT,PARTIAL_COOPERATION,NONE_MENTIONED,DATA_DELETION_ORDER,NOT_DISCUSSED,YES_MULTIPLE_DPAS_INVOLVED,"COMPLY_WITH_DATA_SUBJECT_REQUESTS,BRING_PROCESSING_INTO_COMPLIANCE",NOT_DISCUSSED,"No fine is imposed or calculated in the decision text. Violations are assessed based on nature, gravity, and duration, with negligence in timely response and data accuracy correction noted as aggravating. Remedial actions were taken only after CNIL intervention.","REPRIMAND,COMPLY_WITH_DATA_SUBJECT_REQUESTS,BRING_PROCESSING_INTO_COMPLIANCE",DATA_CATEGORY_LIMITATION,IMMEDIATE,"ACCESS,ERASURE,INFORMATION_OBLIGATIONS","ACCESS,ERASURE,INFORMATION_OBLIGATIONS","EXCESSIVE_DELAY,INADEQUATE_RESPONSE",NOT_APPLICABLE,YES_VOLUNTARY_APPOINTMENT,NO_ISSUES_FOUND,LEAD_SUPERVISORY_AUTHORITY_CASE,YES_MENTIONED_NO_ASSESSMENT,NOT_APPLICABLE,ROUTINE_APPLICATION,NO_REFERENCES,None,"CNIL investigated multiple complaints against Intrum, a debt collection firm, for processing debtors' data via assignment agreements, including sourcing from an Israeli agency when data was inaccurate. Key issues: delayed/incomplete responses to access, erasure, and information requests under Article 12(3), and inaccurate data processing under Article 5(1)(d) due to mistaken identity in a Polish case, continuing letters until CNIL-forced anonymization in August 2019. Reasoning: Early compliance could have prevented prolonged error; violations disregarded GDPR by not acting promptly on disputes."
France_2,"Deliberation 2023-089 of September 14, 2023 National Commission for Information Technology and Liberties Nature of the deliberation: Opinion Legal status: In force Date of publication on Légifrance: T...",,True,x-ai/grok-4-fast:free,France_2.md,7257,2141,9398,FR,National Commission for Information Technology and Liberties,2023-09-14,NO,NOT_APPLICABLE,NO,National Institute of Demographic Studies (INED),ORGANIZATION,CONTROLLER,PUBLIC_SECTOR_BODY,NATIONAL_FEDERAL,NOT_MENTIONED,NO,NOT_APPLICABLE,OTHER,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"ARTICLE_9_SPECIAL_CATEGORY,NOT_APPLICABLE",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"LAWFULNESS_FAIRNESS_TRANSPARENCY,PURPOSE_LIMITATION,DATA_MINIMISATION,STORAGE_LIMITATION,SECURITY,ACCOUNTABILITY",NONE_VIOLATED,PUBLIC_TASK,PUBLIC_TASK,NOT_APPLICABLE,NOT_APPLICABLE,"CNIL deems the FamEmp survey processing legitimate under public task basis with sensitive data collection justified for research purposes. Recommendations include immediate deletion of health data post-recoding, limited access to identifying data, defined retention for pseudonymized data, accessible objection mechanisms, enhanced rights exercise protections, and security measures equivalent to health data standards.",0,,NOT_APPLICABLE,YEARS,NONE,NONE,NO_HARM_DOCUMENTED,NO_BENEFIT,FULL_COOPERATION,NONE_MENTIONED,NONE_MENTIONED,NOT_DISCUSSED,NO_SINGLE_JURISDICTION,NONE,NOT_DISCUSSED,No fine imposed as this is an advisory opinion on a proposed processing project rather than an enforcement action for violations. CNIL approved the project with recommendations for compliance enhancements but no penalties applied.,NONE,NOT_APPLICABLE,NOT_APPLICABLE,"INFORMATION_OBLIGATIONS,OBJECTION",NONE_VIOLATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_APPLICABLE,SINGLE_JURISDICTION_DOMESTIC,YES_MENTIONED_NO_ASSESSMENT,NOT_APPLICABLE,ROUTINE_APPLICATION,NO_REFERENCES,NOT_DISCUSSED,"CNIL opinion on INED's FamEmp longitudinal survey project for analyzing work-family balance via questionnaires and administrative data matching, involving sensitive health/sexuality/religion data from 30k individuals and 9k employers over three waves (2023-2030). Processing deemed legitimate under GDPR Art. 6(1)(e) public task; recommendations for data deletion post-recoding, retention periods, accessible objections, fraud protections in rights exercise, and health-level security including encryption and transfer compliance."
France_3,"Deliberation n°2023-097 of September 7, 2023 authorizing the University of Bordeaux to implement automated processing of personal data for the purpose of a study relating to the comparison of health t...",,True,x-ai/grok-4-fast:free,France_3.md,6298,2991,9289,FR,National Commission for Information Technology and Liberties (CNIL),2023-09-07,NO,NOT_APPLICABLE,NO,University of Bordeaux,ORGANIZATION,CONTROLLER,PUBLIC_SECTOR_BODY,NATIONAL_FEDERAL,85,NO,NOT_APPLICABLE,OTHER,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"ARTICLE_9_SPECIAL_CATEGORY,NOT_APPLICABLE",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"LAWFULNESS_FAIRNESS_TRANSPARENCY,PURPOSE_LIMITATION,DATA_MINIMISATION,STORAGE_LIMITATION,SECURITY,ACCOUNTABILITY",NONE_VIOLATED,PUBLIC_TASK,PUBLIC_TASK,NOT_APPLICABLE,NOT_APPLICABLE,"The processing is lawful under Article 6(1)(e) for public interest mission and Article 9(2)(j) for scientific research purposes. It complies with Article 5 principles including purpose limitation, data minimisation, storage limitation, and security.",0,,NOT_APPLICABLE,NOT_SPECIFIED,NONE,NONE,NOT_DISCUSSED,NOT_DISCUSSED,FULL_COOPERATION,NONE_MENTIONED,NONE_MENTIONED,NOT_DISCUSSED,NO_SINGLE_JURISDICTION,NONE,NOT_DISCUSSED,"No fine imposed as the decision authorizes compliant processing for scientific research under GDPR and French law. The CNIL assessed lawfulness, necessity, and proportionality without identifying violations.",NONE,NOT_APPLICABLE,NOT_APPLICABLE,INFORMATION_OBLIGATIONS,NONE_VIOLATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_APPLICABLE,SINGLE_JURISDICTION_DOMESTIC,YES_COMPLIANT_TRANSFERS,NOT_APPLICABLE,ROUTINE_APPLICATION,NO_REFERENCES,None,"CNIL authorizes University of Bordeaux's automated processing of SNDS health data (sociodemographics, diagnoses, procedures, medicines) for EHDS FR-FIN study on cardiometabolic trajectories, using ~12M-person cohort from 2010-2025. Lawful under GDPR 6(1)(e) public task and 9(2)(j) research; complies with Article 5 principles; individual info exempted via public notice; 5-year retention; no EU transfers; hosted on secure PDS platform."
France_4,",",,True,x-ai/grok-4-fast:free,France_4.md,4096,1235,5331,UNCLEAR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NO,NOT_MENTIONED,NOT_MENTIONED,NOT_MENTIONED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_MENTIONED,NO,NOT_APPLICABLE,NOT_MENTIONED,UNCLEAR,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE_DISCUSSED,NONE_VIOLATED,NONE_DISCUSSED,UNCLEAR,NOT_APPLICABLE,NOT_APPLICABLE,No decision text provided; no findings to summarize.,0,,NOT_APPLICABLE,NOT_SPECIFIED,NONE,NONE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NONE_MENTIONED,NONE_MENTIONED,NOT_DISCUSSED,NOT_DISCUSSED,NONE,NOT_DISCUSSED,No decision text provided; no reasoning to summarize.,NONE,NOT_APPLICABLE,NOT_APPLICABLE,NONE_DISCUSSED,NONE_VIOLATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_APPLICABLE,UNCLEAR,NOT_DISCUSSED,NOT_APPLICABLE,UNCLEAR,UNCLEAR,NOT_DISCUSSED,"No decision text provided; unable to summarize key facts, issue, or reasoning."
France_5,"Deliberation No. 2023-083 of July 20, 2023 approving a reference methodology relating to the processing of data from the main database of the National Health Data System implemented for research, stud...",,True,x-ai/grok-4-fast:free,France_5.md,12337,1711,14048,FR,National Commission for Information Technology and Liberties (CNIL),2023-07-20,NO,NOT_APPLICABLE,NO,No primary defendant identified,NOT_MENTIONED,CONTROLLER,NOT_APPLICABLE,NOT_APPLICABLE,NOT_MENTIONED,NO,NOT_APPLICABLE,EX_OFFICIO_DPA_INITIATIVE,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ARTICLE_9_SPECIAL_CATEGORY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"LAWFULNESS_FAIRNESS_TRANSPARENCY,PURPOSE_LIMITATION,DATA_MINIMISATION,SECURITY,ACCOUNTABILITY",NONE_VIOLATED,LEGITIMATE_INTERESTS,LEGITIMATE_INTERESTS,NOT_APPLICABLE,LEGITIMATE_INTERESTS_PREVAIL,"The decision approves a reference methodology for processing SNDS health data under legitimate interests for research, studies, or evaluations, ensuring compliance with GDPR Articles 5 and 6. It emphasizes data minimization, security, and public interest without identifying violations.",0,,NOT_APPLICABLE,NOT_SPECIFIED,NONE,NONE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NONE_MENTIONED,NONE_MENTIONED,NOT_DISCUSSED,NO_SINGLE_JURISDICTION,NONE,NOT_DISCUSSED,"No fine is imposed as this is an approval of a reference methodology for compliant processing, not an enforcement action. The document outlines conditions for legitimate interest-based health data processing without calculating penalties. Accountability and security measures are mandated to ensure ongoing compliance.",NONE,NOT_APPLICABLE,NOT_APPLICABLE,"ACCESS,RECTIFICATION,ERASURE,RESTRICTION_OF_PROCESSING,INFORMATION_OBLIGATIONS",NONE_VIOLATED,NOT_APPLICABLE,NOT_APPLICABLE,YES_REQUIRED_AND_APPOINTED,NO_ISSUES_FOUND,SINGLE_JURISDICTION_DOMESTIC,YES_COMPLIANT_TRANSFERS,NOT_APPLICABLE,YES_SIGNIFICANT_PRECEDENT,NO_REFERENCES,None mentioned,"CNIL approves MR-008 methodology for organizations processing pseudonymized SNDS health data under legitimate interests (Art. 6(1)(f)) for public-interest research/studies/evaluations. Requires CESREES opinion, controlled environments, no direct controller access, data minimization, security per French standards, no EU transfers, and triennial reporting; ensures GDPR compliance via protocols, transparency, and DPO appointment without violations or fines."
France_6,"Deliberation of the restricted training n°SAN-2022-021 of November 24, 2022 concerning the company ELECTRICITÉ DE FRANCE The National Commission for Information Technology and Freedoms, gathered in it...",,True,x-ai/grok-4-fast:free,France_6.md,13727,2546,16273,FR,National Commission for Information Technology and Freedoms (CNIL),2022-11-24,NO,NOT_APPLICABLE,NO,ÉLECTRICITÉ DE FRANCE,ORGANIZATION,CONTROLLER,"LARGE_ENTERPRISE,MULTINATIONAL,PUBLIC_SECTOR_BODY",NATIONAL_FEDERAL,3510,YES,OVER_1B,COMPLAINT,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"NEITHER,NOT_APPLICABLE",NOT_APPLICABLE,NOT_APPLICABLE,"NONE_MENTIONED,NOT_APPLICABLE",NOT_MENTIONED,"LAWFULNESS_FAIRNESS_TRANSPARENCY,SECURITY","LAWFULNESS_FAIRNESS_TRANSPARENCY,SECURITY",CONSENT,CONSENT,"NOT_INFORMED,NOT_UNAMBIGUOUS",NOT_APPLICABLE,"The decision finds violations of consent requirements under Article 7 due to inability to prove valid consent from data brokers and insufficient information on prospector identity. Transparency obligations under Articles 13 and 14 were breached by vague retention periods, missing legal bases, and imprecise data sources in notices.",600000,84000000000,BELOW_ALL_CAPS,YEARS,"NATURE_GRAVITY_DURATION,DATA_CATEGORIES_AFFECTED","MITIGATION_ACTIONS,COOPERATION_WITH_AUTHORITY",NO_HARM_DOCUMENTED,NOT_DISCUSSED,FULL_COOPERATION,"CHILDREN,NONE_MENTIONED","POLICY_CHANGES,SYSTEM_UPGRADES",UNCLEAR,NO_SINGLE_JURISDICTION,NONE,ABILITY_TO_PAY_NOT_AFFECTING,"The fine of 600,000 euros accounts for the nature and number of breaches of fundamental GDPR principles affecting millions of customers, balanced against the company's remedial actions and limited seriousness of some issues. The company's large size and resources were considered, ensuring the fine is proportionate and dissuasive without reaching statutory caps. No injunction was issued as compliance was achieved during proceedings.",ADMINISTRATIVE_FINE,NOT_APPLICABLE,NOT_APPLICABLE,"ACCESS,OBJECTION,INFORMATION_OBLIGATIONS","ACCESS,OBJECTION,INFORMATION_OBLIGATIONS","EXCESSIVE_DELAY,INADEQUATE_RESPONSE",NOT_APPLICABLE,NOT_DISCUSSED,NOT_APPLICABLE,SINGLE_JURISDICTION_DOMESTIC,NOT_DISCUSSED,NOT_APPLICABLE,ROUTINE_APPLICATION,YES_SOME_REFERENCES,"Article 29 Working Party guidelines on transparency (revised April 11, 2018)","CNIL investigated EDF following complaints about rights exercises and conducted online/documentary checks revealing consent proof failures for electronic prospecting via data brokers, inadequate transparency in privacy notices (vague retention/legal bases, imprecise sources), delays/incorrect responses to access/opposition requests, and insecure password hashing (MD5/SHA-1 without salt). Violations of Articles 7(1), 12, 13, 14, 15, 21, 32 GDPR and L.34-5 CPCE confirmed; EDF remedied issues during proceedings, leading to 600,000 euro fine without injunction, publicized for 2 years."
France_7,"Deliberation SAN-2022-023 of December 19, 2022 National Commission for Computing and Liberties Nature of the deliberation: Sanction Legal status: In force Date of publication on Légifrance: Thursday, ...",,True,x-ai/grok-4-fast:free,France_7.md,16824,3643,20467,FR,National Commission for Computing and Liberties,2022-12-19,NO,NOT_APPLICABLE,NO,MICROSOFT IRELAND OPERATIONS LIMITED,ORGANIZATION,CONTROLLER,"LARGE_ENTERPRISE,MULTINATIONAL",NOT_APPLICABLE,6201,YES,FIGURE_UNCLEAR,COMPLAINT,NO,NO_NOT_REQUIRED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO_RISK_ONLY,OVER_100000,"NEITHER,NOT_APPLICABLE",NOT_APPLICABLE,NOT_APPLICABLE,"SYSTEM_FIXES,SECURITY_IMPROVEMENTS,NOT_APPLICABLE",NOT_APPLICABLE,"LAWFULNESS_FAIRNESS_TRANSPARENCY,SECURITY","LAWFULNESS_FAIRNESS_TRANSPARENCY,SECURITY",CONSENT,CONSENT,"NOT_FREELY_GIVEN,NOT_INFORMED",NOT_APPLICABLE,"The decision identifies violations of consent requirements under ePrivacy rules transposed into French law, specifically for placing multi-purpose cookies without prior user consent for non-essential purposes like advertising fraud detection. It also finds the cookie banner imbalanced, making refusal more difficult than acceptance, thus impairing free consent as per GDPR Article 4(11).",60000000,,BELOW_ALL_CAPS,YEARS,"NATURE_GRAVITY_DURATION,OTHER_CIRCUMSTANCES","COOPERATION_WITH_AUTHORITY,MITIGATION_ACTIONS",NO_HARM_DOCUMENTED,YES_MENTIONED_UNQUANTIFIED,PARTIAL_COOPERATION,NONE_MENTIONED,"SYSTEM_UPGRADES,POLICY_CHANGES",UNCLEAR,YES_LEAD_AUTHORITY_CASE,"COMPLIANCE_ORDER,PERIODIC_REPORTING",NOT_DISCUSSED,"The €60 million fine reflects the breach's gravity, affecting 11 million French users and enabling advertising revenue gains, despite CNIL warnings and prior checks since 2020. Aggravating factors include the processing scale and delayed compliance until 2022. Mitigating elements considered the company's responses and eventual fixes, but the fine remains proportionate to turnover under French law caps.","BRING_PROCESSING_INTO_COMPLIANCE,ADMINISTRATIVE_FINE",NOT_APPLICABLE,1_TO_6_MONTHS,INFORMATION_OBLIGATIONS,INFORMATION_OBLIGATIONS,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_APPLICABLE,SINGLE_JURISDICTION_DOMESTIC,NOT_DISCUSSED,NOT_APPLICABLE,YES_CLARIFIES_EXISTING_LAW,YES_SOME_REFERENCES,"CNIL guidelines of September 17, 2020 on cookies and tracers","CNIL fined Microsoft Ireland €60M on Dec 19, 2022, for ePrivacy violations via bing.com cookies: 'MUID' placed pre-consent for ad fraud detection (non-essential), 'ABDEF' post-navigation without consent (inadvertent but gross error), and banner unbalanced (accept one-click, refuse multi-step until March 2022 fix). Affected ~11M French users; reasoning cites CJEU/Council of State on jurisdiction, consent freedom under GDPR Art 4(11); injunction with €60K/day penalty for consent compliance within 3 months; public for 2 years."
France_8,"Decision No \[…\] of \[…\] giving formal notice \[…\] (No \[…\]) The President of the National Commission for Computing and Liberties, Having regard to Regulation (EU) 2016/679 of the European Parliam...",,True,x-ai/grok-4-fast:free,France_8.md,10113,2252,12365,FR,National Commission for Computing and Liberties (CNIL),NOT_DISCUSSED,NO,NOT_APPLICABLE,NO,[Company anonymized as …],ORGANIZATION,CONTROLLER,NOT_MENTIONED,NOT_APPLICABLE,UNCLEAR,NO,NOT_APPLICABLE,COMPLAINT,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE_DISCUSSED,NONE_VIOLATED,NONE_DISCUSSED,UNCLEAR,NOT_APPLICABLE,NOT_APPLICABLE,"The decision focuses on violations of GDPR Chapter V regarding data transfers to the US via Google Analytics, finding that standard contractual clauses alone are insufficient post-Schrems II without effective additional measures. No specific Article 5 or 6 principles are explicitly analyzed beyond the lawfulness of transfers.",0,,NOT_APPLICABLE,ONGOING,NONE,NONE,NOT_DISCUSSED,NOT_DISCUSSED,FULL_COOPERATION,NONE_MENTIONED,NONE_MENTIONED,NOT_DISCUSSED,YES_LEAD_AUTHORITY_CASE,COMPLIANCE_ORDER,NOT_DISCUSSED,"No fine is imposed; this is a formal notice to comply. The decision assesses transfer mechanisms under Chapter V, finding SCCs inadequate without additional effective measures against US surveillance. Aggravating factors include cross-border nature and lack of valid basis, with no mitigating financial details provided.",BRING_PROCESSING_INTO_COMPLIANCE,SPECIFIC_PURPOSE_LIMITATION,WITHIN_MONTH,NONE_DISCUSSED,NONE_VIOLATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_APPLICABLE,LEAD_SUPERVISORY_AUTHORITY_CASE,YES_VIOLATIONS_FOUND,"NO_ADEQUATE_SAFEGUARDS,SCHREMS_II_ISSUES",YES_CLARIFIES_EXISTING_LAW,YES_SOME_REFERENCES,EDPS recommendations 01/2020,"CNIL issues formal notice to French e-commerce company for unlawful transfer of visitor personal data (IP addresses, unique IDs, browser info) to US via Google Analytics for analytics purposes. Post-Schrems II, SCCs deemed insufficient due to US surveillance laws (FISA 702) without effective additional measures; company must comply with Chapter V or cease processing within 1 month. 101 NOYB complaints across EU/EEA highlight cross-border issue; CNIL acts as lead authority."
France_9,"Decision MED-2019-027 of 12 November 2019 Print National Commission for Information Technology and Civil Liberties Decision n°MED-2019-027 of November 12, 2019 Decision No MED 2019-027 of 12 November ...",,True,x-ai/grok-4-fast:free,France_9.md,7764,2342,10106,FR,National Commission for Information Technology and Civil Liberties,2019-11-12,NO,NOT_APPLICABLE,NO,Ministry of the Interior,ORGANIZATION,CONTROLLER,PUBLIC_SECTOR_BODY,NATIONAL_FEDERAL,84,NO,NOT_APPLICABLE,EX_OFFICIO_DPA_INITIATIVE,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"NEITHER,NOT_APPLICABLE",NOT_APPLICABLE,NOT_APPLICABLE,"NONE_MENTIONED,NOT_APPLICABLE",NOT_MENTIONED,"STORAGE_LIMITATION,SECURITY","STORAGE_LIMITATION,SECURITY",PUBLIC_TASK,PUBLIC_TASK,NOT_APPLICABLE,NOT_APPLICABLE,"The decision identifies violations of storage limitation under Article 5(1)(e) due to excessive retention of vehicle data beyond 24 hours for non-infringing vehicles, up to 10 years for infringing ones, and over a year for unsent offence messages. Security under Article 5(1)(f) was breached due to weak passwords, poor access traceability, and inadequate rights management.",0,,NOT_APPLICABLE,YEARS,NATURE_GRAVITY_DURATION,NONE,NO_HARM_DOCUMENTED,NO_BENEFIT,NOT_DISCUSSED,NONE_MENTIONED,NONE_MENTIONED,UNCLEAR,NO_SINGLE_JURISDICTION,COMPLIANCE_ORDER,NOT_DISCUSSED,"No fine was imposed; instead, a formal notice was issued requiring compliance within three months. Violations involved prolonged data retention and security shortcomings, assessed under proportionality and risk-based measures. Remedial actions focus on data deletion and security enhancements without financial penalty calculation.","REPRIMAND,BRING_PROCESSING_INTO_COMPLIANCE",NOT_APPLICABLE,WITHIN_MONTH,NONE_DISCUSSED,NONE_VIOLATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_APPLICABLE,SINGLE_JURISDICTION_DOMESTIC,NOT_DISCUSSED,NOT_APPLICABLE,ROUTINE_APPLICATION,YES_SOME_REFERENCES,NOT_DISCUSSED,"CNIL inspected Ministry of Interior's radar-slice system for average speed enforcement, finding excessive retention of non-infringing vehicle license plates (over 4 years truncated, 13 months full) beyond 24-hour limit, infringing data over 10 years, and unsent offence data over 3 years; security flaws in passwords, access logs, and rights management. Formal notice issued for data purging, retention compliance via automated mechanisms, and security fixes within 3 months, under French transposition of Directive 2016/680."
France_10,"Decision n°MED-2020-015 of July 15, 2020 Decision n° MED-2020-015 of 15 July 2020 putting the Ministry of Solidarity and Health on notice Status: EFFECTIVE The President of the National Commission for...",,True,x-ai/grok-4-fast:free,France_10.md,9750,1962,11712,FR,Commission nationale de l'informatique et des libertés (CNIL),2020-07-15,NO,NOT_APPLICABLE,NO,Ministry of Solidarity and Health,ORGANIZATION,CONTROLLER,PUBLIC_SECTOR_BODY,NATIONAL_FEDERAL,84,NO,NOT_APPLICABLE,EX_OFFICIO_DPA_INITIATIVE,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"NEITHER,NOT_APPLICABLE",NOT_APPLICABLE,NOT_APPLICABLE,"NONE_MENTIONED,NOT_APPLICABLE",NOT_APPLICABLE,"LAWFULNESS_FAIRNESS_TRANSPARENCY,SECURITY,ACCOUNTABILITY",LAWFULNESS_FAIRNESS_TRANSPARENCY,PUBLIC_TASK,PUBLIC_TASK,NOT_APPLICABLE,NOT_APPLICABLE,"The decision finds violations of Article 5(1)(a) due to non-compliance with the decree on pre-filtering contact history in app version v1.0. Transparency issues under Article 13 arise from incomplete information on data recipients, and Article 6 is based on public task via decree without identified issues.",0,,NOT_APPLICABLE,MONTHS,NATURE_GRAVITY_DURATION,NONE,NO_HARM_DOCUMENTED,NO_BENEFIT,FULL_COOPERATION,NONE_MENTIONED,SYSTEM_UPGRADES,NOT_DISCUSSED,NO_SINGLE_JURISDICTION,COMPLIANCE_ORDER,NOT_DISCUSSED,No fine imposed as this is a formal notice for compliance. Violations assessed under Article 83 criteria but enforcement limited to injunctions due to public health context and partial compliance in newer app version. Aggravating factor is nature and gravity of non-compliance with decree and transparency rules.,"COMPLY_WITH_DATA_SUBJECT_REQUESTS,BRING_PROCESSING_INTO_COMPLIANCE,ADMINISTRATIVE_FINE",NOT_APPLICABLE,WITHIN_MONTH,INFORMATION_OBLIGATIONS,INFORMATION_OBLIGATIONS,NOT_APPLICABLE,NOT_APPLICABLE,NO_REQUIREMENT,NOT_APPLICABLE,SINGLE_JURISDICTION_DOMESTIC,NOT_DISCUSSED,NOT_APPLICABLE,ROUTINE_APPLICATION,YES_SOME_REFERENCES,Opinions of 24 April 2020 and 25 May 2020 on StopCovid project and decree,"CNIL inspects StopCovid app by French Ministry of Health for GDPR compliance amid COVID-19; finds v1.0 version violates decree by sending unfiltered contact history to server, incomplete recipient info under Art 13, inadequate processor contract under Art 28, incomplete DPIA under Art 35, and failure to inform/consent for Google reCaptcha under French law Art 82. Issues formal notice to fix within 1 month, including forcing app update to v1.1; no fine, emphasizes public health utility needs evaluation."
