model,outcome,term,estimate,std_err,t_value,p_value,n_obs
OLS_FineLog,fine_log1p,const,8.186372077087164,3.2877495663857665,2.489962179840379,0.012775668936127948,166
OLS_FineLog,fine_log1p,art33_notified_flag,0.3153671802207705,1.1029758626908603,0.28592391809136164,0.7749363941560659,166
OLS_FineLog,fine_log1p,q21_breach_types_TECHNICAL_FAILURE,-0.16882885529226588,1.1559557106876044,-0.14605131817017483,0.8838808766881984,166
OLS_FineLog,fine_log1p,q21_breach_types_ORGANIZATIONAL_FAILURE,0.19936847385505452,1.0915351438841048,0.18264961506014757,0.8550729519291358,166
OLS_FineLog,fine_log1p,q21_breach_types_CYBER_ATTACK,1.76549436725479,1.5256925608034708,1.157175706700066,0.24720058086940133,166
OLS_FineLog,fine_log1p,q21_breach_types_HUMAN_ERROR,0.6212875947523988,1.1299506913081734,0.5498360234048071,0.58243184817937,166
OLS_FineLog,fine_log1p,q21_breach_types_SYSTEM_MALFUNCTION,-6.208851565409751e-14,7.077245462240576e-14,-0.8772977563850243,0.3803249305613925,166
OLS_FineLog,fine_log1p,q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,0.8041212220086353,1.2186060751396197,0.6598696973642647,0.509337451736823,166
OLS_FineLog,fine_log1p,q25_sensitive_data_ARTICLE_10_CRIMINAL,1.4875248570158117,4.479306304485883,0.33208821989380427,0.7398226450249328,166
OLS_FineLog,fine_log1p,q25_sensitive_data_NEITHER,2.055641777525963,1.4267190614965852,1.4408174902840767,0.14963625087899363,166
OLS_FineLog,fine_log1p,n_principles_discussed,0.058818426755496755,0.5205198219889356,0.11299939842972401,0.9100310321434131,166
OLS_FineLog,fine_log1p,n_principles_violated,1.0793895506173232,0.6811673008179132,1.5846173903551208,0.11305329134481397,166
OLS_FineLog,fine_log1p,country_code_ES,-6.768618875621524,9.214829252298632,-0.7345354634686364,0.4626224545430315,166
OLS_FineLog,fine_log1p,country_code_FI,-8.437776145094979,9.17779367664852,-0.9193686895101596,0.3579027605965398,166
OLS_FineLog,fine_log1p,country_code_FR,-2.164753203421625,9.522450832571518,-0.22733151806015026,0.8201659667357486,166
OLS_FineLog,fine_log1p,country_code_GB,-6.232092714523859,9.5313650320961,-0.653851016463832,0.5132077947645666,166
OLS_FineLog,fine_log1p,country_code_GR,-6.040109666171902,9.283842448972695,-0.6506044990929667,0.5153018253416979,166
OLS_FineLog,fine_log1p,country_code_HU,-1.644579688966461,9.470601166277486,-0.17365103440554655,0.8621397216161758,166
OLS_FineLog,fine_log1p,country_code_IE,2.163992974346411,9.607052089402043,0.22525046749081395,0.8217844306802937,166
OLS_FineLog,fine_log1p,country_code_IS,-5.047116917056842,10.285290595498019,-0.49071213595715213,0.6236300617663704,166
OLS_FineLog,fine_log1p,country_code_IT,-5.68618105378887,9.254775101441044,-0.6144051034696115,0.5389476641932684,166
OLS_FineLog,fine_log1p,country_code_NL,-1.0069731136455173,9.465506002888205,-0.10638344250568962,0.9152781294899166,166
OLS_FineLog,fine_log1p,country_code_NO,-5.166993072992137,9.23935130423701,-0.5592376458964865,0.5759995439741201,166
OLS_FineLog,fine_log1p,country_code_PL,-3.582801298210822,9.16972061943588,-0.3907208787383138,0.6960035642469246,166
OLS_FineLog,fine_log1p,country_code_RO,-2.373032641164718,9.228629876236226,-0.2571381313357566,0.7970721423858239,166
OLS_FineLog,fine_log1p,country_code_SE,1.4978842871543905,9.494935207526414,0.15775613570981006,0.8746489643703104,166
OLS_FineLog,fine_log1p,country_code_nan,-4.420209751385517e-15,6.1480870250218095e-15,-0.7189569265034658,0.47216745964258156,166
OLS_FineLog,fine_log1p,isic_section_desc_Administrative and support service activities,-7.507439778854918,9.177700046641826,-0.8180088410714549,0.41335213897736145,166
OLS_FineLog,fine_log1p,"isic_section_desc_Arts, entertainment and recreation",-9.076134872425701,3.299926863206585,-2.7504048570356177,0.005952167382200638,166
OLS_FineLog,fine_log1p,isic_section_desc_Construction,-6.897161948323971,23.3247546546116,-0.2957013718024389,0.7674581494675579,166
OLS_FineLog,fine_log1p,isic_section_desc_Education,-7.289353069950884,2.8713453786065206,-2.538654222602941,0.011127974486309986,166
OLS_FineLog,fine_log1p,"isic_section_desc_Electricity, gas, steam and air conditioning supply",-3.8848798480659124,3.9602156642048447,-0.9809768400191259,0.32660416268288794,166
OLS_FineLog,fine_log1p,isic_section_desc_Financial and insurance activities,-4.5136189806184825,3.0052814506430847,-1.5018955977160264,0.13312407374447524,166
OLS_FineLog,fine_log1p,isic_section_desc_Human health and social work activities,-5.399089393757203,2.819567697554335,-1.914864253282629,0.05550981763622113,166
OLS_FineLog,fine_log1p,isic_section_desc_Information and communication,-3.5575453794615055,2.780955218181933,-1.279253026514851,0.20080796825057878,166
OLS_FineLog,fine_log1p,isic_section_desc_Manufacturing,1.8599119038457084,29.631797174246415,0.06276743502625601,0.9499516978009294,166
OLS_FineLog,fine_log1p,isic_section_desc_Other service activities,-6.197106898577286,2.911725678067254,-2.12832786593097,0.03330990925545436,166
OLS_FineLog,fine_log1p,"isic_section_desc_Professional, scientific and technical activities",-6.279904177351305,3.973579130697936,-1.580415029069341,0.11401185199294803,166
OLS_FineLog,fine_log1p,isic_section_desc_Public administration and defence; compulsory social security,-5.424406802316957,2.772066927985593,-1.956809465007675,0.050369873855618384,166
OLS_FineLog,fine_log1p,isic_section_desc_Real estate activities,-7.065020283792638,5.797095808211926,-1.218717184867744,0.22295155315986281,166
OLS_FineLog,fine_log1p,isic_section_desc_Transportation and storage,-3.8047034787012404,4.737955333853922,-0.8030264556349118,0.4219594435905981,166
OLS_FineLog,fine_log1p,"isic_section_desc_Water supply; sewerage, waste management and remediation activities",-11.092616442619667,7.784640089578465,-1.4249363252476746,0.1541756080787315,166
OLS_FineLog,fine_log1p,isic_section_desc_Wholesale and retail trade; repair of motor vehicles and motorcycles,-6.603884423674767,3.0812952317692255,-2.1432170327550644,0.03209567521761945,166
OLS_FineLog,fine_log1p,isic_section_desc_nan,-7.488875131676849,2.8641650907554332,-2.6146799833041863,0.008931109138488276,166
OLS_FineLog,fine_log1p,decision_year_cat_2019,9.082491036096194,9.501105775025362,0.9559404190584279,0.3391023368871685,166
OLS_FineLog,fine_log1p,decision_year_cat_2020,6.876570131425088,9.520361023341783,0.722301403756148,0.4701091900408476,166
OLS_FineLog,fine_log1p,decision_year_cat_2021,8.215686877758596,9.503075061217347,0.864529304970697,0.3872971891252466,166
OLS_FineLog,fine_log1p,decision_year_cat_2022,6.042223890281164,9.407950799848235,0.6422465443142661,0.5207131165166681,166
OLS_FineLog,fine_log1p,decision_year_cat_2023,2.1586847896849406,9.670023541569957,0.22323469848910746,0.823352847757552,166
OLS_FineLog,fine_log1p,decision_year_cat_2024,8.934537722072939,9.4235950096542,0.9481028962853099,0.34307707396081966,166
OLS_FineLog,fine_log1p,decision_year_cat_2025,6.415621480757832,9.609272071817358,0.667649061532345,0.5043576325217152,166
OLS_FineLog,fine_log1p,decision_year_cat_Missing,4.571004291641106,9.325595082117642,0.4901568480499723,0.6240229135394711,166
OLS_FineLog,fine_log1p,decision_year_cat_nan,0.0,0.0,,,166
OLS_FinePositive,fine_positive,const,0.8577514812439021,0.3603160646107622,2.3805529797027045,0.017286675064740315,166
OLS_FinePositive,fine_positive,art33_notified_flag,-0.027697751010184526,0.10177954905509566,-0.2721347389266883,0.785518419342935,166
OLS_FinePositive,fine_positive,q21_breach_types_TECHNICAL_FAILURE,-0.012173500387269998,0.08252328075182803,-0.14751595278766633,0.8827247889729855,166
